Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
11,1,8xiikcvufow3u6jo0opzhtip5,243903,90,22,Left Centre Back,Robert,Boskovic,R. Boskovic,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,78,49,19,0.00,0,0,0.00,0,0,0,0,0,2,0,0,4,1,0,0,91,5,3,0,3,6,100.0%,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,53,0,39.7%,87.2%,37,0,31,0,34,44,0,21.0,0,0.0%,4,0.00,0,0,0,0,0,0,71.0%,1,5,0,0.00,0.00,0.00,0,0,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,8xiikcvufow3u6jo0opzhtip5:2126240,EDM vs CAV (2020-08-21)
11,1,1yufrkhruoxnyg54sxgduilt5,423654,90,24,Right Back,Jeannot,Esua,J. Esua,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,54,24,23,0.03,0,0,0.06,0,0,0,1,1,6,0,0,5,3,0,0,91,9,0,0,1,5,-,4,1,7,0,0,1,1,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,21,25,45,1,46.3%,87.0%,25,5,17,7,19,28,0,21.7,0,-,0,0.00,0,0,0,0,6,6,80.0%,4,1,0,0.00,0.03,0.03,1,0,EDM vs HFX,2020-08-27,7u1iuq4d7judbzn8c1gawxp90,15376,1yufrkhruoxnyg54sxgduilt5:2126249,EDM vs HFX (2020-08-27)
13,1,57sscey83fcglkmcrtpp28k5,90727,90,31,Left Centre Back,Ramon,Soria,Soria,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,86,53,18,0.00,0,0,0.00,0,0,0,0,0,0,0,0,3,0,0,0,90,3,1,1,0,4,66.7%,2,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,32,0,51.2%,82.6%,25,0,46,0,55,31,0,24.2,1,33.3%,3,0.00,0,0,0,0,0,0,65.9%,3,1,0,0.00,0.00,0.00,0,0,EDM vs Y9,2020-09-02,7ulatzc5xxyaiw5pmjxft1kb8,15382,57sscey83fcglkmcrtpp28k5:2126259,EDM vs Y9 (2020-09-02)
14,1,6f3bomrp6vjzdcasrvoq5c4x5,448292,90,23,Left Back,Fugo,Segawa,F. Segawa,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,70,43,24,0.00,0,0,0.02,0,0,0,1,1,0,0,0,6,0,0,0,89,5,0,1,1,6,33.3%,3,2,4,1,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,30,51,0,27.1%,95.7%,47,7,13,7,16,47,0,16.3,2,50.0%,2,0.00,0,0,0,0,0,0,84.2%,6,0,0,0.00,0.00,0.00,1,0,HFX vs Y9,2020-08-29,7ubxnr535nkdppzi934wdbdhw,15376,6f3bomrp6vjzdcasrvoq5c4x5:2126256,HFX vs Y9 (2020-08-29)
15,1,79pboh9mzuchik3r2027wntgp,233807,90,25,Right Centre Back,Amer,Didic,A. Didic,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,74,47,16,0.00,0,0,0.00,0,0,0,0,0,0,0,0,8,0,0,0,88,1,0,3,1,8,75.0%,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,46,41,1,43.2%,85.1%,33,1,29,1,34,39,0,23.5,1,100.0%,5,0.00,0,0,0,0,0,0,71.9%,7,1,0,0.00,0.00,0.00,0,3,EDM vs Y9,2020-09-02,7ulatzc5xxyaiw5pmjxft1kb8,15382,79pboh9mzuchik3r2027wntgp:2126259,EDM vs Y9 (2020-09-02)
15,1,7w93cfaszi89ex6xdf9tgkp9l,199141,90,25,Right Centre Back,Mélé,Temguia,M. Temguia,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,73,45,14,0.05,0,0,0.00,0,0,0,0,0,1,1,0,6,0,0,0,88,6,0,4,2,7,80.0%,1,0,9,1,0,2,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,52,30,4,45.2%,80.8%,18,2,39,4,44,25,0,20.9,1,100.0%,1,0.00,0,0,0,0,0,0,72.7%,3,4,0,0.00,0.05,0.05,0,0,EDM vs HFX,2020-08-27,7u1iuq4d7judbzn8c1gawxp90,15376,7w93cfaszi89ex6xdf9tgkp9l:2126249,EDM vs HFX (2020-08-27)
15,1,7ehcrcdv82ib5fkpo3498gpgp,244929,90,24,Left Back,Kwame,Awuah,K. Awuah,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,3,4,65,24,34,0.03,1,0,0.00,0,0,0,0,0,1,0,0,8,1,0,0,88,1,2,2,0,6,100.0%,1,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,18,43,0,29.2%,89.2%,35,17,6,19,10,36,0,18.6,0,66.7%,3,0.00,27,0,0,0,2,2,73.7%,5,0,1,0.03,0.00,0.03,0,0,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,6925,7ehcrcdv82ib5fkpo3498gpgp:2126225,FOR vs EDM (2020-08-16)
15,1,c71o8hujd9joixq9ge68i4qg9,156664,90,24,Left Midfielder,Nathan,Mavila,N. Mavila,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,55,33,7,0.00,0,0,0.05,0,0,0,1,1,3,0,0,4,1,0,0,88,7,0,0,0,1,-,1,1,4,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,15,20,53,1,32.7%,72.7%,27,4,9,4,13,38,0,21.6,0,25.0%,4,0.00,0,0,0,0,3,3,33.3%,1,0,0,0.00,0.00,0.00,1,0,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,c71o8hujd9joixq9ge68i4qg9:2126240,EDM vs CAV (2020-08-21)
15,1,3176i3h6iv1ufsp88prhhmjqi,209693,90,22,Central Midfielder,Elliot,Simmons,E. Simmons,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,83,40,35,0.00,0,0,0.52,0,1,0,1,1,0,0,0,1,0,1,1,88,4,1,0,0,1,20.0%,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,77,0,32.5%,90.4%,67,4,4,5,5,73,0,17.5,4,-,0,0.00,0,0,0,0,0,0,81.5%,0,1,0,0.00,0.00,0.00,1,0,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,3176i3h6iv1ufsp88prhhmjqi:2126240,EDM vs CAV (2020-08-21)
15,1,cfx0kdkw50a9417og40fqqled,160292,90,28,Right Centre Back,Roger,Thompson,R. Thompson,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,83,38,31,0.00,0,0,0.04,0,0,0,1,1,0,0,0,1,0,0,0,88,2,1,0,1,4,100.0%,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,45,40,2,36.1%,83.1%,36,1,32,3,41,39,0,23.9,0,0.0%,1,0.00,0,0,0,0,0,0,76.7%,3,1,0,0.00,0.00,0.00,1,0,HFX vs Y9,2020-08-29,7ubxnr535nkdppzi934wdbdhw,15376,cfx0kdkw50a9417og40fqqled:2126256,HFX vs Y9 (2020-08-29)
