Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
81,1,622w13rktz2os2jlo286col3p,168505,90,24,Defensive Midfielder,Manuel,Aparicio,M. Aparicio,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,4,3,52,12,33,0.07,1,0,0.12,0,0,0,4,4,1,0,0,6,0,0,0,68,9,0,5,1,6,62.5%,0,0,8,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,10,46,0,34.6%,86.5%,31,9,5,10,7,35,0,20.6,3,-,0,0.00,0,0,0,0,0,0,72.2%,3,3,0,0.00,0.07,0.07,4,0,EDM vs Y9,2020-09-02,7ulatzc5xxyaiw5pmjxft1kb8,6925,622w13rktz2os2jlo286col3p:2126259,EDM vs Y9 (2020-09-02)
81,1,20o0wuwg7mm8ynf0msec3a06i,481560,90,28,Right Midfielder,Dean,Northover,D. Northover,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,46,12,17,0.00,0,0,0.27,0,1,0,1,1,2,0,0,7,0,0,0,68,3,2,2,1,7,100.0%,2,1,6,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,19,29,20,0,54.3%,63.0%,9,8,12,9,21,16,0,23.0,0,0.0%,2,0.00,0,0,0,0,1,1,60.0%,4,0,3,0.00,0.00,0.00,1,1,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15376,20o0wuwg7mm8ynf0msec3a06i:2126244,CAV vs HFX (2020-08-24)
86,1,ckozved8umsj42boq3tte1byt,39226,77,33,Left Back,Marcel,de Jong,M. de Jong,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,3,40,14,12,0.09,0,0,0.09,0,0,0,1,1,2,1,1,5,1,0,0,67,0,0,1,4,7,100.0%,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,13,18,36,5,52.5%,65.0%,21,1,4,2,9,29,0,21.6,0,100.0%,2,0.00,18,0,0,0,4,4,57.1%,4,2,1,0.09,0.00,0.09,1,0,PAC vs VAL,2020-08-26,7tw47791fe2i850ddmt0nthqs,15378,ckozved8umsj42boq3tte1byt:2126245,PAC vs VAL (2020-08-26)
86,1,cseaof8mo75i2fufyg0b4bpat,133078,90,25,Right Attacking Midfielder,Fraser,Aird,F. Aird,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,42,8,29,0.05,0,0,0.07,0,0,0,2,2,1,0,0,2,1,0,0,67,4,0,0,0,3,-,3,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,12,17,2,23.8%,88.1%,16,19,2,20,5,17,0,17.8,0,50.0%,2,0.00,0,0,0,0,4,7,60.0%,3,0,0,0.00,0.05,0.05,2,0,VAL vs HFX,2020-09-02,7uo653c2y32d06v6dq2as5t04,15376,cseaof8mo75i2fufyg0b4bpat:2126261,VAL vs HFX (2020-09-02)
86,1,7whdjeubz6xgvlxtl91z93idx,173167,90,24,Left Back,Jordan,Haynes,J. Haynes,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,49,22,9,0.00,0,0,0.00,0,0,0,0,0,0,0,0,7,0,0,0,67,3,0,2,0,3,100.0%,1,0,6,0,2,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,27,38,0,63.3%,63.3%,18,1,12,2,18,29,0,25.3,0,80.0%,5,0.00,0,0,0,0,0,0,45.2%,3,0,0,0.00,0.00,0.00,0,1,CAV vs PAC,2020-08-30,7uiktgg1hzmxb1oky4wpsigwk,15381,7whdjeubz6xgvlxtl91z93idx:2126258,CAV vs PAC (2020-08-30)
86,1,1yufrkhruoxnyg54sxgduilt5,423654,90,24,Right Wing Back,Jeannot,Esua,J. Esua,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,42,18,16,0.00,0,0,0.03,0,0,0,1,1,2,0,0,3,0,0,0,67,5,0,0,2,8,-,6,4,8,0,1,0,0,2,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,28,27,0,26.2%,81.0%,18,6,10,6,13,23,0,18.4,0,50.0%,2,0.00,0,0,0,0,3,3,54.5%,7,0,1,0.00,0.00,0.00,1,0,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,15377,1yufrkhruoxnyg54sxgduilt5:2126225,FOR vs EDM (2020-08-16)
86,1,13wkddshf1c9zrygeg7r3s6w9,421818,90,19,Right Centre Back,Julian,Dunn-Johnson,J. Dunn-Johnson,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,54,35,12,0.00,0,0,0.03,0,0,1,0,1,0,0,0,8,0,0,0,67,8,0,1,3,6,50.0%,2,2,7,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,40,22,3,46.3%,87.0%,14,2,31,3,33,18,0,19.7,1,66.7%,9,0.00,0,0,0,0,1,1,84.0%,4,2,0,0.00,0.00,0.00,1,2,VAL vs HFX,2020-09-02,7uo653c2y32d06v6dq2as5t04,15376,13wkddshf1c9zrygeg7r3s6w9:2126261,VAL vs HFX (2020-09-02)
86,1,bxbh5i1uqhe22e2cft5x6fl2i,425644,90,21,Right Back,Chrisnovic,N'Sa,C. N'Sa,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,36,9,15,0.05,0,0,0.00,0,0,0,0,0,3,0,0,8,1,0,0,67,2,0,5,3,12,83.3%,3,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,24,19,24,1,33.3%,66.7%,9,12,3,15,8,13,0,16.8,1,100.0%,1,0.00,0,0,0,0,1,1,8.3%,7,4,1,0.00,0.05,0.05,0,0,HFX vs FOR,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,15377,bxbh5i1uqhe22e2cft5x6fl2i:2126238,HFX vs FOR (2020-08-20)
86,1,4c5w90f125c6det9gu0ljmgnp,481754,90,24,Right Centre Back,Peter,Schaale,P. Schaale,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,2,52,20,13,0.21,0,0,0.00,0,0,0,0,0,1,0,0,7,1,0,0,67,2,0,0,1,10,-,9,5,8,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,31,33,1,67.3%,63.5%,17,2,14,2,19,31,0,27.8,0,80.0%,5,0.00,0,0,0,0,0,0,51.4%,10,0,0,0.00,0.21,0.21,0,1,HFX vs Y9,2020-08-29,7ubxnr535nkdppzi934wdbdhw,15382,4c5w90f125c6det9gu0ljmgnp:2126256,HFX vs Y9 (2020-08-29)
86,1,49rr75teem0kobuhr4cesh756,484653,71,20,Right Midfielder,Mohamed,Farsi,M. Farsi,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,44,18,13,0.00,0,0,0.06,0,0,0,1,1,1,0,0,7,0,0,0,67,2,1,3,1,5,100.0%,0,0,4,0,0,2,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,29,13,25,3,22.7%,70.5%,15,10,6,17,8,19,0,18.7,0,0.0%,1,0.00,0,0,0,0,5,5,30.0%,1,2,2,0.00,0.00,0.00,1,0,ATO vs CAV,2020-08-27,7u47vp82i9898dpktaf5q6psk,16614,49rr75teem0kobuhr4cesh756:2126251,ATO vs CAV (2020-08-27)
94,1,ezyu9w01guirieddjudeln1lh,209503,90,27,Central Midfielder,Allan,Zebie,A. Zebie,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,58,30,24,0.03,0,0,0.00,0,0,0,0,0,1,0,0,3,1,0,0,66,2,0,1,0,1,33.3%,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,16,43,1,20.7%,93.1%,35,5,14,5,14,39,0,18.5,2,100.0%,1,0.00,27,0,0,0,0,0,75.0%,1,0,0,0.03,0.00,0.03,0,0,ATO vs EDM,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,16614,ezyu9w01guirieddjudeln1lh:2126243,ATO vs EDM (2020-08-23)
94,1,d3uo72swkorck8mo41kv1yp61,423548,90,23,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,11,2,51,24,14,0.06,0,0,0.00,0,0,0,0,0,1,0,0,4,0,0,0,66,1,0,2,1,8,100.0%,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,35,29,0,70.6%,74.5%,21,0,17,0,25,26,0,28.5,0,100.0%,2,0.00,51,0,0,0,1,1,66.7%,8,0,0,0.02,0.04,0.06,0,1,FOR vs PAC,2020-08-22,7to1ns52wkgk9irtdbwzdn2ms,15380,d3uo72swkorck8mo41kv1yp61:2126242,FOR vs PAC (2020-08-22)
94,1,ex56fczses29ox8kg1fvaodm1,469158,90,23,Central Midfielder,Víctor,Martínez Manrique,Viti,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,50,16,25,0.03,0,0,0.00,0,0,0,0,0,2,0,0,2,0,0,0,66,6,0,1,1,6,50.0%,4,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,9,17,40,0,34.0%,82.0%,31,3,7,5,10,35,0,16.3,1,-,0,0.00,26,0,0,0,1,1,70.6%,6,0,0,0.03,0.00,0.03,0,1,ATO vs FOR,2020-08-30,7ufagyfpmg0q5miihyn7181ec,15377,ex56fczses29ox8kg1fvaodm1:2126257,ATO vs FOR (2020-08-30)
94,1,653qyopyxl1qrfmul2n3m5g16,481743,90,26,Right Back,Morey,Doner,M. Doner,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,43,14,21,0.00,0,0,0.00,0,0,0,0,0,2,0,0,1,0,0,0,66,6,0,1,3,6,100.0%,2,2,8,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,20,25,0,39.5%,81.4%,16,12,7,14,10,19,0,17.0,0,0.0%,1,0.00,0,0,0,0,1,1,58.8%,4,1,1,0.00,0.00,0.00,0,1,EDM vs Y9,2020-09-02,7ulatzc5xxyaiw5pmjxft1kb8,6925,653qyopyxl1qrfmul2n3m5g16:2126259,EDM vs Y9 (2020-09-02)
98,1,41fep3jlo1ieyq9hvpmsl6wvd,225056,90,21,Right Back,Kadin,Chung,K. Chung,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,38,14,20,0.00,0,0,0.07,0,0,0,2,2,4,0,0,6,2,0,0,65,2,0,3,3,9,75.0%,3,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,18,19,28,0,26.3%,89.5%,19,8,7,9,9,20,0,18.3,1,-,0,0.00,0,0,0,0,4,4,70.0%,7,1,1,0.00,0.00,0.00,2,1,FOR vs PAC,2020-08-22,7to1ns52wkgk9irtdbwzdn2ms,15377,41fep3jlo1ieyq9hvpmsl6wvd:2126242,FOR vs PAC (2020-08-22)
98,1,6rsihixcpnuyulgk4giwpzvth,228121,90,25,Right Back,Dominic,Samuel,D. Samuel,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,37,14,13,0.64,0,0,0.00,1,0,0,0,0,1,0,0,8,1,0,0,65,7,2,2,0,7,66.7%,2,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,15,23,27,2,54.1%,73.0%,17,1,9,2,12,23,0,18.2,2,100.0%,3,0.00,0,0,1,0,1,1,65.0%,5,0,2,0.00,0.64,0.64,0,1,Y9 vs FOR,2020-08-26,7tyu476shfl4lg1dm54shvt3o,15382,6rsihixcpnuyulgk4giwpzvth:2126246,Y9 vs FOR (2020-08-26)
98,1,5m5p9c4iyl4f4j1rr1rdmojfu,481561,65,24,Central Midfielder,Elijah,Adekugbe,E. Adekugbe,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,54,35,13,0.00,0,0,0.15,0,0,2,0,2,0,0,0,4,0,0,0,65,1,1,1,0,2,100.0%,0,0,6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,23,33,0,35.2%,88.9%,28,3,17,3,20,31,0,18.4,0,100.0%,1,0.00,0,0,0,0,2,5,68.4%,1,1,0,0.00,0.00,0.00,2,0,VAL vs CAV,2020-08-16,7t877d5i442n1ar3pg35nz02c,15378,5m5p9c4iyl4f4j1rr1rdmojfu:2126228,VAL vs CAV (2020-08-16)
101,1,86tz9u1o9o5u0lbyycyd3df4l,37057,89,35,Central Midfielder,Nikolas,Ledgerwood,N. Ledgerwood,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,52,22,23,0.00,0,0,0.22,0,0,4,0,4,0,0,0,3,0,0,0,64,3,2,0,0,2,100.0%,0,0,8,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,43,1,23.1%,86.5%,37,5,3,8,4,40,0,23.9,0,-,0,0.00,0,0,0,0,1,9,66.7%,0,2,0,0.00,0.00,0.00,4,0,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,86tz9u1o9o5u0lbyycyd3df4l:2126240,EDM vs CAV (2020-08-21)
101,1,1mcgu1zocg8bwfrncptuvfm51,90443,90,34,Left Centre Back,Mason,Trafford,M. Trafford,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,52,36,9,0.00,0,0,0.00,0,0,0,0,0,1,0,0,2,0,0,0,64,4,0,2,0,5,100.0%,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,22,0,46.2%,86.5%,16,0,29,0,33,19,0,25.2,0,0.0%,2,0.00,0,0,0,0,0,0,75.0%,4,1,0,0.00,0.00,0.00,0,1,ATO vs CAV,2020-08-27,7u47vp82i9898dpktaf5q6psk,16614,1mcgu1zocg8bwfrncptuvfm51:2126251,ATO vs CAV (2020-08-27)
101,1,7w93cfaszi89ex6xdf9tgkp9l,199141,90,25,Right Centre Back,Mélé,Temguia,M. Temguia,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,54,29,18,0.00,0,0,0.00,0,0,0,0,0,1,0,0,4,1,0,0,64,5,0,1,2,5,50.0%,2,1,9,2,1,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,28,34,0,37.0%,87.0%,24,2,21,2,23,29,0,22.5,1,0.0%,2,0.00,0,0,0,0,0,0,70.0%,4,1,0,0.00,0.00,0.00,0,0,VAL vs EDM,2020-08-29,7u70ahhsjfxqkqyoibw4kuql0,15378,7w93cfaszi89ex6xdf9tgkp9l:2126254,VAL vs EDM (2020-08-29)
101,1,7ehcrcdv82ib5fkpo3498gpgp,244929,90,24,Left Back,Kwame,Awuah,K. Awuah,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,42,14,18,0.00,0,0,0.10,0,0,0,1,1,0,0,0,4,0,0,0,64,3,1,0,2,4,100.0%,1,1,6,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,22,18,2,31.0%,76.2%,12,11,9,14,13,15,1,16.3,0,-,0,0.00,0,1,0,0,2,2,53.8%,3,1,0,0.00,0.00,0.00,1,1,HFX vs FOR,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,15376,7ehcrcdv82ib5fkpo3498gpgp:2126238,HFX vs FOR (2020-08-20)
101,1,d3uo72swkorck8mo41kv1yp61,423548,90,23,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,1,1,1,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,2,0,5,3,45,29,8,0.69,1,0,0.00,1,0,0,0,0,0,0,0,6,0,0,0,64,3,0,0,6,8,0.0%,2,0,5,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,22,2,42.2%,82.2%,13,1,23,1,28,16,0,22.8,1,100.0%,2,0.00,0,0,1,1,0,0,63.2%,6,2,0,0.00,0.69,0.69,0,0,ATO vs FOR,2020-08-30,7ufagyfpmg0q5miihyn7181ec,16614,d3uo72swkorck8mo41kv1yp61:2126257,ATO vs FOR (2020-08-30)
101,1,1yufrkhruoxnyg54sxgduilt5,423654,90,24,Right Back,Jeannot,Esua,J. Esua,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,34,18,8,0.15,0,0,0.00,0,0,0,0,0,3,0,0,7,2,0,0,64,1,1,1,3,7,100.0%,2,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,26,26,2,32.4%,76.5%,16,2,8,4,11,19,0,21.3,0,100.0%,2,0.00,0,0,0,0,3,3,72.7%,5,2,0,0.00,0.15,0.15,0,0,EDM vs Y9,2020-09-02,7ulatzc5xxyaiw5pmjxft1kb8,15382,1yufrkhruoxnyg54sxgduilt5:2126259,EDM vs Y9 (2020-09-02)
101,1,37pbdttxfaqvayoufo0q0dxey,453335,89,21,Left Attacking Midfielder,Diyaeddine,Abzi,D. Abzi,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,1,41,10,21,0.12,0,0,0.08,0,0,0,2,2,2,0,0,4,0,0,0,64,9,0,2,0,2,66.7%,0,0,7,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,14,17,0,34.1%,75.6%,10,14,7,19,10,12,0,19.5,1,33.3%,3,0.00,25,0,0,0,5,5,50.0%,1,0,1,0.12,0.00,0.12,2,0,EDM vs Y9,2020-09-02,7ulatzc5xxyaiw5pmjxft1kb8,6925,37pbdttxfaqvayoufo0q0dxey:2126259,EDM vs Y9 (2020-09-02)
101,1,7ta110w4agnmtkjsfpgilj2wa,481559,90,32,Central Defender,Jonathan,Wheeldon,J. Wheeldon,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,58,39,14,0.00,0,0,0.00,0,0,0,0,0,0,0,0,3,0,0,0,64,1,1,0,3,5,100.0%,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,46,18,0,44.8%,91.4%,15,0,38,0,42,16,0,22.0,0,66.7%,3,0.00,0,0,0,0,0,0,88.5%,3,2,0,0.00,0.00,0.00,0,0,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15376,7ta110w4agnmtkjsfpgilj2wa:2126244,CAV vs HFX (2020-08-24)
101,1,4tus0wc9k482jmoncnstteelm,481577,90,25,Defensive Midfielder,Raphael,Ohin,R. Ohin,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,51,31,16,0.06,0,0,0.11,0,0,0,2,2,0,0,0,2,0,0,0,64,2,1,0,4,7,100.0%,2,1,8,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,33,21,0,45.1%,92.2%,20,4,23,6,25,20,0,18.4,0,0.0%,1,0.00,26,0,0,0,0,0,82.6%,6,0,1,0.06,0.00,0.06,2,0,Y9 vs VAL,2020-08-22,7tlbzq6emywjn0z9q1pwzwxsk,15382,4tus0wc9k482jmoncnstteelm:2126241,Y9 vs VAL (2020-08-22)
