rank,team,form,old_rank,change,goal_bonus,w_bonus,crest,colour,previous
1,Forge FC,0-0-0,0,0,0,0,Forge_FC_nav.png,cpl-ffc,0
2,HFX Wanderers FC,0-0-0,0,0,0,0,HFX_Wanderers_FC.png,cpl-hfx,0
3,Cavalry FC,0-0-0,0,0,0,0,cavalry_fc_nav.png,cpl-cfc,0
4,Pacific FC,0-0-0,0,0,0,0,Pacific_FC_nav.png,cpl-pfc,0
5,York  FC,0-0-0,0,0,0,0,YU_Primary_Nav.png,cpl-y9,0
6,Atlético Ottawa,0-0-0,0,0,0,0,Atletico_Ottawa_nav.png,cpl-ao,0
7,Valour FC,0-0-0,0,0,0,0,Valour_FC_nav.png,cpl-vfc,0
8,FC Edmonton,0-0-0,0,0,0,0,FC_Edmonton_nav.png,cpl-fce,0
