team,name,Min,ExpG,overall,ExpA,Goal,Off,PsOpHfFl,Touches,DefTouch,Recovery,TchsA3,TchsM3,PsCmpM3,PsCmpA3,Pass%,DuelsW%,display,number
ato,Ajay Khabra,90,0.04,0.26,0.02,0.0,0.0,4.33,55.0,2.67,6.33,9.67,32.67,24.33,7.33,28.67,9.67,Ajay Khabra,7.67
pac,Noah Verhoeven,90,0.04,0.25,0.06,0.0,0.0,9.5,57.5,2.0,4.0,18.5,33.5,19.5,8.5,37.0,32.5,Noah Verhoeven,9.5
fce,Chance Carter,90,0.02,0.25,0.06,0.0,0.0,5.0,60.5,6.5,7.0,9.5,37.0,25.5,6.0,43.5,26.0,Chance Carter,7.0
val,Dante Campbell,90,0.0,0.25,0.01,0.0,0.0,5.67,52.33,5.67,6.0,12.0,23.33,12.0,5.0,24.33,13.67,Dante Campbell,16.0
fce,Yong-Chan Son,90,0.0,0.25,0.07,0.0,0.0,5.0,57.33,4.33,4.0,14.0,29.33,18.67,5.33,27.67,11.0,Yong-Chan Son,2.33
pac,Josh Heard,90,0.59,0.24,0.18,0.5,2.0,5.5,51.0,1.5,1.0,29.5,18.0,8.5,6.5,36.0,19.0,Josh Heard,5.5
cav,Sergio Camargo,90,0.97,0.23,0.08,1.0,2.0,8.0,62.0,3.0,6.0,32.0,30.0,16.0,14.0,79.0,58.0,Sergio Camargo,10.0
yor,Max Ferrari,90,0.13,0.2,0.0,0.0,1.0,3.5,41.5,2.5,3.5,23.5,13.5,8.5,9.5,40.0,14.5,Max Ferrari,8.0
hfx,Scott Firth,90,0.0,0.2,0.06,0.0,0.0,6.0,71.0,5.0,7.0,12.0,44.0,29.0,7.0,87.0,56.0,Scott Firth,15.0
yor,Michael Petrasso,90,0.58,0.19,0.0,0.0,4.0,2.0,42.0,2.0,3.0,21.0,16.0,9.0,6.0,84.0,40.0,Michael Petrasso,21.0
yor,Chris Mannella,90,0.0,0.18,0.0,0.0,0.0,9.0,69.0,7.0,12.0,2.0,41.0,25.0,0.0,76.0,48.0,Chris Mannella,5.0
yor,Isaiah Johnston,90,,0.17,,,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,Isaiah Johnston,inf
ato,Antoine Coupland,90,0.0,0.16,0.0,0.0,0.0,3.0,29.0,5.0,1.0,14.0,8.0,2.0,6.0,75.0,56.0,Antoine Coupland,11.0
val,Solomon Kojo Antwi,90,0.02,0.15,0.0,0.0,1.0,5.0,43.0,5.0,5.0,17.0,17.0,8.0,7.0,74.0,28.0,Solomon Kojo Antwi,25.0
ato,Michel Djaozandry,90,,0.14,,,,,inf,inf,,,inf,inf,,inf,inf,Michel Djaozandry,inf
ato,Matteo de Brienne,90,,,,,,,,,,,,,,,,Matteo  de Brienne,inf
yor,Julian Altobelli,90,,,,,,,,,,,,,,,,Julian Altobelli,inf
