team,name,Min,ExpG,overall,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOpHfScs,ChncOpnPl,SucflDuels,Touches,DuelLs,Recovery,FlComA3,FlSufM3,Disposs,TchsA3,TouchOpBox,PsCmpA3,display,number
hfx,Akeem Garcia,90,0.62,0.71,0.04,0.75,1.0,2.75,17.5,9.38,0.75,5.12,32.12,5.0,2.12,1.5,2.25,0.88,14.88,4.62,5.5,Akeem Garcia,1.38
ato,Mohamed Kourouma,90,0.23,0.67,0.08,0.14,0.71,6.14,34.14,17.29,0.43,5.57,54.71,5.86,5.71,0.57,1.0,1.14,25.29,1.43,11.0,Mohamed Kourouma,1.29
hfx,João Morelli Neto,90,0.48,0.63,0.06,0.67,0.67,8.83,31.33,13.0,1.0,5.17,52.83,7.33,4.5,0.67,1.17,1.83,22.5,2.17,6.67,João Morelli,3.67
ato,Malcolm Isaiah Shaw,90,0.33,0.62,0.05,0.29,0.86,3.29,17.86,9.0,0.43,5.57,35.86,9.86,1.43,1.29,1.71,2.29,18.0,4.14,6.29,Malcolm Shaw,2.71
cav,Marcus Haber,90,0.56,0.62,0.08,0.33,1.0,7.67,20.83,9.17,0.83,8.0,33.33,9.0,1.67,2.5,0.5,1.5,19.0,5.83,6.0,Marcus Haber,4.83
cav,Nico Pasquotti,90,0.24,0.6,0.09,0.0,0.67,5.17,26.33,14.0,1.0,7.0,53.0,6.83,5.17,0.33,0.83,1.67,31.0,4.17,9.17,Nico Pasquotti,2.83
pac,Alejandro Díaz Liceága,90,0.43,0.56,0.26,0.43,0.71,6.29,24.43,11.43,1.0,3.29,37.0,3.43,2.71,0.14,0.57,1.0,17.71,3.57,6.86,Alejandro Diaz,1.29
pac,Terran Campbell,90,0.22,0.55,0.15,0.2,1.4,7.8,25.2,10.4,0.8,4.4,45.2,11.0,2.8,1.6,0.2,3.2,23.6,5.0,6.0,Terran Campbell,2.8
for,Molham Babouli,90,0.13,0.51,0.4,0.2,0.2,6.4,25.8,12.4,1.6,6.8,46.0,7.4,3.4,1.2,0.8,1.6,25.8,4.4,7.8,Mo Babouli,3.8
cav,Jordan Brown,90,0.33,0.48,0.07,0.43,0.86,2.71,15.43,7.43,0.43,2.29,29.86,6.57,1.86,0.71,0.43,1.43,15.86,4.57,4.71,Jordan Brown,1.29
fce,Easton Ongaro,90,0.44,0.43,0.05,0.6,1.0,3.4,17.8,8.4,0.8,5.2,34.8,9.4,2.6,0.4,0.4,1.6,19.8,4.8,5.8,Easton Ongaro,3.8
hfx,Alessandro Riggi,90,0.11,0.43,0.18,0.2,0.2,6.4,26.4,14.4,1.2,4.2,40.8,6.4,4.4,0.8,0.8,1.6,18.6,1.0,7.8,Alessandro Riggi,2.0
cav,Oliver Minatel,90,0.06,0.42,0.21,0.0,0.8,4.4,27.6,14.0,1.2,4.8,38.8,6.0,3.8,0.6,1.2,0.4,17.0,2.6,8.8,Oliver Minatel,1.4
for,Kadell Thomas,90,0.38,0.36,0.07,0.0,0.67,4.0,21.33,11.33,1.0,10.67,50.33,14.0,9.0,1.33,1.0,2.67,22.67,4.67,7.33,Kadell Thomas,5.67
val,Mastanabal Kacher,90,0.08,0.35,0.1,0.25,0.75,6.5,30.5,13.5,1.25,2.75,45.5,3.75,4.5,0.0,0.25,1.25,21.75,2.25,9.25,Masta Kacher,1.75
val,Austin Ricci,90,0.24,0.33,0.03,0.0,0.75,5.0,13.25,6.25,0.75,5.0,31.5,7.5,2.0,1.25,1.5,1.0,20.5,7.25,4.0,Austin Ricci,2.25
val,Federico Peña,90,0.02,0.26,0.07,0.0,0.5,2.25,23.0,10.75,0.5,5.25,44.25,4.25,4.5,1.0,0.0,0.75,13.5,1.0,6.5,Federico Peña,19.25
fce,Tomi Ameobi,90,0.5,0.26,0.04,0.0,0.33,5.67,25.67,10.33,0.33,9.0,38.67,8.67,4.0,1.33,1.0,1.67,14.33,3.33,7.0,Tomi Ameobi,6.0
yor,Álvaro Rivero Sánchez,90,0.08,0.25,0.01,0.25,0.75,1.0,13.75,8.0,0.25,3.25,25.75,5.0,1.25,0.75,2.0,2.0,9.5,2.75,3.5,Álvaro Rivero,1.75
fce,Marcus Velado-Tsegaye,90,0.14,0.22,0.0,0.33,0.0,4.33,24.0,12.0,0.0,4.0,40.67,5.33,3.67,0.33,1.33,2.0,16.67,3.0,6.33,Marcus Velado-Tsegaye,5.67
val,Shaan Hundal,90,0.09,0.19,0.07,0.0,0.0,2.67,11.67,4.33,1.67,1.33,22.0,8.33,2.33,2.0,0.0,1.33,12.0,2.33,3.0,Shaan Hundal,3.67
for,Gabriel Wiethaeuper-Balbinotti,90,0.28,0.19,0.0,0.0,2.0,5.5,18.0,6.5,0.0,5.0,33.0,12.5,1.5,1.5,1.5,3.0,16.0,4.5,2.5,Gabriel Balbinotti,10.0
cav,José Hernández,90,0.03,0.17,0.44,0.0,1.0,6.0,33.0,21.0,2.0,10.0,63.0,21.0,5.0,3.0,2.0,8.0,26.0,4.0,10.0,Jose Hernandez,20.0
hfx,Ibrahima Sanoh,90,1.3,0.15,0.04,1.0,2.0,12.0,29.0,11.0,1.0,9.0,58.0,15.0,7.0,0.0,2.0,4.0,32.0,5.0,6.0,Ibrahima Sanoh,9.0
fce,Prince Amanda,90,0.07,0.14,0.0,0.0,0.0,3.5,20.5,10.0,0.0,6.5,47.5,7.5,3.5,0.0,1.0,2.5,15.0,2.5,3.0,Prince Amanda,8.0
val,Daryl Fordyce,90,0.76,0.14,0.0,0.5,1.5,6.0,20.0,7.5,0.0,4.0,31.5,6.0,1.5,1.5,0.5,0.0,13.0,2.5,5.0,Daryl Fordyce,8.0
cav,Aribim Pepple,90,0.36,0.1,0.07,0.0,1.0,3.0,13.0,7.0,1.0,4.0,41.0,12.0,4.0,1.0,0.0,5.0,25.0,6.0,6.0,Aribim Pepple,24.0
yor,Lowell Wright,90,0.8,0.1,0.0,1.0,2.0,8.0,19.0,11.0,0.0,4.0,38.0,10.0,1.0,1.0,0.0,2.0,21.0,7.0,7.0,Lowell Wright,80.0
cav,Jair Ayrton Córdova Carpio,90,0.66,0.1,0.04,1.0,1.0,8.0,24.0,12.0,1.0,4.0,32.0,9.0,5.0,0.0,1.0,1.0,13.0,5.0,5.0,Jair Córdova,19.0
yor,Gabriel Monteiro Vasconcelos,90,0.05,0.05,0.0,0.0,1.0,4.0,19.0,11.0,0.0,1.0,28.0,3.0,2.0,0.0,0.0,1.0,15.0,2.0,6.0,Gabriel Vasconcelos,99.0
fce,David Doe,90,0.0,0.04,0.0,0.0,0.0,8.0,14.0,1.0,0.0,5.0,28.0,7.0,3.0,0.0,0.0,1.0,6.0,0.0,1.0,David Doe,26.0
