team,name,Min,ExpG,overall,ExpA,Goal,Off,PsOpHfFl,Touches,DefTouch,Recovery,TchsA3,TchsM3,PsCmpM3,PsCmpA3,Pass%,DuelsW%,display,number
cav,Sergio Camargo,130,0.97,0.23,0.08,1,2,8,62,3,6,32,30,16,14,79.0,58.0,Sergio Camargo,10
yor,Max Ferrari,159,0.26,0.2,0.0,0,2,7,83,5,7,47,27,17,19,80.0,29.0,Max Ferrari,16
hfx,Scott Firth,98,0.0,0.2,0.06,0,0,6,71,5,7,12,44,29,7,87.0,56.0,Scott Firth,15
yor,Michael Petrasso,130,0.58,0.19,0.0,0,4,2,42,2,3,21,16,9,6,84.0,40.0,Michael Petrasso,21
yor,Chris Mannella,100,0.0,0.18,0.0,0,0,9,69,7,12,2,41,25,0,76.0,48.0,Chris Mannella,5
yor,Isaiah Johnston,18,0.0,0.17,0.0,0,0,1,13,2,2,7,5,3,5,89.0,67.0,Isaiah Johnston,44
ato,Antoine Coupland,97,0.0,0.16,0.0,0,0,3,29,5,1,14,8,2,6,75.0,56.0,Antoine Coupland,11
val,Solomon Kojo Antwi,80,0.02,0.15,0.0,0,1,5,43,5,5,17,17,8,7,74.0,28.0,Solomon Kojo Antwi,25
ato,Michel Djaozandry,6,0.0,0.14,0.0,0,0,0,5,1,0,0,4,2,0,100.0,50.0,Michel Djaozandry,12
ato,Matteo de Brienne,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,,,Matteo  de Brienne,42
yor,Julian Altobelli,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,,,Julian Altobelli,22
