team,Age,pos,name,overall,Min,CleanSheet,CrossPunch,Saves,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStoop,KeeperCtch,GoalCncd,display
Forge,27.0,g,Triston Henry,0.72,900,5,4,23,16,7,1,11,0,6,8,8,Triston Henry
Pacific,27.0,g,Callum Irving,0.64,540,1,5,22,16,6,4,4,1,10,5,8,Callum Irving
Atlético Ottawa,33.0,g,Ignacio Zabal Almazán,0.62,630,2,1,24,15,9,3,9,1,3,2,12,Nacho Zabal
HFX Wanderers,24.0,g,Christian Oxner,0.62,630,2,10,22,16,6,2,9,2,4,1,6,Christian Oxner
Valour,23.0,g,James Pantemis,0.55,630,2,4,19,14,5,4,8,0,2,2,9,James Pantemis
Cavalry,24.0,g,Marco Carducci,0.45,810,3,1,10,6,4,2,3,4,0,0,10,Marco Carducci
York United,27.0,g,Nathan Ingham,0.42,540,2,2,13,8,5,4,6,0,0,2,6,Nathan Ingham
Edmonton,24.0,g,Connor James,0.33,540,0,0,11,6,5,2,2,0,0,2,13,Connor James
HFX Wanderers,26.0,g,Jason Beaulieu,0.31,360,0,3,10,6,4,1,6,0,2,0,10,Jason Beaulieu
Pacific,25.0,g,Nolan Wirth,0.24,360,1,2,9,5,4,0,1,1,2,0,5,Nolan Wirth
Forge,20.0,g,Baj Maan,0.14,90,0,2,6,3,3,0,3,0,0,1,2,Baj Maan
Cavalry,26.0,g,Nikolaos Giantsopoulos,0.07,90,0,1,2,2,0,0,2,0,0,1,1,Nikolaos Giantsopoulos
Edmonton,24.0,g,Dylon Powley,0.06,90,0,0,3,1,2,0,2,0,0,0,1,Dylon Powley
York United,18.0,g,Ezequiel Carrasco,0.03,90,0,0,1,1,0,0,0,0,1,0,1,Ezequiel Carrasco
HFX Wanderers,36.0,sg,Jan-Michael Williams,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Jan-Michael Williams
Pacific,29.0,sg,Mark Village,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Mark Village
Valour,29.0,sg,Matthew Silva,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Matthew Silva
Atlético Ottawa,27.0,sg,Horace Patient Sobze Zemo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Horace Patient Sobze Zemo
Atlético Ottawa,27.0,sg,Richard Soares Gomes,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Richard Soares Gomes
York United,0.0,sg,Evan Couturier,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Evan Couturier
