team,name,Min,Red,2ndYellow,Yellow,Fls,display
York9 FC,Kyle Porter,372,0,0,0,4,Kyle Porter
FC Edmonton,Connor James,540,0,0,0,0,Connor James
York9 FC,Nathan Ingham,540,0,0,0,0,Nathan Ingham
Cavalry FC,Oliver Minatel,454,0,0,0,10,Oliver Minatel
Valour FC,Dylan Carreiro,333,0,0,1,0,Dylan Carreiro
Valour FC,Mastanabal Kacher,360,0,0,1,2,Masta Kacher
Valour FC,Dante Campbell,227,0,0,1,4,Dante Campbell
FC Edmonton,Amer Didic,241,0,0,0,1,Amer Didic
Pacific FC,Nolan Wirth,360,0,0,0,1,Nolan Wirth
FC Edmonton,Easton Ongaro,480,0,0,0,4,Easton Ongaro
Atlético Ottawa,Jarred Phillips,290,0,0,0,2,Jarred Phillips
FC Edmonton,Yong-Chan Son,303,0,0,0,8,Yong-Chan Son
Forge FC,Jordan Dunstan,254,0,0,0,7,Jordan Dunstan
Forge FC,Anthony Joseph Novak,381,0,0,0,4,Anthony Joseph Novak
Atlético Ottawa,Ajay Khabra,308,0,0,1,12,Ajay Khabra
York9 FC,Ijah Halley,157,0,0,0,5,Ijah Halley
Forge FC,Daniel Krutzen,961,0,0,2,14,Daniel Krutzen
Pacific FC,Abdoulaye Samake,89,0,0,0,2,Abdou Samake
Cavalry FC,Oluwatofarati Fakunle,7,0,0,0,0,Tofa Fakunle
Atlético Ottawa,Antoine Coupland,97,0,0,1,4,Antoine Coupland
York9 FC,Gabriel Monteiro Vasconcelos,87,0,0,0,1,Gabriel Vasconcelos
FC Edmonton,David Doe,54,0,0,0,2,David Doe
York9 FC,Ezequiel Carrasco,90,0,0,0,0,Ezequiel Carrasco
Atlético Ottawa,Maksym Kowal,51,0,0,0,1,Maksym Kowal
Valour FC,Raphaël Garcia,26,0,0,0,0,Raphaël Garcia
York9 FC,Isaiah Johnston,18,0,0,0,1,Isaiah Johnston
York9 FC,Jace Kotsopoulos,28,0,0,0,0,Jace Kotsopoulos
Atlético Ottawa,Michel Djaozandry,6,0,0,0,0,Michel Djaozandry
Cavalry FC,Nikolaos Giantsopoulos,90,0,0,0,0,Nikolaos Giantsopoulos
Forge FC,Klaidi Cela,3,0,0,1,1,Klaidi Cela
HFX Wanderers FC,Jan-Michael Williams,0,0,0,0,0,Jan-Michael Williams
Pacific FC,Mark Village,0,0,0,0,0,Mark Village
Atlético Ottawa,Matteo de Brienne,0,0,0,0,0,Matteo  de Brienne
York9 FC,Julian Altobelli,0,0,0,0,0,Julian Altobelli
Valour FC,Matthew Silva,0,0,0,0,0,Matthew Silva
Atlético Ottawa,Horace Patient Sobze Zemo,0,0,0,0,0,Horace Patient Sobze Zemo
Atlético Ottawa,Richard Soares Gomes,0,0,0,0,0,Richard Soares Gomes
Valour FC,Chakib Hocine,66,0,0,0,3,Chakib Hocine
York9 FC,Matthew Arnone,62,0,0,0,1,Matthew Arnone
HFX Wanderers FC,Scott Firth,98,0,0,0,0,Scott Firth
HFX Wanderers FC,Luke Green,90,0,0,0,0,Luke Green
FC Edmonton,Samuel Gardner,82,0,0,1,3,Sam Gardner
York9 FC,Chris Mannella,100,0,0,1,3,Chris Mannella
Valour FC,Shaan Hundal,232,0,0,1,7,Shaan Hundal
Forge FC,Gabriel Wiethaeuper-Balbinotti,203,0,0,1,8,Gabriel Balbinotti
Valour FC,Daryl Fordyce,164,0,0,0,5,Daryl Fordyce
Cavalry FC,José Hernández,102,0,0,1,5,Jose Hernandez
FC Edmonton,Kareem Moses,140,0,0,0,3,Kareem Moses
Cavalry FC,Sergio Camargo,130,0,0,1,1,Sergio Camargo
HFX Wanderers FC,Ibrahima Sanoh,124,0,0,0,1,Ibrahima Sanoh
Cavalry FC,Jair Ayrton Córdova Carpio,71,0,0,0,0,Jair Córdova
Forge FC,Baj Maan,90,0,0,0,0,Baj Maan
Valour FC,Yohan Le Bourhis,90,0,0,0,2,Yohan Le Bourhis
Valour FC,Solomon Kojo Antwi,80,0,0,0,3,Solomon Kojo Antwi
York9 FC,Michael Petrasso,130,0,0,0,1,Michael Petrasso
Cavalry FC,Aribim Pepple,67,0,0,0,2,Aribim Pepple
FC Edmonton,Dylon Powley,90,0,0,0,0,Dylon Powley
York9 FC,Lowell Wright,128,0,0,0,2,Lowell Wright
Valour FC,Arnold Bouka Moutou,70,0,0,0,1,Arnold Bouka Moutou
York9 FC,Max Ferrari,159,0,0,1,8,Max Ferrari
Pacific FC,Alessandro Hojabrpour,385,0,0,0,5,Alessandro Hojabrpour
Cavalry FC,Dominick Zator,900,0,0,0,9,Dominick Zator
HFX Wanderers FC,Mateo Restrepo,626,0,0,1,14,Mateo Restrepo
Cavalry FC,Elliot Simmons,627,0,0,1,9,Elliot Simmons
Forge FC,Paolo Sabak,752,0,0,1,14,Paolo Sabak
Pacific FC,Victor Blasco,644,0,0,2,11,Victor Blasco
HFX Wanderers FC,Louis Béland-Goyette,648,0,0,3,23,Louis Béland-Goyette
Forge FC,Alexander Börje Achinioti-Jönsson,792,0,0,1,12,Alexander Börje Achinioti-Jönsson
Pacific FC,Jordan Haynes,465,0,0,2,5,Jordan Haynes
Atlético Ottawa,Malyk Hamilton,630,0,0,0,10,Malyk Hamilton
Pacific FC,Marcel de Jong,442,0,0,0,3,Marcel de Jong
York9 FC,Luca Gasparotto,630,0,0,2,5,Luca Gasparotto
HFX Wanderers FC,Jems Geffrard,945,0,0,1,8,Jems Geffrard
Cavalry FC,Robert Boskovic,479,0,0,2,7,Robert Boskovic
York9 FC,Joseph Di Chiara,540,0,0,5,15,Joseph Di Chiara
Valour FC,Diego Gutiérrez,489,0,0,1,10,Diego Gutiérrez
Atlético Ottawa,Mohamed Kourouma,617,0,0,1,12,Mohamed Kourouma
York9 FC,Manuel Aparicio,530,0,0,2,14,Manny Aparicio
Valour FC,Julian Dunn-Johnson,630,0,0,0,8,Julian Dunn
Forge FC,Triston Henry,900,0,0,0,0,Triston Henry
Forge FC,Elimane Oumar Cissé,539,0,0,0,10,Elimane Oumar Cissé
York9 FC,Roger Thompson,630,0,0,0,5,Roger Thompson
York9 FC,Morey Doner,630,0,0,0,4,Morey Doner
Pacific FC,Terran Campbell,480,0,0,0,13,Terran Campbell
HFX Wanderers FC,Peter Schaale,900,0,0,3,9,Peter Schaale
Pacific FC,Thomas Meilleur-Giguère,900,0,0,1,4,Thomas Meilleur-Giguère
Pacific FC,Kadin Chung,765,0,0,1,4,Kadin Chung
Forge FC,Kwame Awuah,842,0,0,1,10,Kwame Awuah
Forge FC,David Edward Edgar,900,0,0,4,12,David Edward Edgar
Pacific FC,Lukas MacNaughton,720,0,0,0,13,Lukas MacNaughton
Pacific FC,Matthew Baldisimo,875,0,0,1,18,Matthew Baldisimo
Forge FC,Kyle Edward Bekker,879,0,0,1,14,Kyle Edward Bekker
Cavalry FC,Elijah Adekugbe,638,0,0,2,7,Elijah Adekugbe
HFX Wanderers FC,Andre Rampersad,820,0,0,1,12,Andre Rampersad
FC Edmonton,Jeannot Esua,617,0,0,1,6,Jeannot Esua
Pacific FC,Marco Bustos,849,0,0,3,13,Marco Bustos
Cavalry FC,Mason Trafford,720,0,0,0,8,Mason Trafford
HFX Wanderers FC,Aboubacar Sissoko,707,0,0,0,10,Aboubacar Sissoko
HFX Wanderers FC,Chrisnovic N'Sa,738,0,0,0,10,Chris N'sa
Cavalry FC,Nathan Mavila,709,0,0,1,21,Nathan Mavila
Forge FC,Dominic Samuel,721,0,0,2,12,Dominic Samuel
FC Edmonton,Ramon Soria,630,0,0,1,7,Ramon Soria
Cavalry FC,Mohamed Farsi,611,0,0,2,7,Mohamed Farsi
FC Edmonton,Mélé Temguia,450,0,0,0,13,Mélé Temguia
Atlético Ottawa,Francisco Javier Acuña Víctor,531,0,0,2,4,Francisco Acuña
Valour FC,Raphael Ohin,501,0,0,1,10,Raphael Ohin
Cavalry FC,Nikolas Ledgerwood,411,0,0,1,13,Nik Ledgerwood
Pacific FC,Sean Young,462,0,0,1,12,Sean Young
Pacific FC,Jamar Dixon,616,0,0,3,17,Jamar Dixon
Pacific FC,Zachary Verhoven,308,0,0,1,16,Zach Verhoven
Valour FC,Fraser Aird,453,0,0,3,10,Fraser Aird
HFX Wanderers FC,Christian Oxner,630,0,0,2,0,Christian Oxner
Valour FC,José Antonio Galán Pedrosa,310,0,0,2,9,José Galán
Pacific FC,Alejandro Díaz Liceága,609,0,0,0,4,Alejandro Diaz
HFX Wanderers FC,Akeem Garcia,758,0,0,0,17,Akeem Garcia
Cavalry FC,Bruno Zebie,480,0,0,0,10,Bruno Zebie
FC Edmonton,Keven Steven Alemán Bustos,537,0,0,1,6,Keven Alemán
York9 FC,Wataru Murofushi,329,0,0,0,8,Wataru Murofushi
Atlético Ottawa,Malcolm Isaiah Shaw,595,0,0,0,17,Malcolm Shaw
HFX Wanderers FC,Jake Ruby,312,0,0,1,5,Jake Ruby
Cavalry FC,Dean Northover,355,0,0,0,8,Dean Northover
HFX Wanderers FC,Cory Bent,500,0,0,0,9,Cory Bent
Valour FC,James Pantemis,630,0,0,0,0,James Pantemis
HFX Wanderers FC,Omar Kreim,372,0,0,0,3,Omar Kreim
Forge FC,Molham Babouli,455,0,0,0,9,Mo Babouli
York9 FC,Fugo Segawa,353,0,0,1,6,Fugo Segawa
FC Edmonton,Allan Zebie,412,0,0,1,2,Allan Zebie
Forge FC,Maxim Tissot,394,0,0,1,4,Maxim Tissot
Atlético Ottawa,Milovan Kapor,495,0,1,2,8,Milovan Kapor
Cavalry FC,Marco Carducci,810,0,0,1,1,Marco Carducci
FC Edmonton,Erik Zetterberg,465,0,0,2,6,Erik Zetterberg
Cavalry FC,Jonathan Wheeldon,459,0,1,2,10,Jay Wheeldon
Atlético Ottawa,Víctor Martínez Manrique,540,0,0,2,12,Viti Martínez
Atlético Ottawa,Ignacio Zabal Almazán,630,0,0,0,0,Nacho Zabal
Cavalry FC,Nico Pasquotti,537,0,0,0,6,Nico Pasquotti
York9 FC,Ryan Telfer,620,0,0,3,10,Ryan Telfer
Atlético Ottawa,Evan Brandon John,618,0,0,2,11,Brandon John
Valour FC,Stefan Cebara,458,0,0,1,6,Stefan Cebara
HFX Wanderers FC,Alex Marshall,583,0,0,1,14,Alex Marshall
Pacific FC,Callum Irving,540,0,0,1,0,Callum Irving
York9 FC,Diyaeddine Abzi,438,0,0,0,5,Diyaeddine Abzi
Forge FC,David Choinière,598,0,0,0,6,David Choinière
Valour FC,Brett Levis,383,0,0,1,9,Brett Levis
Atlético Ottawa,Ben McKendry,408,0,0,2,9,Ben McKendry
Atlético Ottawa,Ben Fisk,601,0,0,1,4,Ben Fisk
Valour FC,Andrew Jean-Baptiste,462,0,0,0,8,Andrew Jean-Baptiste
York9 FC,Evan Couturier,0,0,0,0,0,Evan Couturier
