team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,BgChnc,BgChncCrtd,ChncOpnPl,Chance,SOG,SOTInBox,SOTOBox,ShotDirFK,SOTHead,Pass%,display
HFX Wanderers,24.0,cf,Akeem Garcia,0.54,758,5.0,0.36,6,2,0,0,0,10,0,6,6,11,10,1,0,1,81.0,Akeem Garcia
Pacific,24.0,cf,Alejandro Díaz Liceága,0.51,609,2.98,1.79,3,0,0,0,2,5,3,7,7,8,8,0,0,2,70.0,Alejandro Diaz
Cavalry,31.0,cf,Marcus Haber,0.44,507,3.38,0.48,2,0,0,1,0,8,0,5,5,8,8,0,0,4,60.0,Marcus Haber
York United,26.0,cf,Ryan Telfer,0.42,620,1.67,0.9,0,0,0,0,0,2,1,3,12,7,3,4,4,1,72.0,Ryan Telfer
Forge,27.0,cf,Molham Babouli,0.39,455,0.63,1.98,1,0,0,0,2,1,3,8,9,4,4,0,0,0,68.0,Mo Babouli
Pacific,22.0,cf,Terran Campbell,0.35,480,1.11,0.76,1,0,0,1,1,1,2,4,5,3,3,0,0,1,66.0,Terran Campbell
Atlético Ottawa,25.0,cf,Malcolm Isaiah Shaw,0.34,595,2.31,0.38,2,0,0,0,1,4,1,3,3,6,5,1,1,0,81.0,Malcolm Shaw
Cavalry,24.0,cf,Jordan Brown,0.34,657,2.29,0.49,3,1,0,0,0,3,0,3,4,7,5,2,0,0,81.0,Jordan Brown
Edmonton,22.0,cf,Easton Ongaro,0.32,480,2.2,0.25,3,0,0,1,0,2,0,4,5,3,3,0,1,1,76.0,Easton Ongaro
Cavalry,28.0,cf,Oliver Minatel,0.29,454,0.32,1.03,0,0,0,0,1,0,2,6,6,2,0,2,0,0,80.0,Oliver Minatel
Forge,23.0,rw,David Choinière,0.28,598,1.07,0.66,1,0,0,0,1,1,1,5,5,3,3,0,0,0,80.0,David Choinière
Valour,21.0,cf,Shaan Hundal,0.27,232,0.26,0.2,0,0,0,0,2,0,0,5,5,4,2,2,0,0,77.0,Shaan Hundal
Cavalry,25.0,rw,Nico Pasquotti,0.24,537,1.46,0.54,0,0,0,0,0,2,1,6,6,2,1,1,0,0,76.0,Nico Pasquotti
Forge,26.0,cf,Anthony Joseph Novak,0.24,381,2.57,0.17,2,0,0,0,0,3,0,3,3,6,6,0,0,0,81.0,Anthony Novak
HFX Wanderers,23.0,cf,Cory Bent,0.21,500,0.4,0.65,1,0,0,0,0,1,1,5,7,1,1,0,0,0,62.0,Cory Bent
Valour,24.0,cf,Austin Ricci,0.18,365,0.94,0.13,0,0,0,0,0,1,0,3,3,5,5,0,0,0,57.99999999999999,Austin Ricci
Forge,25.0,lw,Christopher Lenroy Nanco,0.17,224,0.19,0.79,2,0,0,0,0,0,1,1,1,3,2,1,0,0,70.0,Chris Nanco
Forge,24.0,lw,Kadell Thomas,0.17,283,1.13,0.21,0,0,0,0,1,2,0,3,3,1,1,0,0,0,73.0,Kadell Thomas
Valour,33.0,cf,Daryl Fordyce,0.15,164,1.51,0.0,1,0,0,0,0,3,0,0,0,3,3,0,1,1,62.0,Daryl Fordyce
York United,23.0,cf,Álvaro Rivero Sánchez,0.15,359,0.34,0.05,1,0,0,0,0,0,0,1,1,2,1,1,0,0,87.0,Álvaro Rivero
Forge,20.0,lw,Montther Mohsen,0.15,208,0.0,1.27,0,0,0,0,0,0,2,2,3,0,0,0,0,0,83.0,Monti Mohsen
Edmonton,32.0,cf,Tomi Ameobi,0.14,287,1.5,0.13,0,0,0,0,0,3,0,1,2,2,2,0,0,0,74.0,Tomi Ameobi
HFX Wanderers,26.0,cf,Ibrahima Sanoh,0.13,124,1.3,0.04,1,1,0,0,0,2,0,1,1,1,1,0,0,0,55.00000000000001,Ibrahima Sanoh
Cavalry,20.0,cf,José Hernández,0.11,102,0.03,0.44,0,0,0,0,0,0,1,2,2,0,0,0,0,0,82.0,Jose Hernandez
Forge,22.0,lw,Marcel Dominik Zajac,0.1,237,0.94,0.0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,80.0,Marcel Zajac
York United,17.0,ss,Lowell Wright,0.09,128,0.8,0.0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,57.99999999999999,Lowell Wright
Cavalry,24.0,lw,Jair Ayrton Córdova Carpio,0.09,71,0.66,0.04,1,0,0,0,0,1,0,1,1,1,1,0,0,0,62.0,Jair Córdova
Forge,27.0,lw,Jonathan Grant,0.09,274,0.18,0.18,0,0,0,0,0,0,0,2,2,0,0,0,0,0,61.0,Jonathan Grant
Forge,22.0,cf,Gabriel Wiethaeuper-Balbinotti,0.08,203,0.57,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,61.0,Gabriel Balbinotti
York United,24.0,cf,Gabriel Monteiro Vasconcelos,0.06,87,0.05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,Gabriel Vasconcelos
Atlético Ottawa,29.0,cf,Maksym Kowal,0.05,51,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.99999999999999,Maksym Kowal
Edmonton,20.0,cf,David Doe,0.04,54,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,David Doe
York United,23.0,ss,Jace Kotsopoulos,0.04,28,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.99999999999999,Jace Kotsopoulos
Atlético Ottawa,18.0,sa,Matteo de Brienne,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matteo  de Brienne
