,rank,team,gp,pts,tpp,ppg,w,l,d,gd,gf,ga,gfh,gah,gfa,gaa
0,1,Forge FC,6,11,18,1.83,3,1,2,4,11,7,6,3,5,4
1,2,Cavalry FC,6,10,18,1.67,3,2,1,2,9,7,3,3,6,4
2,3,York9 FC,6,10,18,1.67,2,0,4,2,8,6,5,4,3,2
3,4,Pacific FC,5,8,15,1.6,2,1,2,2,8,6,3,1,5,5
4,5,Valour FC,5,7,15,1.4,2,2,1,1,6,5,2,3,4,2
5,6,HFX Wanderers FC,5,6,15,1.2,1,1,3,1,8,7,4,4,4,3
6,7,Atlético Ottawa,5,5,15,1.0,1,2,2,-4,6,10,4,8,2,2
7,8,FC Edmonton,6,1,18,0.17,0,5,1,-8,4,12,1,6,3,6
