team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall,new_overall
PFC,Zachary Verhoven,16,m,90,0.4,0.4,100.7,51.15,63.6,9.52,100.0,4.76,29.34,4.36,0.55,0.9
FCE,Erik Zetterberg,21,m,90,0.0,0.0,62.32,49.74,84.4,1.94,100.0,1.55,7.35,1.35,0.49,0.75
VFC,Brett Levis,17,m,90,0.0,0.47,69.56,42.77,76.7,2.82,100.0,1.17,12.92,2.58,0.53,0.75
FFC,David Choinière,7,m,90,0.21,0.21,53.42,30.41,100.0,4.11,100.0,1.03,14.18,1.44,0.54,0.74
CFC,Elijah Adekugbe,8,m,90,0.14,0.14,75.19,58.4,90.2,4.37,50.0,1.83,9.87,1.41,0.67,0.7
PFC,Noah Verhoeven,19,m,90,0.0,0.0,94.95,73.49,81.5,3.3,0.0,2.48,13.21,2.48,0.25,0.65
Y9,Joseph Di Chiara,8,m,90,0.5,0.0,64.0,47.17,78.0,1.5,50.0,0.83,12.83,2.0,0.54,0.61
CFC,Nikolas Ledgerwood,6,m,90,0.22,0.22,53.43,34.38,68.0,6.79,66.7,1.53,11.17,2.63,0.52,0.57
VFC,José Antonio Galán Pedrosa,21,m,90,0.29,0.29,73.16,58.94,91.3,0.87,0.0,0.58,12.48,2.9,0.39,0.56
Y9,Wataru Murofushi,23,m,90,0.0,0.0,67.57,57.99,100.0,0.27,0.0,0.82,7.66,0.82,0.33,0.55
FCE,Hanson Boakai,10,m,90,0.0,0.0,58.25,36.7,92.6,3.5,25.0,0.58,11.94,2.04,0.36,0.53
PFC,Marco Bustos,10,m,90,0.57,0.34,60.15,38.11,87.5,3.79,20.0,1.72,11.94,0.34,0.98,0.52
PFC,Victor Blasco,23,m,90,0.29,0.29,62.81,35.04,67.9,6.11,33.3,2.18,14.68,2.33,0.71,0.52
Y9,Chris Mannella,5,m,90,0.0,0.0,64.8,46.8,92.3,0.0,0.0,0.0,18.0,5.4,0.23,0.52
