team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall
PFC,Marco Bustos,10,m,784,5,3,524,332,87.5,33,20.0,15,104,3,0.98
PFC,Victor Blasco,23,m,619,2,2,432,241,67.9,42,33.3,15,101,16,0.71
CFC,Elijah Adekugbe,8,m,638,1,1,533,414,90.2,31,50.0,13,70,10,0.67
FFC,Kyle Bekker,10,m,699,3,1,467,331,80.6,40,0.0,12,74,11,0.66
PFC,Matthew Baldisimo,8,m,800,0,1,541,438,72.9,2,0.0,5,99,25,0.6
HFX,Andre Rampersad,18,m,730,0,2,449,329,77.8,4,0.0,8,99,15,0.58
FFC,Paolo Sabak,24,m,638,2,2,411,308,84.4,8,0.0,10,76,5,0.57
ATO,Francisco Javier Acuña Víctor,8,m,532,2,2,346,234,85.0,17,0.0,10,67,11,0.56
PFC,Zachary Verhoven,16,m,227,1,1,254,129,63.6,24,100.0,12,74,11,0.55
Y9,Ryan Telfer,18,m,620,0,0,309,154,71.4,44,37.5,11,88,9,0.55
FFC,David Choinière,7,m,438,1,1,260,148,100.0,20,100.0,5,69,7,0.54
Y9,Joseph Di Chiara,8,m,540,3,0,384,283,78.0,9,50.0,5,77,12,0.54
VFC,Brett Levis,17,m,383,0,2,296,182,76.7,12,100.0,5,55,11,0.53
CFC,Nikolas Ledgerwood,6,m,411,1,1,244,157,68.0,31,66.7,7,51,12,0.52
HFX,Louis Béland-Goyette,5,m,648,0,0,420,334,83.9,6,0.0,8,81,16,0.51
ATO,Malyk Hamilton,2,m,630,0,1,425,273,93.2,26,0.0,4,45,11,0.51
Y9,Manuel Aparicio,10,m,530,2,0,367,264,66.7,10,0.0,10,73,13,0.5
FCE,Erik Zetterberg,21,m,465,0,0,322,257,84.4,10,100.0,8,38,7,0.49
HFX,Aboubacar Sissoko,17,m,617,0,0,430,328,76.3,2,0.0,5,86,19,0.49
FCE,Keven Steven Alemán Bustos,11,m,537,1,0,341,211,69.6,22,0.0,8,82,10,0.48
FFC,Alexander Achinioti-Jönsson,13,m,684,2,0,406,314,78.9,2,0.0,2,69,13,0.48
HFX,Alex Marshall,7,m,493,0,2,254,151,66.7,16,0.0,7,78,7,0.46
FFC,Elimane Cissé,3,m,449,0,0,364,212,81.8,11,0.0,4,82,20,0.46
Y9,Kyle Porter,19,m,372,1,1,193,128,97.1,24,33.3,8,29,3,0.45
ATO,Ben Fisk,10,m,601,1,0,283,184,73.1,15,0.0,5,65,13,0.45
HFX,Cory Bent,23,m,481,1,0,228,125,60.0,24,30.0,7,70,9,0.45
CFC,Elliot Simmons,15,m,627,0,0,450,370,60.0,5,0.0,4,66,11,0.45
PFC,Jamar Dixon,22,m,526,1,0,258,187,75.0,0,0.0,4,66,18,0.42
VFC,Diego Gutiérrez,8,m,489,0,0,388,306,81.3,8,0.0,3,43,8,0.41
VFC,Fraser Aird,33,m,455,1,0,253,159,68.0,25,0.0,9,32,2,0.4
VFC,Raphael Ohin,27,m,503,0,0,345,278,84.2,0,0.0,4,45,7,0.39
ATO,Ben McKendry,22,m,408,0,0,287,213,58.8,4,0.0,2,58,22,0.39
VFC,José Antonio Galán Pedrosa,21,m,310,1,1,252,203,91.3,3,0.0,2,43,10,0.39
CFC,Bruno Zebie,16,m,480,0,0,246,160,80.0,3,0.0,3,64,12,0.38
ATO,Víctor Martínez Manrique,5,m,540,1,0,316,235,72.4,2,0.0,0,58,8,0.38
PFC,Sean Young,20,m,453,0,0,267,199,66.7,1,0.0,5,55,12,0.38
VFC,Dylan Carreiro,10,m,334,1,0,186,118,81.8,21,0.0,7,32,5,0.37
VFC,Stefan Cebara,14,m,458,0,0,308,202,80.5,2,0.0,4,45,6,0.36
FCE,Hanson Boakai,10,m,309,0,0,200,126,92.6,12,25.0,2,41,7,0.36
PFC,Alessandro Hojabrpour,21,m,370,0,0,211,157,79.2,1,0.0,2,33,12,0.33
Y9,Wataru Murofushi,23,m,329,0,0,247,212,100.0,1,0.0,3,28,3,0.33
PFC,Josh Heard,11,m,218,1,1,99,49,100.0,12,0.0,2,31,1,0.32
FCE,Antony Caceres,20,m,248,0,1,125,75,83.3,2,0.0,4,35,5,0.31
FCE,Yong-Chan Son,7,m,303,0,0,174,114,83.3,5,0.0,4,30,4,0.3
ATO,Ajay Khabra,23,m,308,0,0,162,134,92.0,1,0.0,1,34,4,0.29
Y9,Max Ferrari,16,m,158,0,0,81,46,71.4,5,50.0,1,28,3,0.27
FCE,Chance Carter,14,m,203,0,0,113,85,100.0,0,0.0,2,21,7,0.27
VFC,Dante Campbell,48,m,227,0,0,157,95,71.4,1,0.0,1,29,6,0.26
PFC,Noah Verhoeven,19,m,109,0,0,115,89,81.5,4,0.0,3,16,3,0.25
CFC,Sergio Camargo,10,m,130,1,0,64,39,72.7,4,0.0,1,12,3,0.23
Y9,Chris Mannella,5,m,100,0,0,72,52,92.3,0,0.0,0,20,6,0.23
HFX,Omar Kreim,8,m,362,1,0,227,123,0.0,8,0.0,5,63,10,0.22
HFX,Scott Firth,15,m,98,0,0,72,54,100.0,0,0.0,1,9,2,0.22
ATO,Antoine Coupland,11,m,97,0,0,29,12,100.0,0,0.0,0,16,4,0.21
VFC,Solomon Kojo Antwi,25,m,78,0,0,44,21,75.0,0,0.0,0,16,5,0.2
ATO,Michel Djaozandry,12,m,6,0,0,4,1,100.0,0,0.0,0,2,1,0.18
