rank,team,name,position,number,minutes,assists
1,PFC,Marco Bustos,m,10,784,3
2,VFC,Brett Levis,m,17,383,2
3,PFC,Victor Blasco,m,23,619,2
4,ATO,Francisco Javier Acuña Víctor,m,8,532,2
5,HFX,Andre Rampersad,m,18,730,2
6,HFX,Alex Marshall,m,7,493,2
7,FFC,Maxim Tissot,d,15,312,2
8,VFC,Shaan Hundal,f,11,232,2
9,PFC,Alejandro Díaz Liceága,f,9,519,2
10,FFC,Paolo Sabak,m,24,638,2
11,FFC,Kadell Thomas,f,17,260,1
12,CFC,Oliver Minatel,f,7,454,1
13,CFC,Nathan Mavila,d,3,709,1
14,PFC,Josh Heard,m,11,218,1
15,CFC,Nikolas Ledgerwood,m,6,411,1
16,FCE,Antony Caceres,m,20,248,1
17,PFC,Kadin Chung,d,7,675,1
18,FFC,David Choinière,m,7,438,1
19,VFC,José Antonio Galán Pedrosa,m,21,310,1
20,PFC,Matthew Baldisimo,m,8,800,1
21,PFC,Terran Campbell,f,14,454,1
22,FCE,Terique Mohammed,d,57,303,1
23,CFC,Mohamed Farsi,d,21,611,1
24,PFC,Zachary Verhoven,m,16,227,1
25,FFC,Kyle Bekker,m,10,699,1
26,ATO,Malyk Hamilton,m,2,630,1
27,HFX,João Morelli Neto,f,22,481,1
28,CFC,Elijah Adekugbe,m,8,638,1
29,FFC,Molham Babouli,f,19,342,1
30,Y9,Kyle Porter,m,19,372,1
31,ATO,Vashon Neufville,d,44,241,1
32,HFX,Alessandro Riggi,f,10,401,1
33,ATO,Malcolm Isaiah Shaw,f,19,595,1
