rank,team,gp,pts,tpp,ppg,w,l,d,gd,gf,ga,gfh,gah,gfa,gaa
1,Cavalry FC,1,3,3,3.0,1,0,0,2,3,1,3,1,0,0
2,Forge FC,1,1,3,1.0,0,0,1,0,1,1,0,0,1,1
3,HFX Wanderers FC,1,1,3,1.0,0,0,1,0,1,1,1,1,0,0
4,Pacific FC,1,0,3,0.0,0,1,0,-2,1,3,0,0,1,3
