rank,team,gp,pts,tpp,ppg,w,l,d,gd,gf,ga,gfh,gah,gfa,gaa
1,Atletico Ottawa,1,1,3,1.0,0,0,1,0,2,2,0,0,2,2
2,Cavalry FC,1,1,3,1.0,0,0,1,0,2,2,0,0,2,2
3,Forge FC,1,1,3,1.0,0,0,1,0,2,2,2,2,0,0
4,HFX Wanderers FC,1,1,3,1.0,0,0,1,0,2,2,2,2,0,0
5,Pacific FC,1,1,3,1.0,0,0,1,0,2,2,0,0,2,2
6,York9 FC,1,1,3,1.0,0,0,1,0,2,2,2,2,0,0
7,FC Edmonton,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
8,Valour FC,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
