name,number,position,minutes,yellow,red,fouls conceded,overall
Marco Carducci,1,g,2160.0,1.0,0.0,1.0,0.25
Martín Arguiñarena,6,d,1534.0,1.0,0.0,14.0,0.24
Malyk Hamilton,21,f,1275.0,1.0,0.0,13.0,0.21
Kodai Iida,9,m,1180.0,1.0,0.0,13.0,0.2
Easton Ongaro,19,f,1167.0,1.0,0.0,11.0,0.19
Yong-Chan Son,7,m,952.0,1.0,0.0,16.0,0.19
Sergio Camargo,10,m,1171.0,1.0,0.0,9.0,0.18
Edem Mortotsi,6,m,881.0,1.0,0.0,15.0,0.18
Emery Welshman,14,f,932.0,1.0,0.0,14.0,0.18
Mark Village,1,g,1440.0,1.0,0.0,1.0,0.17
Duran Lee,16,d,678.0,1.0,0.0,18.0,0.17
Roger Thompson,6,d,802.0,1.0,0.0,9.0,0.14
David Edgar,30,d,744.0,1.0,0.0,5.0,0.12
Marcus Velado-Tsegaye,17,f,487.0,1.0,0.0,12.0,0.12
Nicolás Galvis,14,m,488.0,1.0,0.0,11.0,0.12
Ajeej Sarkaria,9,f,566.0,1.0,0.0,8.0,0.12
Randy Edwini-Bonsu,11,f,363.0,1.0,0.0,9.0,0.1
Chakib Hocine,4,d,352.0,1.0,0.0,7.0,0.09
Kouamé Ouattara,13,m,229.0,1.0,0.0,11.0,0.09
Issey Nakajima-Farran,11,f,252.0,1.0,0.0,9.0,0.09
Federico Peña,77,f,315.0,1.0,0.0,4.0,0.08
Emmanuel Zambazis,14,m,277.0,1.0,0.0,3.0,0.07
Victor Loturi,13,f,137.0,1.0,0.0,4.0,0.06
Terran Campbell,14,f,2334.0,0.0,0.0,29.0,0.35
Daniel Krutzen,10,d,2381.0,0.0,0.0,21.0,0.32
Dominick Zator,4,d,2335.0,0.0,0.0,15.0,0.29
Mohamed Kourouma,12,f,1988.0,0.0,0.0,22.0,0.29
Ajay Khabra,23,m,1728.0,0.0,0.0,27.0,0.28
Elimane Cissé,6,m,1701.0,0.0,0.0,27.0,0.28
Alexander Achinioti-Jönsson,1,m,1671.0,0.0,0.0,27.0,0.27
Nathan Ingham,1,g,2340.0,0.0,0.0,0.0,0.23
Simon Karlsson Adjei,12,f,1422.0,0.0,0.0,18.0,0.21
Connor James,1,g,1980.0,0.0,0.0,0.0,0.2
Dylan Sacramento,7,m,1135.0,0.0,0.0,22.0,0.2
Michael Petrasso,9,m,1301.0,0.0,0.0,14.0,0.19
David Choinière,5,m,975.0,0.0,0.0,12.0,0.15
Tyson Farago,1,g,1440.0,0.0,0.0,0.0,0.14
Tyler Attardo,16,f,999.0,0.0,0.0,7.0,0.13
Ali Musse,23,m,740.0,0.0,0.0,13.0,0.13
Marcus Haber,9,f,704.0,0.0,0.0,14.0,0.13
Zachary Sukunda,25,d,841.0,0.0,0.0,9.0,0.12
Yohan Le Bourhis,25,d,720.0,0.0,0.0,9.0,0.11
Nolan Wirth,6,g,1080.0,0.0,0.0,0.0,0.11
Carlos Patiño,20,m,320.0,0.0,0.0,12.0,0.08
Austin Ricci,7,f,199.0,0.0,0.0,12.0,0.07
Quillan Roberts,17,g,720.0,0.0,0.0,0.0,0.07
Klaidi Cela,16,d,326.0,0.0,0.0,6.0,0.06
Josip Golubar,20,m,255.0,0.0,0.0,8.0,0.06
Glenn Muenkat,11,m,365.0,0.0,0.0,7.0,0.06
Calum Ferguson,12,f,344.0,0.0,0.0,6.0,0.06
Cyrus Rollocks,17,f,292.0,0.0,0.0,5.0,0.05
Dylon Powley,13,g,540.0,0.0,0.0,0.0,0.05
Ahmed Alghamdi,13,m,330.0,0.0,0.0,4.0,0.05
Tony Tchani,22,m,192.0,0.0,0.0,8.0,0.05
Stephen Hoyle,17,f,237.0,0.0,0.0,4.0,0.04
David Doe,26,f,170.0,0.0,0.0,6.0,0.04
Nikolas Giantsopoulos,22,g,450.0,0.0,0.0,0.0,0.04
Michael Cox,92,f,184.0,0.0,0.0,4.0,0.03
Scott Firth,15,m,287.0,0.0,0.0,1.0,0.03
Jace Kotsopoulos,12,m,138.0,0.0,0.0,2.0,0.02
Prince Amanda,16,f,137.0,0.0,0.0,2.0,0.02
Aribim Pepple,24,f,60.0,0.0,0.0,4.0,0.02
Matthew Silva,1,g,90.0,0.0,0.0,0.0,0.01
Gabriel Bitar,19,f,90.0,0.0,0.0,1.0,0.01
Vincent Lamy,14,f,88.0,0.0,0.0,0.0,0.01
Colm Vance,31,g,90.0,0.0,0.0,0.0,0.01
Stefan Lamanna,21,f,77.0,0.0,0.0,1.0,0.01
Oluwaseun Oyegunle,15,d,38.0,0.0,0.0,1.0,0.01
Marcel de Jong,8,d,50.0,0.0,0.0,0.0,0.0
Oluwatofarati Fakunle,25,f,9.0,0.0,0.0,0.0,0.0
Justin Stoddart,20,m,14.0,0.0,0.0,0.0,0.0
