rank,team,gp,pts,tpp,ppg,w,l,d,gd,gf,ga,gfh,gah,gfa,gaa
1,Cavalry FC,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2,Forge FC,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
3,HFX Wanderers FC,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
4,Pacific FC,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
