rank,team,gp,pts,tpp,ppg,w,l,d,gd,gf,ga,gfh,gah,gfa,gaa
1,Cavalry FC,2,4,6,2.0,1,0,1,2,4,2,0,0,4,2
2,Forge FC,2,4,6,2.0,1,0,1,2,4,2,4,2,0,0
3,Pacific FC,2,2,6,1.0,0,0,2,0,3,3,1,1,2,2
4,York9 FC,2,2,6,1.0,0,0,2,0,3,3,2,2,1,1
5,Atlético Ottawa,1,1,3,1.0,0,0,1,0,2,2,0,0,2,2
6,HFX Wanderers FC,1,1,3,1.0,0,0,1,0,2,2,2,2,0,0
7,FC Edmonton,1,0,3,0.0,0,1,0,-2,0,2,0,0,0,2
8,Valour FC,1,0,3,0.0,0,1,0,-2,0,2,0,2,0,0
