Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,season,seasonId,scatterId,scatterExtra
21,5,16q3kpp7uxqjn9993xd5woauh,213571,354,23,Central Midfielder,Diego,Gutiérrez,D. Gutiérrez,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,7,227,92,99,0.06,0,0,0.12,0,0,1,1,2,4,0,0,17,4,0,0,286,17,1,5,5,13,54.5%,2,0,31,1,2,4,1,2,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,69,47,170,4,29.1%,84.1%,125,37,29,48,35,144,0,17.8,5,75.0%,4,0.00,25,0,0,0,2,7,72.7%,6,7,0,0.03,0.03,0.06,2,1,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:16q3kpp7uxqjn9993xd5woauh,Canadian Premier League 2020 (Canada)
22,6,bzfamx9nfvg0cwshyldxiea5l,229907,450,21,Central Midfielder,Paolo,Sabak,P. Sabak,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,1,0,2,1,1,0,1,3,1,2,1,1,0,0,1,0,0,0,0,0,0,1,1,4,31,11,216,67,107,1.02,1,2,0.91,1,1,1,6,7,16,2,1,28,9,1,0,282,26,1,1,3,7,18.2%,1,1,28,1,0,4,5,3,7,1,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,108,50,124,11,38.0%,80.6%,86,61,27,76,37,103,0,16.5,9,50.0%,4,0.00,17,0,1,1,5,6,67.1%,4,3,0,0.19,0.83,0.23,5,1,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:bzfamx9nfvg0cwshyldxiea5l,Canadian Premier League 2020 (Canada)
23,5,c5afaf96xtx4341sic680d711,94705,413,29,Right Back,Stefan,Cebara,S. Cebara,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,14,175,76,62,0.34,0,0,0.50,1,1,0,3,3,13,0,0,19,5,0,0,275,21,1,6,8,22,77.8%,6,3,26,3,3,0,3,1,1,0,2,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,5,78,96,101,9,33.7%,78.9%,48,38,52,47,60,68,1,15.2,2,40.0%,5,0.00,10,1,1,0,2,2,69.5%,16,6,0,0.34,0.00,0.34,3,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:c5afaf96xtx4341sic680d711,Canadian Premier League 2020 (Canada)
24,5,csicvwhik2guponydus9zt0x5,223629,405,23,Central Midfielder,Erik,Zetterberg,E. Zetterberg,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,33,7,212,76,96,0.16,0,0,0.72,0,1,5,2,7,8,0,0,14,3,0,0,274,18,3,3,8,17,66.7%,2,1,23,1,1,4,1,1,3,0,0,0,0,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,3,47,34,193,0,37.7%,81.1%,137,15,20,23,26,163,0,24.4,3,0.0%,2,0.00,24,0,0,0,0,14,62.5%,6,11,0,0.07,0.09,0.16,7,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:csicvwhik2guponydus9zt0x5,Canadian Premier League 2020 (Canada)
25,5,6mmfo5q4m9zdbpl1cgqv5muhh,164958,426,26,Right Winger,Keven Steven,Alemán Bustos,K. Alemán,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,0,1,1,0,2,2,6,2,3,0,0,0,0,1,0,1,0,0,0,1,0,7,0,24,7,162,52,79,1.13,1,0,0.77,2,1,3,2,5,28,2,0,35,12,0,0,270,35,2,6,0,9,66.7%,1,0,21,0,1,5,2,2,10,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,8,8,111,14,145,12,20.4%,80.9%,81,43,7,51,8,103,0,18.0,4,25.0%,8,0.00,17,0,2,1,4,16,57.6%,2,3,4,1.01,0.12,1.13,5,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:6mmfo5q4m9zdbpl1cgqv5muhh,Canadian Premier League 2020 (Canada)
26,5,9bu481g5htyonfco9whsamve2,483062,437,30,Right Attacking Midfielder,Mohamed,Kourouma,M. Kourouma,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,4,2,2,1,2,5,4,1,0,0,3,0,1,0,1,0,0,1,1,0,8,0,30,10,181,50,91,1.14,1,0,0.20,1,0,3,1,4,9,0,0,24,5,0,0,268,28,3,6,2,11,60.0%,0,0,29,3,3,3,3,1,5,0,1,0,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,4,114,44,110,8,32.6%,77.9%,62,56,23,66,34,81,0,17.1,6,22.2%,9,0.00,20,0,1,1,6,16,61.0%,6,2,3,1.00,0.14,1.14,4,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:9bu481g5htyonfco9whsamve2,Canadian Premier League 2020 (Canada)
27,5,etxxyk4izi97gchj7fo58ogd1,110665,450,28,Left Centre Back,Andrew,Jean-Baptiste,A. Jean-Baptiste,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,29,17,214,101,67,0.28,1,0,0.00,0,0,0,0,0,1,1,0,17,0,0,0,267,14,0,4,10,33,80.0%,18,7,15,4,5,1,0,3,2,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,160,98,5,53.3%,78.5%,76,3,89,5,121,88,0,26.6,1,57.1%,14,0.00,0,0,0,0,0,0,66.7%,28,5,0,0.00,0.28,0.28,0,3,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:etxxyk4izi97gchj7fo58ogd1,Canadian Premier League 2020 (Canada)
28,4,8xiikcvufow3u6jo0opzhtip5,243903,315,22,Left Centre Back,Robert,Boskovic,R. Boskovic,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,13,222,123,59,0.05,0,0,0.00,0,0,0,0,0,3,0,0,16,1,0,0,266,12,4,4,6,18,88.9%,4,2,19,0,0,4,0,2,2,1,2,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,5,123,138,2,44.1%,82.0%,96,2,84,3,101,118,0,22.0,1,33.3%,9,0.00,0,0,0,0,0,0,66.3%,10,8,0,0.00,0.05,0.05,0,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:8xiikcvufow3u6jo0opzhtip5,Canadian Premier League 2020 (Canada)
28,5,13wkddshf1c9zrygeg7r3s6w9,421818,450,19,Right Centre Back,Julian,Dunn-Johnson,J. Dunn-Johnson,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,202,127,40,0.00,0,0,0.00,0,0,0,0,0,4,0,0,22,2,0,0,266,19,5,4,4,30,69.2%,16,10,23,1,1,0,0,1,1,0,2,0,0,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,7,190,69,4,51.0%,82.7%,51,0,116,3,136,63,0,21.9,4,60.0%,15,0.00,0,0,0,0,0,0,72.8%,28,2,0,0.00,0.00,0.00,0,5,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:13wkddshf1c9zrygeg7r3s6w9,Canadian Premier League 2020 (Canada)
30,5,ezyu9w01guirieddjudeln1lh,209503,412,27,Central Midfielder,Allan,Zebie,A. Zebie,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,8,216,110,81,0.15,0,0,0.07,0,0,0,2,2,4,0,0,21,4,0,0,265,14,2,9,7,18,61.1%,0,0,29,0,0,1,0,1,1,0,0,0,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,29,75,161,2,30.6%,88.4%,119,21,51,24,55,137,0,17.0,7,66.7%,6,0.00,19,0,0,0,0,0,71.2%,11,7,0,0.12,0.03,0.15,2,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:ezyu9w01guirieddjudeln1lh,Canadian Premier League 2020 (Canada)
31,5,6rsihixcpnuyulgk4giwpzvth,228121,354,25,Right Back,Dominic,Samuel,D. Samuel,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22,10,149,51,66,0.29,0,0,0.15,0,0,0,1,1,11,1,1,30,8,0,0,264,18,7,2,4,22,81.8%,8,4,13,1,4,2,2,3,3,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,5,73,74,117,6,42.3%,78.5%,72,20,25,27,35,87,0,16.1,2,71.4%,7,0.00,25,0,0,0,4,4,63.5%,15,5,2,0.04,0.25,0.29,1,1,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:6rsihixcpnuyulgk4giwpzvth,Canadian Premier League 2020 (Canada)
32,5,8uqytik44ro3mbkz0s8m163xm,481762,442,25,Central Midfielder,Andre,Rampersad,A. Rampersad,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,5,187,89,73,0.09,0,2,0.65,0,1,0,7,7,10,0,0,35,10,1,0,258,22,3,3,11,21,60.0%,4,1,32,1,0,4,1,3,9,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,7,57,43,158,7,23.5%,86.6%,113,25,24,33,28,126,0,18.0,4,46.2%,13,0.00,0,0,0,0,4,4,61.4%,12,6,3,0.00,0.09,0.09,5,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:8uqytik44ro3mbkz0s8m163xm,Canadian Premier League 2020 (Canada)
33,4,bxbh5i1uqhe22e2cft5x6fl2i,425644,360,21,Right Back,Chrisnovic,N'Sa,C. N'Sa,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,16,119,33,51,0.10,0,0,0.06,0,0,0,1,1,10,0,0,32,5,0,0,254,21,2,16,6,36,85.7%,10,5,17,2,1,1,3,4,0,1,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,82,74,98,7,40.3%,70.6%,44,25,15,29,27,63,0,16.7,3,28.6%,7,0.00,21,0,0,0,11,11,41.7%,26,7,3,0.06,0.05,0.10,1,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:bxbh5i1uqhe22e2cft5x6fl2i,Canadian Premier League 2020 (Canada)
34,5,6re5keaha87h6kc01848h53ah,243956,366,26,Left Midfielder,Victor,Blasco,Victor Blasco,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,1,0,1,1,0,1,3,5,1,4,0,0,0,0,1,0,1,0,0,0,0,1,0,6,28,3,144,35,78,1.75,1,2,1.73,3,1,2,7,9,25,4,2,30,14,0,0,253,27,2,5,3,13,63.6%,3,3,30,2,3,1,2,3,2,1,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,5,130,31,92,23,17.4%,78.5%,55,46,12,64,15,65,0,17.3,4,33.3%,6,0.00,16,0,3,1,11,21,60.0%,7,5,1,1.71,0.03,1.75,7,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:6re5keaha87h6kc01848h53ah,Canadian Premier League 2020 (Canada)
35,6,7fcj29th1uv9jkhdh67tygeay,481562,416,24,Right Winger,Nico,Pasquotti,N. Pasquotti,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,1,0,2,1,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,26,3,131,33,69,0.89,0,0,0.33,1,1,0,2,2,27,2,0,34,12,0,0,252,32,0,5,4,10,71.4%,1,0,23,2,1,2,3,2,5,2,1,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,145,19,88,14,26.0%,77.9%,50,46,6,61,12,58,1,17.1,2,53.3%,15,0.00,16,1,1,0,15,15,38.2%,3,5,2,0.81,0.08,0.89,2,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7fcj29th1uv9jkhdh67tygeay,Canadian Premier League 2020 (Canada)
36,5,3wyn5e0uz5jfilp065m3qynoq,501450,351,24,Central Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,6,193,71,94,0.03,0,0,0.03,0,0,0,1,1,10,0,0,27,9,0,0,250,27,1,9,1,12,66.7%,1,1,27,2,2,3,0,3,3,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,43,57,150,3,41.5%,85.5%,111,19,35,26,43,124,0,19.3,5,28.6%,7,0.00,18,0,0,0,1,1,76.3%,5,5,2,0.03,0.00,0.03,1,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:3wyn5e0uz5jfilp065m3qynoq,Canadian Premier League 2020 (Canada)
37,5,4tus0wc9k482jmoncnstteelm,481577,371,25,Defensive Midfielder,Raphael,Ohin,R. Ohin,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,1,0,2,0,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,4,190,100,69,0.26,0,0,0.41,0,1,0,4,4,4,0,0,20,2,0,0,248,13,4,3,10,22,70.0%,4,1,24,0,2,3,1,2,6,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,34,94,120,2,35.3%,88.9%,90,16,63,20,70,100,0,18.5,3,60.0%,5,0.00,26,0,0,0,0,0,71.6%,16,4,2,0.23,0.02,0.26,4,1,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:4tus0wc9k482jmoncnstteelm,Canadian Premier League 2020 (Canada)
38,6,8ad2vcq9xcul0kkfms8qo0wk5,183434,388,24,Central Midfielder,Alexander,Achinioti-Jönsson,A. Achinioti-Jönsson,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,11,11,205,111,72,0.94,1,0,0.00,1,0,0,0,0,0,0,0,24,0,0,0,245,10,4,3,10,20,77.8%,3,2,18,1,2,2,2,1,3,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18,85,142,3,28.3%,89.3%,116,8,59,10,69,126,0,20.2,2,78.6%,14,0.00,0,0,1,1,0,0,74.1%,9,10,1,0.00,0.94,0.94,0,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:8ad2vcq9xcul0kkfms8qo0wk5,Canadian Premier League 2020 (Canada)
38,5,334ys3md0ycavngg26g75yi21,244406,425,22,Central Midfielder,Matthew,Baldisimo,M. Baldisimo,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,0,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,28,11,192,84,69,0.12,0,1,0.47,0,1,0,3,3,8,0,0,22,6,1,1,245,26,4,6,6,19,62.5%,3,1,28,1,4,8,0,4,1,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,5,32,77,136,2,34.4%,79.7%,95,20,38,23,52,117,0,21.5,6,50.0%,2,0.00,33,0,0,0,2,2,56.1%,13,6,0,0.05,0.07,0.12,2,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:334ys3md0ycavngg26g75yi21,Canadian Premier League 2020 (Canada)
40,5,7t6lyj5pvvgzfscj775acuqc5,173165,408,24,Centre Forward,Marco,Bustos,M. Bustos,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,0,0,4,4,0,2,1,5,1,3,0,0,0,0,2,0,2,0,1,1,2,0,6,1,17,2,162,44,99,1.50,2,1,0.53,3,0,1,5,6,12,1,0,24,7,1,0,244,23,0,1,2,4,16.7%,1,0,17,2,2,4,0,1,12,1,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,4,120,14,110,23,21.6%,88.3%,72,64,7,72,9,81,0,16.5,5,75.0%,4,0.00,15,0,3,2,13,14,68.6%,3,1,0,1.46,0.04,1.50,5,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7t6lyj5pvvgzfscj775acuqc5,Canadian Premier League 2020 (Canada)
41,5,eb8zwnam8ieg4y7xra9x5on9x,57342,352,32,Centre Attacking Midfielder,Francisco Javier,Acuña Víctor,F. Acuña,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,3,25,3,166,32,106,0.38,2,2,0.99,1,1,0,8,8,15,0,0,22,10,0,0,237,28,0,7,1,9,50.0%,0,0,23,1,0,2,2,1,2,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,11,117,15,105,11,23.5%,83.1%,70,62,6,78,9,79,1,13.0,7,0.0%,2,0.00,15,1,1,1,3,8,69.2%,3,6,0,0.38,0.00,0.38,6,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:eb8zwnam8ieg4y7xra9x5on9x,Canadian Premier League 2020 (Canada)
41,4,622w13rktz2os2jlo286col3p,168505,350,24,Central Midfielder,Manuel,Aparicio,M. Aparicio,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,0,1,0,1,0,1,5,4,0,0,0,2,1,0,1,0,0,0,0,0,1,0,6,24,9,167,40,94,0.31,1,0,0.19,0,0,0,4,4,14,1,0,22,6,0,0,237,24,3,3,5,12,66.7%,1,0,25,3,2,5,3,4,2,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,69,38,130,3,40.7%,80.2%,91,29,14,35,21,111,0,19.6,3,50.0%,2,0.00,39,0,0,0,5,7,67.6%,7,3,2,0.06,0.24,0.31,4,1,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:622w13rktz2os2jlo286col3p,Canadian Premier League 2020 (Canada)
43,5,1i7a6katii8fnxncnyun4nyzt,243856,450,26,Left Centre Back,Jems,Geffrard,J. Geffrard,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,9,185,135,25,0.10,0,0,0.00,0,0,0,0,0,2,0,0,15,2,0,0,230,7,1,3,7,28,80.0%,17,10,20,1,2,1,0,3,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,5,156,69,2,45.4%,86.5%,52,1,107,2,120,63,0,19.7,1,75.0%,8,0.00,0,0,0,0,0,0,73.8%,24,4,0,0.00,0.10,0.10,0,4,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:1i7a6katii8fnxncnyun4nyzt,Canadian Premier League 2020 (Canada)
44,5,4ux10kolns6m5lgd64wumjfth,197038,345,24,Central Midfielder,Louis,Béland-Goyette,L. Béland-Goyette,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,178,78,63,0.03,0,0,0.12,0,0,0,3,3,9,0,0,19,6,0,0,229,27,1,9,7,21,58.8%,4,1,28,3,1,12,0,0,2,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,25,51,153,0,36.0%,79.2%,96,13,32,19,38,121,0,19.1,7,100.0%,1,0.00,0,0,0,0,2,3,59.4%,7,14,0,0.00,0.03,0.03,3,1,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:4ux10kolns6m5lgd64wumjfth,Canadian Premier League 2020 (Canada)
44,5,afbi7ba716z8at1irydcx44ix,250972,440,26,Left Winger,Ryan,Telfer,R. Telfer,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,4,1,3,3,1,5,4,1,0,0,3,0,0,0,0,0,0,0,0,0,6,3,26,4,111,33,48,0.73,0,0,0.78,0,1,8,1,9,12,0,0,34,6,0,0,229,26,2,6,5,17,61.5%,3,1,20,4,4,0,5,1,6,0,1,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,4,119,36,74,10,29.7%,73.0%,41,28,12,46,15,50,0,19.5,5,66.7%,12,0.00,17,0,0,0,17,37,51.5%,11,4,2,0.59,0.14,0.73,9,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:afbi7ba716z8at1irydcx44ix,Canadian Premier League 2020 (Canada)
