Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,season,seasonId,scatterId,scatterExtra
11,5,57sscey83fcglkmcrtpp28k5,90727,450,31,Left Centre Back,Ramon,Soria,Soria,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,16,277,144,81,0.13,0,0,0.14,0,0,0,2,2,1,0,0,21,0,0,0,330,14,2,5,5,28,53.8%,16,7,25,1,0,4,0,4,0,2,0,0,0,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,190,130,2,50.2%,81.2%,100,4,121,4,152,121,0,23.8,6,71.4%,14,0.00,0,0,0,0,3,3,67.6%,24,4,0,0.00,0.13,0.13,2,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:57sscey83fcglkmcrtpp28k5,Canadian Premier League 2020 (Canada)
12,5,1mcgu1zocg8bwfrncptuvfm51,90443,450,34,Central Defender,Mason,Trafford,M. Trafford,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,21,13,281,213,34,0.33,0,0,0.03,0,0,1,0,1,1,0,0,18,0,0,0,322,11,1,4,3,21,62.5%,12,4,15,0,2,1,0,4,1,0,2,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,215,100,4,33.5%,87.9%,81,1,165,1,184,96,0,21.7,3,57.1%,14,0.00,4,0,0,0,0,0,70.2%,20,1,0,0.28,0.05,0.33,1,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:1mcgu1zocg8bwfrncptuvfm51,Canadian Premier League 2020 (Canada)
13,5,653qyopyxl1qrfmul2n3m5g16,481743,450,26,Right Back,Morey,Doner,M. Doner,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,189,76,88,0.00,0,0,0.11,0,0,0,3,3,5,1,1,9,2,0,0,309,13,0,1,9,18,33.3%,6,4,21,0,1,2,2,1,0,0,1,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,91,92,126,4,28.6%,86.8%,78,47,39,51,50,88,0,16.5,2,50.0%,6,0.00,0,0,0,0,16,16,70.4%,15,3,0,0.00,0.00,0.00,3,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:653qyopyxl1qrfmul2n3m5g16,Canadian Premier League 2020 (Canada)
13,5,9rwo2uejpeqqkmy6lgacm0ley,481367,450,25,Right Centre Back,Lukas,MacNaughton,L. MacNaughton,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,31,19,248,146,52,0.72,1,0,0.20,0,0,1,0,1,2,0,0,30,2,0,0,309,12,2,4,6,35,75.0%,22,11,29,1,3,1,0,3,3,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,194,104,5,46.0%,79.8%,74,3,121,6,149,93,0,23.1,2,72.7%,22,0.00,0,0,0,0,1,1,65.8%,30,5,0,0.00,0.72,0.72,1,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:9rwo2uejpeqqkmy6lgacm0ley,Canadian Premier League 2020 (Canada)
15,5,c71o8hujd9joixq9ge68i4qg9,156664,418,24,Left Midfielder,Nathan,Mavila,N. Mavila,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,4,2,2,0,0,3,0,3,2,2,1,0,2,1,1,0,0,0,2,1,5,2,27,11,168,86,44,2.10,3,0,0.28,3,1,0,3,3,15,0,0,23,6,0,0,308,33,1,3,5,13,44.4%,3,1,27,5,2,4,0,4,2,0,1,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,78,100,130,8,35.1%,77.4%,62,22,46,24,63,81,0,21.5,5,57.1%,14,0.00,15,0,3,2,15,20,50.8%,10,1,2,0.48,1.62,0.53,3,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:c71o8hujd9joixq9ge68i4qg9,Canadian Premier League 2020 (Canada)
16,5,ddyudctrqh7j4vqoofwg0oull,232384,450,20,Right Back,Malyk,Hamilton,M. Hamilton,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,193,71,92,0.00,0,1,0.14,0,0,0,2,2,6,0,0,15,2,0,0,304,23,3,5,7,25,57.1%,8,3,28,6,3,2,0,2,1,0,1,0,1,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,83,98,123,2,46.6%,84.5%,77,41,45,44,58,91,0,14.6,6,50.0%,4,0.00,0,0,0,0,19,19,76.7%,17,7,1,0.00,0.00,0.00,1,0,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:ddyudctrqh7j4vqoofwg0oull,Canadian Premier League 2020 (Canada)
16,5,4c5w90f125c6det9gu0ljmgnp,481754,450,24,Right Centre Back,Peter,Schaale,P. Schaale,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,54,15,228,93,66,0.26,0,0,0.04,0,0,0,1,1,4,0,0,23,3,0,0,304,17,3,5,8,49,88.9%,31,15,24,2,0,2,0,2,1,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,4,8,161,135,2,64.0%,69.7%,88,2,69,3,104,121,0,26.2,1,58.8%,17,0.00,0,0,0,0,1,1,57.5%,42,7,0,0.00,0.26,0.26,1,4,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:4c5w90f125c6det9gu0ljmgnp,Canadian Premier League 2020 (Canada)
18,5,6o11en42rzgf741oqqlu9a47p,159509,450,25,Left Centre Back,Luca,Gasparotto,L. Gasparotto,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,14,21,233,155,43,0.26,0,0,0.00,0,0,0,0,0,0,0,0,24,0,0,0,300,9,3,4,11,49,87.5%,31,22,13,1,1,2,0,0,2,0,1,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,8,212,80,5,45.9%,85.0%,69,3,126,4,155,74,0,21.6,1,83.3%,18,0.00,0,0,0,0,0,0,71.0%,47,2,0,0.00,0.26,0.26,0,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:6o11en42rzgf741oqqlu9a47p,Canadian Premier League 2020 (Canada)
18,5,br7fuyg4h8gseboweg8wjujft,225054,450,22,Left Centre Back,Thomas,Meilleur-Giguère,T. Meilleur-Giguère,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,10,250,172,48,0.42,0,0,0.00,0,0,0,0,0,1,0,0,7,1,0,0,300,11,0,2,13,33,50.0%,18,7,21,0,0,1,0,0,0,1,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,210,81,4,38.0%,88.0%,65,5,150,5,168,77,0,22.0,2,33.3%,12,0.00,0,0,0,0,0,0,73.7%,32,1,0,0.00,0.42,0.42,0,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:br7fuyg4h8gseboweg8wjujft,Canadian Premier League 2020 (Canada)
20,6,7ehcrcdv82ib5fkpo3498gpgp,244929,392,24,Left Back,Kwame,Awuah,K. Awuah,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,28,19,195,72,76,0.08,1,0,0.10,0,0,0,1,1,5,0,0,28,4,0,0,295,14,4,9,6,28,86.7%,8,3,24,2,2,0,3,1,1,0,1,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,79,97,119,3,38.5%,75.9%,79,36,33,48,51,96,1,17.6,2,54.5%,11,0.00,27,1,0,0,6,6,56.0%,23,4,1,0.03,0.05,0.08,1,3,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7ehcrcdv82ib5fkpo3498gpgp,Canadian Premier League 2020 (Canada)
