game,s,d,m,hs,as,home,hr,away,ar,csh,csa,combined,venue,links
II37,1,7,1,0,0,Valour FC,E,Pacific FC,E,0,0,1-7-2020 Valour FC E 0-0 E Pacific FC,IG Field,https://canpl.ca/schedule
II38,1,7,1,0,0,Atletico Ottawa,E,Cavalry FC,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E Cavalry FC,TD Place Stadium,https://canpl.ca/schedule
II39,1,7,1,0,0,York9 FC,E,Valour FC,E,0,0,1-7-2020 York9 FC E 0-0 E Valour FC,York Lions Stadium,https://canpl.ca/schedule
II40,1,7,1,0,0,Cavalry FC,E,Forge FC,E,0,0,1-7-2020 Cavalry FC E 0-0 E Forge FC,ATCO Field,https://canpl.ca/schedule
II41,1,7,1,0,0,FC Edmonton,E,Atletico Ottawa,E,0,0,1-7-2020 FC Edmonton E 0-0 E Atletico Ottawa,Clarke Field,https://canpl.ca/schedule
II42,1,7,1,0,0,Forge FC,E,Atletico Ottawa,E,0,0,1-7-2020 Forge FC E 0-0 E Atletico Ottawa,Tim Hortons Field,https://canpl.ca/schedule
II43,1,7,1,0,0,HFX Wanderers FC,E,Cavalry FC,E,0,0,1-7-2020 HFX Wanderers FC E 0-0 E Cavalry FC,Wanderers Grounds,https://canpl.ca/schedule
II44,1,7,1,0,0,York9 FC,E,Pacific FC,E,0,0,1-7-2020 York9 FC E 0-0 E Pacific FC,York Lions Stadium,https://canpl.ca/schedule
II45,1,7,1,0,0,FC Edmonton,E,Valour FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E Valour FC,Clarke Field,https://canpl.ca/schedule
II46,1,7,1,0,0,HFX Wanderers FC,E,York9 FC,E,0,0,1-7-2020 HFX Wanderers FC E 0-0 E York9 FC,Wanderers Grounds,https://canpl.ca/schedule
II47,1,7,1,0,0,Valour FC,E,Forge FC,E,0,0,1-7-2020 Valour FC E 0-0 E Forge FC,IG Field,https://canpl.ca/schedule
II48,1,7,1,0,0,Cavalry FC,E,FC Edmonton,E,0,0,1-7-2020 Cavalry FC E 0-0 E FC Edmonton,ATCO Field,https://canpl.ca/schedule
II49,1,7,1,0,0,Pacific FC,E,Atletico Ottawa,E,0,0,1-7-2020 Pacific FC E 0-0 E Atletico Ottawa,Westhills Stadium,https://canpl.ca/schedule
II50,1,7,1,0,0,Forge FC,E,Pacific FC,E,0,0,1-7-2020 Forge FC E 0-0 E Pacific FC,Tim Hortons Field,https://canpl.ca/schedule
II51,1,7,1,0,0,FC Edmonton,E,HFX Wanderers FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E HFX Wanderers FC,Clarke Field,https://canpl.ca/schedule
II52,1,7,1,0,0,Atletico Ottawa,E,York9 FC,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E York9 FC,TD Place Stadium,https://canpl.ca/schedule
II53,1,7,1,0,0,York9 FC,E,Cavalry FC,E,0,0,1-7-2020 York9 FC E 0-0 E Cavalry FC,York Lions Stadium,https://canpl.ca/schedule
II54,1,7,1,0,0,Valour FC,E,Atletico Ottawa,E,0,0,1-7-2020 Valour FC E 0-0 E Atletico Ottawa,IG Field,https://canpl.ca/schedule
II55,1,7,1,0,0,Pacific FC,E,FC Edmonton,E,0,0,1-7-2020 Pacific FC E 0-0 E FC Edmonton,Westhills Stadium,https://canpl.ca/schedule
II56,1,7,1,0,0,Cavalry FC,E,Atletico Ottawa,E,0,0,1-7-2020 Cavalry FC E 0-0 E Atletico Ottawa,ATCO Field,https://canpl.ca/schedule
II57,1,7,1,0,0,Forge FC,E,York9 FC,E,0,0,1-7-2020 Forge FC E 0-0 E York9 FC,Tim Hortons Field,https://canpl.ca/schedule
II58,1,7,1,0,0,HFX Wanderers FC,E,Pacific FC,E,0,0,1-7-2020 HFX Wanderers FC E 0-0 E Pacific FC,Wanderers Grounds,https://canpl.ca/schedule
II59,1,7,1,0,0,FC Edmonton,E,Valour FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E Valour FC,Clarke Field,https://canpl.ca/schedule
II60,1,7,1,0,0,Valour FC,E,Forge FC,E,0,0,1-7-2020 Valour FC E 0-0 E Forge FC,IG Field,https://canpl.ca/schedule
II61,1,7,1,0,0,York9 FC,E,Atletico Ottawa,E,0,0,1-7-2020 York9 FC E 0-0 E Atletico Ottawa,York Lions Stadium,https://canpl.ca/schedule
II62,1,7,1,0,0,Valour FC,E,HFX Wanderers FC,E,0,0,1-7-2020 Valour FC E 0-0 E HFX Wanderers FC,IG Field,https://canpl.ca/schedule
II63,1,7,1,0,0,FC Edmonton,E,Cavalry FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E Cavalry FC,Clarke Field,https://canpl.ca/schedule
II64,1,7,1,0,0,Forge FC,E,Pacific FC,E,0,0,1-7-2020 Forge FC E 0-0 E Pacific FC,Tim Hortons Field,https://canpl.ca/schedule
II65,1,7,1,0,0,Cavalry FC,E,HFX Wanderers FC,E,0,0,1-7-2020 Cavalry FC E 0-0 E HFX Wanderers FC,ATCO Field,https://canpl.ca/schedule
II66,1,7,1,0,0,FC Edmonton,E,Atletico Ottawa,E,0,0,1-7-2020 FC Edmonton E 0-0 E Atletico Ottawa,Clarke Field,https://canpl.ca/schedule
II67,1,7,1,0,0,Pacific FC,E,York9 FC,E,0,0,1-7-2020 Pacific FC E 0-0 E York9 FC,Westhills Stadium,https://canpl.ca/schedule
II68,1,7,1,0,0,Atletico Ottawa,E,Cavalry FC,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E Cavalry FC,TD Place Stadium,https://canpl.ca/schedule
II69,1,7,1,0,0,York9 FC,E,Forge FC,E,0,0,1-7-2020 York9 FC E 0-0 E Forge FC,York Lions Stadium,https://canpl.ca/schedule
II70,1,7,1,0,0,Valour FC,E,FC Edmonton,E,0,0,1-7-2020 Valour FC E 0-0 E FC Edmonton,IG Field,https://canpl.ca/schedule
II71,1,7,1,0,0,HFX Wanderers FC,E,Pacific FC,E,0,0,1-7-2020 HFX Wanderers FC E 0-0 E Pacific FC,Wanderers Grounds,https://canpl.ca/schedule
II72,1,7,1,0,0,York9 FC,E,HFX Wanderers FC,E,0,0,1-7-2020 York9 FC E 0-0 E HFX Wanderers FC,York Lions Stadium,https://canpl.ca/schedule
II73,1,7,1,0,0,Atletico Ottawa,E,Forge FC,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E Forge FC,TD Place Stadium,https://canpl.ca/schedule
II74,1,7,1,0,0,Valour FC,E,Cavalry FC,E,0,0,1-7-2020 Valour FC E 0-0 E Cavalry FC,IG Field,https://canpl.ca/schedule
II75,1,7,1,0,0,FC Edmonton,E,Pacific FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E Pacific FC,Clarke Field,https://canpl.ca/schedule
II76,1,7,1,0,0,Pacific FC,E,HFX Wanderers FC,E,0,0,1-7-2020 Pacific FC E 0-0 E HFX Wanderers FC,Westhills Stadium,https://canpl.ca/schedule
II77,1,7,1,0,0,Atletico Ottawa,E,Valour FC,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E Valour FC,TD Place Stadium,https://canpl.ca/schedule
II78,1,7,1,0,0,FC Edmonton,E,York9 FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E York9 FC,Clarke Field,https://canpl.ca/schedule
II79,1,7,1,0,0,Cavalry FC,E,Forge FC,E,0,0,1-7-2020 Cavalry FC E 0-0 E Forge FC,ATCO Field,https://canpl.ca/schedule
II80,1,7,1,0,0,Forge FC,E,HFX Wanderers FC,E,0,0,1-7-2020 Forge FC E 0-0 E HFX Wanderers FC,Tim Hortons Field,https://canpl.ca/schedule
II81,1,7,1,0,0,Atletico Ottawa,E,FC Edmonton,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E FC Edmonton,TD Place Stadium,https://canpl.ca/schedule
II82,1,7,1,0,0,Valour FC,E,York9 FC,E,0,0,1-7-2020 Valour FC E 0-0 E York9 FC,IG Field,https://canpl.ca/schedule
II83,1,7,1,0,0,Cavalry FC,E,Pacific FC,E,0,0,1-7-2020 Cavalry FC E 0-0 E Pacific FC,ATCO Field,https://canpl.ca/schedule
II84,1,7,1,0,0,HFX Wanderers FC,E,Valour FC,E,0,0,1-7-2020 HFX Wanderers FC E 0-0 E Valour FC,Wanderers Grounds,https://canpl.ca/schedule
II85,1,7,1,0,0,Pacific FC,E,Atletico Ottawa,E,0,0,1-7-2020 Pacific FC E 0-0 E Atletico Ottawa,Westhills Stadium,https://canpl.ca/schedule
II86,1,7,1,0,0,York9 FC,E,Cavalry FC,E,0,0,1-7-2020 York9 FC E 0-0 E Cavalry FC,York Lions Stadium,https://canpl.ca/schedule
