name,Ast,Min,display,position,number,team
Cyrus Rollocks,0,292,Cyrus Rollocks,f,17,York9 FC
Connor James,0,1979,Connor James,g,1,FC Edmonton
Colm Vance,0,90,Colm Vance,g,31,York9 FC
Christian Oxner,0,1489,Christian Oxner,g,50,HFX Wanderers FC
Chrisnovic N'Sa,0,1217,Chris N'sa,d,6,HFX Wanderers FC
Chris Ezoua,0,0,Chris N'sa,-,999,No Club FC
Chakib Hocine,0,352,Chakib Hocine,d,4,HFX Wanderers FC
Calum Ferguson,0,344,Calum Ferguson,f,12,Valour FC
Bruno Zebie,0,1766,Bruno Zebie,m,20,FC Edmonton
Bertrand Owundi,0,1756,Bertrand Owundi,d,16,Forge FC
Baj Maan,0,0,Lukas MacNaughton,-,999,No Club FC
Aribim Pepple,0,61,Aribim Pepple,f,24,Cavalry FC
André Bona,0,2053,André Bona,d,3,HFX Wanderers FC
Allan Zebie,0,1970,Allan Zebie,d,4,FC Edmonton
Alex De Carolis,0,1246,Alex De Carolis,d,24,HFX Wanderers FC
Alessandro Hojabrpour,0,1731,Alessandro Hojabrpour,f,21,Pacific FC
Akeem Garcia,0,2082,Akeem Garcia,m,11,HFX Wanderers FC
Ajay Khabra,0,1727,Ajay Khabra,m,23,FC Edmonton
Ahmed Alghamdi,0,330,Ahmed Alghamdi,m,13,Pacific FC
Federico Peña,0,315,Federico Peña,f,77,Valour FC
Gabriel Bitar,0,90,Gabriel Bitar,f,19,Cavalry FC
Giuliano Frano,0,1964,Giuliano Frano,m,7,Forge FC
Kareem Moses,0,969,Kareem Moses,d,12,FC Edmonton
Matthew Arnone,0,2094,Matthew Arnone,d,23,HFX Wanderers FC
Mathias Janssens,0,1080,Mathias Janssens,g,26,Valour FC
Mason Trafford,0,1891,Mason Trafford,d,5,Cavalry FC
Mark Village,0,1440,Mark Village,g,1,Pacific FC
Marcus Haber,0,703,Marcus Haber,f,9,Pacific FC
Marco Carducci,0,2250,Marco Carducci,g,1,Cavalry FC
Marcel de Jong,0,50,Marcel de Jong,d,8,Pacific FC
Luke Iacobellis,0,0,James Marcelin,-,999,No Club FC
Lukas MacNaughton,0,1704,Lukas MacNaughton,d,14,Pacific FC
Luca Gasparotto,0,2520,Luca Gasparotto,d,13,York9 FC
Kouamé Ouattara,0,229,Kouamé Ouattara,m,13,HFX Wanderers FC
Adam Mitter,0,1513,Adam Mitter,d,15,Valour FC
Justin Stoddart,0,14,Justin Stoddart,m,20,Forge FC
Glenn Muenkat,0,365,Glenn Muenkat,m,11,Valour FC
Justin Springer,0,945,Justin Springer,d,5,York9 FC
Juan Diego Gutiérrez de las Casas,0,1240,Juan Diego Gutiérrez,m,7,HFX Wanderers FC
José Antonio Galán Pedrosa,0,901,José Galán,m,21,Valour FC
Josip Golubar,0,255,Josip Golubar,m,20,Valour FC
Jordan Santiago,0,0,Jordan Brown,-,999,No Club FC
Jordan Peter Murrell,0,1784,Jordan Murrell,d,4,Valour FC
Jonathan Wheeldon,0,1497,Jay Wheeldon,d,14,Cavalry FC
Jan-Michael Williams,0,1028,Jan-Michael Williams,g,21,HFX Wanderers FC
James Marcelin,0,1698,James Marcelin,m,14,FC Edmonton
Jace Kotsopoulos,0,138,Jace Kotsopoulos,m,12,Forge FC
Issey Nakajima-Farran,0,252,Issey Nakajima-Farran,f,11,Pacific FC
Hendrik Starostzik,0,1161,Hendrik Starostzik,d,16,Pacific FC
Émile Legault,0,915,Emile Legault,d,20,Pacific FC
