image,name,number,flag,overall,position,link,colour
Nathan-Ingham.jpg,Nathan Ingham,1,Canada.png,0.94,g,https://en.wikipedia.org/wiki/Nathan_Ingham,cpl-y9
Connor-James.jpg,Connor James,1,Canada.png,0.7,g,https://en.wikipedia.org/wiki/Connor_James,cpl-fce
Dominick-Zator.jpg,Dominick Zator,4,Canada.png,0.82,d,https://en.wikipedia.org/wiki/Dominick_Zator,cpl-cfc
Luca-Gasparotto.jpg,Luca Gasparotto,13,Canada.png,0.82,d,https://en.wikipedia.org/wiki/Luca_Gasparotto,cpl-y9
Mélé-Temguia.jpg,Mélé Temguia,8,Germany.png,0.8,d,https://en.wikipedia.org/wiki/Mélé_Temguia,cpl-fce
Kyle-Bekker.jpg,Kyle Edward Bekker,3,Canada.png,0.8,m,https://en.wikipedia.org/wiki/Kyle_Bekker,cpl-ffc
Manuel-Aparicio.jpg,Manuel Aparicio,10,Canada.png,0.77,m,https://en.wikipedia.org/wiki/Manuel_Aparicio,cpl-y9
Julian-Buscher.jpg,Julian Büscher,8,Germany.png,0.72,m,https://en.wikipedia.org/wiki/Julian_Büscher,cpl-cfc
Ryan-Telfer.jpg,Ryan Telfer,18,Canada.png,0.72,m,https://en.wikipedia.org/wiki/Ryan_Telfer,cpl-y9
Tristan-Borges.jpg,Tristan Daniel Borges,4,Canada.png,0.7,m,https://en.wikipedia.org/wiki/Tristan_Borges,cpl-ffc
Nico-Pasquotti.jpg,Nico Pasquotti,17,Canada.png,0.76,f,https://en.wikipedia.org/wiki/Nico_Pasquotti,cpl-cfc
Terran-Campbell.jpg,Terran Campbell,14,Canada.png,0.76,f,https://en.wikipedia.org/wiki/Terran_Campbell,cpl-pfc
