team,name,Min,Red,2ndYellow,Yellow,Fls,display,short
Cavalry FC,Mauro Eustaquio,533,1,0,2,16,Mauro Eustaquio,cav
Pacific FC,Alexander Gonzalez Moreno,1746,1,0,4,34,Alexander González,pac
FC Edmonton,Jeannot Esua,1798,1,0,2,20,Jeannot Esua,fce
Forge FC,Tristan Daniel Borges,1973,1,0,2,38,Tristan Borges,for
Cavalry FC,José Escalante,1613,1,0,3,24,José Escalante,cav
Cavalry FC,Dean Northover,609,1,0,2,13,Dean Northover,cav
Cavalry FC,Joel Waterman,1719,1,0,4,20,Joel Waterman,cav
Valour FC,Adam Mitter,1513,1,0,4,23,Adam Mitter,val
HFX Wanderers FC,Jan-Michael Williams,1028,1,0,1,1,Jan-Michael Williams,hfx
Valour FC,Jordan Peter Murrell,1784,1,0,4,30,Jordan Murrell,val
FC Edmonton,Philippe Lincourt-Joseph,346,1,0,0,1,Philippe Lincourt-Joseph,fce
York9 FC,Steven Furlano,517,0,0,4,15,Steven Furlano,y9
Pacific FC,José Hernández,652,0,0,2,24,Jose Hernandez,pac
FC Edmonton,Marcus Velado-Tsegaye,486,0,0,1,12,Marcus Velado-Tsegaye,fce
York9 FC,Emilio Estevez Tsai,627,0,0,2,12,Emilio Estevez,y9
Pacific FC,Ahmed Alghamdi,330,0,0,0,4,Ahmed Alghamdi,pac
HFX Wanderers FC,Duran Lee,678,0,0,1,18,Duran Lee,hfx
York9 FC,Emmanuel Zambazis,277,0,0,1,3,Emmanuel Zambazis,y9
Valour FC,Nicolás Galvis,488,0,0,1,11,Nicolás Galvis,val
Valour FC,Yohan Le Bourhis,720,0,0,0,9,Yohan Le Bourhis,val
Forge FC,Quillan Roberts,720,0,0,0,0,Quillan Roberts,for
Valour FC,Tyler Attardo,999,0,0,0,7,Tyler Attardo,val
HFX Wanderers FC,Zachary Sukunda,841,0,0,0,9,Zachary Sukunda,hfx
Valour FC,Ali Musse,740,0,0,0,13,Ali Musse,val
Valour FC,Michele Paolucci,1139,0,0,2,15,Michele Paolucci,val
Forge FC,Kadell Thomas,541,0,0,4,12,Kadell Thomas,for
Forge FC,Daniel Krutzen,2470,0,0,0,23,Daniel Krutzen,for
