team,name,Min,ExpG,overall,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOpHfScs,ChncOpnPl,SucflDuels,Touches,DuelLs,Recovery,FlComA3,FlSufM3,Disposs,TchsA3,TouchOpBox,PsCmpA3,display,number
fce,Ajeej Sarkaria,90,0.15,0.14,0.07,0.0,0.33,5.17,24.33,10.67,0.33,4.17,37.33,5.5,5.5,0.0,0.5,2.17,13.17,2.33,6.33,Ajeej Sarkaria,1.5
fce,Randy Edwini-Bonsu,90,0.15,0.13,0.39,0.0,0.75,6.5,20.5,9.0,1.25,6.5,45.5,8.25,5.25,0.5,2.75,1.5,21.5,3.5,4.25,Randy Edwini-Bonsu,2.75
pac,Issey Nakajima-Farran,90,0.34,0.11,0.02,0.33,1.33,4.67,24.33,10.67,0.67,5.0,48.33,12.67,5.0,1.0,0.67,2.67,23.0,7.0,5.67,Issey Nakajima-Farran,3.67
val,Stephen Hoyle,90,0.68,0.1,0.04,0.33,1.0,5.33,19.67,11.0,0.67,3.0,37.33,8.33,1.0,1.33,1.0,2.0,26.0,5.0,8.67,Stephen Hoyle,5.67
yor,Austin Ricci,90,0.22,0.09,0.18,0.0,1.5,11.0,37.0,14.0,1.5,10.0,69.0,12.5,6.5,1.5,1.0,1.5,26.5,6.5,7.0,Austin Ricci,3.5
yor,Cyrus Rollocks,90,0.19,0.09,0.28,0.0,1.67,5.33,14.67,3.67,1.33,4.0,38.33,11.33,3.0,0.67,1.67,2.67,18.33,4.0,1.33,Cyrus Rollocks,5.67
val,Federico Peña,90,0.02,0.08,0.21,0.0,0.0,5.0,26.75,8.0,0.5,3.5,48.0,7.5,4.0,0.25,0.25,1.5,10.75,0.75,2.75,Federico Peña,19.25
val,Calum Ferguson,90,0.31,0.08,0.0,0.25,0.75,3.25,15.0,6.5,0.0,2.5,25.5,6.5,2.0,1.0,0.25,1.0,12.25,3.5,3.5,Calum Ferguson,3.0
fce,David Doe,90,0.26,0.07,0.0,0.0,0.5,8.5,19.5,8.5,0.0,7.5,46.5,11.0,5.0,2.5,1.0,2.5,28.0,4.0,5.5,David Doe,13.0
yor,Michael Cox,90,0.17,0.06,0.05,0.0,1.5,1.5,16.5,9.5,1.0,5.0,30.5,8.5,1.5,1.5,1.5,2.5,15.5,4.0,5.0,Michael Cox,46.0
yor,Stefan Lamanna,90,0.17,0.04,0.53,0.0,2.0,6.0,31.0,13.0,1.0,8.0,55.0,10.0,10.0,1.0,1.0,3.0,18.0,5.0,2.0,Stefan Lamanna,21.0
fce,Prince Amanda,90,0.08,0.04,0.2,0.5,0.5,3.5,15.0,6.5,0.5,4.5,27.0,4.0,1.0,1.0,0.5,0.5,14.0,4.0,4.5,Prince Amanda,8.0
cav,Victor Loturi,90,0.18,0.03,0.0,0.0,1.0,2.5,24.5,5.0,0.0,4.5,34.5,2.0,6.0,0.5,0.0,0.5,3.0,0.5,0.5,Victor Loturi,6.5
cav,Gabriel Bitar,90,0.72,0.03,0.1,0.0,1.0,2.0,16.0,8.0,2.0,5.0,42.0,12.0,2.0,1.0,0.0,4.0,26.0,5.0,7.0,Gabriel Bitar,19.0
hfx,Vincent Lamy,90,0.12,0.02,0.0,0.0,0.0,5.0,24.0,13.0,0.0,7.0,41.0,11.0,5.0,0.0,0.0,2.0,17.0,2.0,4.0,Vincent Lamy,14.0
cav,Aribim Pepple,90,0.0,0.02,0.0,0.0,0.0,2.0,9.0,6.0,0.0,4.0,21.0,8.0,3.0,3.0,0.0,3.0,14.0,0.0,6.0,Aribim Pepple,24.0
cav,Oluwatofarati Fakunle,90,,0.0,,,,,inf,inf,,,inf,,inf,,,,inf,,,Oluwatofarati Fakunle,inf
hfx,Abd-El-Aziz Yousef,90,,0.0,,,,,,,,,,,,,,,,,,Abd-El-Aziz Yousef,inf
