team,name,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,PsAtt,PsOnHfScs,PsOpHfScs,Touches,DuelLs,SucflDuels,TcklMade%
Pacific,Zachary Verhoven,90,0.19,0.16,0,0,0,0,0,36,7,16,81,14,13,37.5%
Pacific,Zachary Verhoven,90,0.0,0.36,0,0,0,0,1,31,13,12,73,5,8,75.0%
Pacific,Zachary Verhoven,90,0.0,0.0,0,0,0,0,0,39,13,12,67,6,5,100.0%
Pacific,Zachary Verhoven,90,0.1,0.0,0,0,0,0,0,36,12,18,66,2,5,100.0%
Pacific,Zachary Verhoven,79,0.26,0.09,0,0,0,0,0,20,5,8,64,9,11,100.0%
Pacific,Zachary Verhoven,90,0.19,0.0,1,0,0,0,0,21,8,7,61,11,4,25.0%
Pacific,Zachary Verhoven,90,0.1,0.07,0,0,0,0,0,21,7,7,51,12,9,50.0%
Pacific,Zachary Verhoven,90,0.09,0.65,0,0,0,0,0,22,4,11,50,8,13,75.0%
Pacific,Zachary Verhoven,90,0.08,0.93,0,0,0,0,1,17,8,4,46,8,10,66.7%
Pacific,Zachary Verhoven,76,0.08,0.4,0,0,0,0,0,9,2,5,35,6,5,0.0%
Pacific,Zachary Verhoven,64,0.8,0.0,1,0,0,0,0,19,2,12,35,9,6,50.0%
Pacific,Zachary Verhoven,35,0.06,0.32,0,0,0,0,0,14,7,1,33,3,11,100.0%
Pacific,Zachary Verhoven,45,0.06,0.0,0,0,0,0,0,7,1,2,27,7,0,0.0%
Pacific,Zachary Verhoven,29,0.0,0.0,0,0,0,0,0,13,6,4,27,1,4,100.0%
Pacific,Zachary Verhoven,30,0.21,0.0,0,0,0,0,0,4,0,2,23,3,7,100.0%
Pacific,Zachary Verhoven,27,0.07,0.0,0,0,0,0,0,7,2,2,15,3,4,0.0%
Pacific,Zachary Verhoven,16,0.0,0.0,0,0,0,0,0,5,0,2,12,4,2,0.0%
Pacific,Zachary Verhoven,16,0.0,0.07,0,0,0,0,0,7,1,3,11,1,1,-
Pacific,Zachary Verhoven,29,0.56,0.52,0,0,0,0,0,4,0,1,11,3,1,50.0%
Pacific,Zachary Verhoven,13,0.0,0.0,0,0,0,0,0,5,0,4,9,1,1,-
Pacific,Zachary Verhoven,16,0.0,0.0,0,0,0,0,0,2,1,1,9,3,1,0.0%
Pacific,Zachary Verhoven,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-
Pacific,Zachary Verhoven,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-
Pacific,Zachary Verhoven,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-
Pacific,Zachary Verhoven,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-
Valour,Diego Gutiérrez,90,0.0,0.06,0,0,0,0,0,52,15,20,89,7,5,100.0%
Valour,Diego Gutiérrez,90,0.0,0.04,0,0,0,0,0,50,12,27,79,4,6,100.0%
Valour,Diego Gutiérrez,90,0.0,0.03,0,0,0,0,0,40,18,11,76,3,12,100.0%
Valour,Diego Gutiérrez,90,0.0,0.09,0,0,0,0,0,63,26,26,74,4,6,50.0%
