team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,Crosses,Touches,TcklMade%,Pass%,DuelsW%,display,number
Forge,22,cam,Tristan Daniel Borges,0.66,1973,9.34,4.1,13,3,0,0,5,81,1353,69.8,76.0,50.0,Tristan Borges,4
York United,26,lm,Ryan Telfer,0.64,2216,7.15,5.59,8,0,0,1,1,164,1533,70.3,77.0,54.0,Ryan Telfer,18
Forge,30,cm,Kyle Edward Bekker,0.58,2443,5.83,5.29,4,0,1,0,5,99,1783,49.0,82.0,35.0,Kyle Bekker,3
York United,30,cm,Kyle Porter,0.57,1916,4.39,2.67,2,0,0,1,4,88,1131,66.2,80.0,50.0,Kyle Porter,19
Cavalry,27,cm,Julian Büscher,0.56,1768,2.84,6.54,5,0,1,0,4,122,1518,53.0,76.0,45.0,Julian Büscher,8
Valour,24,cam,Marco Bustos,0.54,2249,6.77,4.28,7,2,0,0,3,74,1417,44.9,83.0,48.0,Marco Bustos,22
Cavalry,25,lam,José Escalante,0.54,1613,4.56,4.8,4,1,1,0,4,117,916,64.7,70.0,47.0,José Escalante,11
Valour,25,cf,Michael Petrasso,0.52,1301,6.57,3.78,6,4,0,0,5,36,676,57.1,79.0,42.0,Michael Petrasso,9
Pacific,26,lw,Victor Blasco,0.52,1586,2.9,3.8,6,0,2,0,3,47,1040,55.8,75.0,47.0,Victor Blasco,19
Forge,27,rb,Giuliano Frano,0.49,1964,1.35,1.19,1,0,0,1,0,12,1619,73.5,78.0,55.0,Giuliano Frano,7
York United,25,cm,Manuel Aparicio,0.48,2159,2.3,2.2,2,0,1,0,2,40,1788,53.3,78.0,42.0,Manny Aparicio,10
Pacific,27,ram,Ben Fisk,0.46,1663,6.05,2.84,6,0,0,0,5,65,859,54.9,78.0,34.0,Ben Fisk,21
Cavalry,24,cm,Elijah Adekugbe,0.45,1575,0.45,2.28,1,0,0,0,4,10,1185,73.7,85.0,60.0,Elijah Adekugbe,16
York United,28,dm,Joseph Di Chiara,0.45,1755,2.7,1.27,2,2,0,0,1,2,1352,70.3,88.0,54.0,Joseph Di Chiara,8
Cavalry,24,rcb,Joel Waterman,0.43,1719,1.18,1.69,1,0,0,0,2,6,1423,69.2,84.0,63.0,Joel Waterman,15
York United,25,dm,Wataru Murofushi,0.41,1718,2.57,1.82,3,1,0,0,0,16,1318,60.3,85.0,55.0,Wataru Murofushi,23
Pacific,26,cm,Alexander Gonzalez Moreno,0.41,1746,1.14,1.21,0,0,0,0,2,6,1499,66.2,86.0,54.0,Alexander González,28
HFX Wanderers,25,cm,Andre Rampersad,0.41,2003,0.75,1.23,1,0,0,0,1,3,1275,71.8,85.0,57.0,Andre Rampersad,18
HFX Wanderers,28,rm,Juan Diego Gutiérrez de las Casas,0.41,1240,1.11,0.99,2,0,0,1,0,53,648,54.5,78.0,46.0,Juan Diego Gutiérrez,7
Valour,25,dm,Louis Béland-Goyette,0.4,1772,0.41,1.96,1,0,0,0,3,10,1159,60.7,84.0,47.0,Louis Béland-Goyette,5
Forge,24,cm,Alexander Börje Achinioti-Jönsson,0.4,1760,0.75,1.17,0,0,0,0,2,0,1100,72.9,82.0,62.0,Alexander Achinioti-Jönsson,1
Valour,23,cm,Diego Gutiérrez,0.39,1604,0.96,1.36,0,0,0,0,1,14,1225,73.3,78.0,61.0,Diego Gutiérrez,8
Pacific,21,cm,Noah Verhoeven,0.39,1850,1.44,3.17,0,0,0,0,1,72,1319,54.2,81.0,45.0,Noah Verhoeven,23
Pacific,22,rb,Zachary Verhoven,0.38,1285,2.93,3.7,2,0,0,0,2,61,897,62.5,70.0,52.0,Zach Verhoven,16
Forge,25,cm,Elimane Oumar Cissé,0.38,1730,3.28,2.53,2,0,0,0,2,5,1089,63.6,85.0,44.0,Elimane Cissé,6
Cavalry,26,cam,Sergio Camargo,0.38,1260,5.96,3.42,6,0,0,0,3,21,621,56.3,76.0,40.0,Sergio Camargo,10
HFX Wanderers,24,cf,Akeem Garcia,0.38,2082,6.62,1.3,7,0,0,0,0,19,764,62.2,80.0,42.0,Akeem Garcia,11
Cavalry,35,cm,Nikolas Ledgerwood,0.38,1317,2.85,1.56,3,2,0,0,0,40,767,67.7,64.0,52.0,Nik Ledgerwood,6
Edmonton,25,cm,Ajay Khabra,0.37,1727,1.02,1.29,0,0,0,0,0,7,1208,72.7,87.0,53.0,Ajay Khabra,23
Edmonton,25,lm,Bruno Zebie,0.36,1766,1.56,0.54,1,0,0,0,0,27,1049,70.8,83.0,48.0,Bruno Zebie,20
HFX Wanderers,26,cam,Kodai Iida,0.35,1180,1.48,1.38,1,0,0,0,2,29,606,65.0,75.0,53.0,Kodai Iida,9
Valour,25,cm,Dylan Carreiro,0.35,1441,1.29,2.66,2,0,0,0,2,32,781,53.6,75.0,43.0,Dylan Carreiro,10
Edmonton,34,dm,James Marcelin,0.34,1698,0.25,0.66,0,0,0,0,0,7,1108,59.5,82.0,54.0,James Marcelin,14
Pacific,22,lcb,Matthew Baldisimo,0.34,1809,0.79,0.53,0,0,0,0,0,8,1157,57.3,84.0,45.0,Matthew Baldisimo,17
HFX Wanderers,33,cm,Elton John,0.33,1435,0.53,0.34,0,0,0,0,1,4,829,62.5,76.0,51.0,Elton John,5
Edmonton,27,cm,Edem Mortotsi,0.33,881,1.35,1.11,0,0,0,0,2,23,654,61.5,78.0,52.0,Edem Mortotsi,6
Valour,25,dm,Raphael Ohin,0.33,1461,0.84,0.34,0,0,0,0,0,6,1109,65.5,78.0,50.0,Raphael Ohin,27
Valour,25,cam,Dylan Sacramento,0.32,1136,1.47,0.71,1,0,0,0,1,16,716,65.9,72.0,44.0,Dylan Sacramento,7
Forge,23,ram,David Choinière,0.32,998,4.98,1.58,2,0,0,0,2,15,591,51.1,82.0,41.0,David Choinière,5
Edmonton,29,rb,Yong-Chan Son,0.32,952,0.08,0.77,0,0,0,0,1,30,554,78.4,75.0,47.0,Yong-Chan Son,7
Forge,23,cf,Jace Kotsopoulos,0.31,138,1.72,0.04,2,0,0,1,0,0,52,50.0,79.0,45.0,Jace Kotsopoulos,12
Cavalry,25,cm,Carlos Patiño,0.29,320,0.82,0.28,0,0,0,0,1,23,238,75.0,84.0,51.0,Carlos Patiño,20
York United,23,cm,Emmanuel Zambazis,0.29,277,0.02,0.06,0,0,0,0,1,0,294,62.5,94.0,64.0,Emmanuel Zambazis,14
Valour,24,cf,Ali Musse,0.29,740,2.41,1.29,2,0,0,0,2,16,352,61.5,71.0,35.0,Ali Musse,23
HFX Wanderers,22,cm,Elliot Simmons,0.29,969,0.09,0.42,0,0,0,0,0,21,636,55.1,82.0,50.0,Elliot Simmons,8
Pacific,22,cm,David Norman Jr.,0.28,596,0.55,0.15,0,0,0,0,0,4,402,85.7,80.0,49.0,David Norman Jr.,24
Valour,34,dm,José Antonio Galán Pedrosa,0.28,901,0.36,0.46,0,0,0,0,0,5,645,65.0,82.0,44.0,José Galán,21
York United,22,cm,Emilio Estevez Tsai,0.27,627,1.03,0.33,1,0,0,0,1,9,393,61.5,78.0,41.0,Emilio Estevez,11
Pacific,19,cm,Ahmed Alghamdi,0.26,330,0.34,0.06,1,0,0,0,0,0,285,75.0,84.0,48.0,Ahmed Alghamdi,13
HFX Wanderers,19,cm,Scott Firth,0.26,287,0.19,0.06,0,0,0,0,0,8,159,81.8,86.0,44.0,Scott Firth,15
Cavalry,27,cm,Mauro Eustaquio,0.24,533,0.09,0.34,0,0,0,0,0,6,454,55.2,76.0,46.0,Mauro Eustaquio,18
Edmonton,26,cm,Philippe Lincourt-Joseph,0.24,346,0.21,0.4,0,0,0,0,0,3,211,60.0,76.0,55.0,Philippe Lincourt-Joseph,10
Edmonton,31,cm,Tony Tchani,0.24,192,0.45,0.05,0,0,0,0,0,2,185,60.0,78.0,59.0,Tony Tchani,22
