team,name,Min,ExpG,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOpHfScs,ChncOpnPl,SucflDuels,Touches,DuelLs,Recovery,FlComA3,FlSufM3,Disposs,TchsA3,TouchOpBox,PsCmpA3,display
HFX Wanderers,Mohamed Kourouma,64,0.19,0.0,0,0,10,26,6,0,6,44,7,9,0,1,1,17,3,3,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,77,0.24,0.67,0,1,3,15,4,0,6,43,5,4,0,1,0,22,0,2,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,84,0.16,0.03,0,3,5,23,10,1,4,43,7,3,0,0,3,23,2,8,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,86,0.0,0.0,0,0,7,15,5,0,3,33,4,4,0,0,0,11,0,3,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,76,0.1,0.0,0,1,7,21,9,0,5,30,5,3,0,0,0,17,1,9,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,26,0.03,0.25,0,1,4,17,7,1,0,25,2,2,0,0,1,14,0,6,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,27,0.06,0.0,0,2,2,7,2,0,2,15,1,4,0,0,1,7,0,2,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,26,0.0,0.1,0,0,3,10,3,0,0,14,2,2,0,0,0,8,0,2,Mohamed Kourouma
HFX Wanderers,Mohamed Kourouma,14,0.02,0.14,0,1,2,6,4,0,0,13,1,2,0,0,1,8,0,1,Mohamed Kourouma
Forge,Emery Welshman,90,0.18,0.51,0,2,4,44,27,3,10,75,5,5,0,3,2,37,7,17,Emery Welshman
Forge,Emery Welshman,90,0.45,0.48,0,4,7,21,7,2,10,51,3,7,0,2,1,32,9,6,Emery Welshman
Forge,Emery Welshman,90,0.0,0.03,0,0,10,30,14,1,3,48,5,4,0,0,2,21,2,10,Emery Welshman
Forge,Emery Welshman,90,0.0,0.18,0,0,4,29,18,2,3,47,11,3,0,0,2,29,1,14,Emery Welshman
Forge,Emery Welshman,90,0.09,0.04,0,1,7,25,14,1,2,44,9,2,0,1,2,19,7,6,Emery Welshman
Forge,Emery Welshman,90,0.79,0.06,1,1,3,21,8,1,8,44,8,4,3,1,2,20,11,6,Emery Welshman
Forge,Emery Welshman,90,1.98,0.07,1,2,7,23,10,1,3,41,12,3,1,1,4,30,10,9,Emery Welshman
Forge,Emery Welshman,74,0.7,0.0,1,0,5,24,14,0,7,40,10,4,0,0,5,14,4,8,Emery Welshman
Forge,Emery Welshman,90,0.11,0.64,0,0,2,24,19,3,3,38,6,2,0,0,2,23,10,13,Emery Welshman
Forge,Emery Welshman,87,0.06,0.0,0,0,6,18,10,0,5,37,13,3,3,2,5,18,3,5,Emery Welshman
Forge,Emery Welshman,50,0.65,0.03,0,0,5,13,7,1,5,33,6,2,0,0,2,23,10,4,Emery Welshman
Pacific,Alessandro Hojabrpour,90,0.0,0.0,0,0,1,63,16,0,9,74,5,2,0,1,0,1,0,0,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.09,0.44,0,2,10,61,24,1,1,74,3,8,0,0,0,12,2,8,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.0,0.0,0,0,6,52,13,0,12,71,7,5,0,0,2,2,0,2,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.0,0.0,0,0,4,52,5,0,5,69,3,2,0,0,0,0,0,0,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.1,0.0,0,0,6,55,27,0,5,69,3,6,0,2,0,13,1,9,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.0,0.04,0,0,7,52,20,1,8,67,4,2,1,0,1,4,0,0,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.0,0.08,0,0,6,56,17,2,5,66,11,6,1,0,2,7,0,4,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.0,0.03,0,0,4,50,17,1,2,60,3,7,0,0,0,2,0,1,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,72,0.58,0.07,0,3,4,40,16,2,6,59,3,8,0,0,0,9,3,2,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.02,0.0,0,0,6,43,15,0,7,56,3,5,0,1,0,7,0,2,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,74,0.04,0.0,0,0,3,50,17,0,1,55,2,5,0,0,1,4,1,3,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.02,0.0,0,0,8,42,9,0,0,53,5,5,1,0,0,7,0,2,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.0,0.0,0,0,2,43,25,0,6,52,5,4,0,1,0,5,0,5,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,79,0.0,0.05,0,0,2,36,11,1,7,52,3,6,0,0,0,2,0,2,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.0,0.04,0,0,2,36,11,0,4,51,2,2,0,0,0,4,0,2,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.0,0.1,0,0,3,35,10,1,4,48,7,7,1,1,0,7,0,3,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.0,0.0,0,0,7,33,13,0,8,44,4,2,0,0,1,7,1,4,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.0,0.04,0,0,2,27,7,1,4,40,8,5,0,1,2,2,0,1,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,90,0.03,0.0,0,1,4,29,14,0,2,38,1,4,0,0,0,3,0,2,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,31,0.03,0.0,0,0,3,26,9,0,2,33,2,2,1,0,0,1,0,0,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,30,0.0,0.0,0,0,5,23,8,0,1,26,4,5,0,0,1,1,0,0,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,5,0.0,0.0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alessandro Hojabrpour
Pacific,Alessandro Hojabrpour,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alessandro Hojabrpour
Cavalry,Nico Pasquotti,90,0.11,0.03,0,2,5,20,10,1,12,70,12,3,1,0,3,42,2,4,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.06,0.68,0,1,8,26,13,1,12,67,13,5,2,0,4,41,4,8,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.1,0.06,0,0,3,22,14,1,16,67,9,3,1,3,2,36,3,8,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.67,0.93,1,1,5,26,11,1,9,61,10,9,0,1,1,30,9,9,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.0,0.03,0,0,6,21,6,1,6,60,9,7,0,0,4,27,0,3,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.06,0.49,0,0,5,30,15,2,7,60,11,7,2,1,1,35,2,13,Nico Pasquotti
Cavalry,Nico Pasquotti,90,2.0,0.03,1,2,12,33,10,1,8,59,7,5,1,0,3,28,9,3,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.11,0.03,0,0,5,24,11,1,8,59,10,7,0,0,1,36,2,9,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.11,0.03,0,2,3,23,12,0,10,58,14,2,1,1,0,30,4,10,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.38,0.0,0,1,6,27,15,0,8,55,10,5,1,3,1,37,6,11,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.23,0.42,0,0,4,21,13,2,10,52,10,3,1,1,2,29,7,10,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.0,0.05,0,0,3,16,6,0,9,52,11,3,0,1,1,28,2,1,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.0,0.0,0,0,4,19,6,0,7,50,12,9,0,1,3,27,2,3,Nico Pasquotti
Cavalry,Nico Pasquotti,75,0.87,0.07,1,1,7,17,9,1,10,48,8,2,2,1,1,34,12,8,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.18,0.28,0,2,5,18,8,2,6,47,9,2,3,3,1,25,5,5,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.0,0.18,0,0,5,21,14,2,5,47,9,3,4,0,0,32,10,10,Nico Pasquotti
Cavalry,Nico Pasquotti,82,0.14,0.0,0,1,6,25,13,0,4,43,4,6,1,0,0,26,7,9,Nico Pasquotti
Cavalry,Nico Pasquotti,60,0.0,0.0,0,0,3,15,8,0,8,42,11,8,0,0,3,20,1,5,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.05,0.14,1,0,4,17,8,1,8,41,12,4,3,0,0,21,2,4,Nico Pasquotti
Cavalry,Nico Pasquotti,68,0.05,0.1,0,0,7,15,5,0,6,40,4,6,0,1,3,25,3,3,Nico Pasquotti
Cavalry,Nico Pasquotti,70,0.36,0.0,0,0,3,19,11,0,5,39,4,8,0,2,1,24,4,8,Nico Pasquotti
Cavalry,Nico Pasquotti,90,0.0,0.0,0,0,2,7,2,0,7,27,7,4,2,1,0,12,0,2,Nico Pasquotti
Cavalry,Nico Pasquotti,34,0.31,0.0,1,0,0,6,1,0,4,15,3,3,0,2,1,4,1,0,Nico Pasquotti
Cavalry,Nico Pasquotti,19,0.0,0.04,0,0,1,7,6,1,0,13,3,0,0,0,1,11,2,5,Nico Pasquotti
Cavalry,Nico Pasquotti,5,0.0,0.0,0,0,0,2,0,0,1,7,0,0,0,0,0,0,0,0,Nico Pasquotti
Cavalry,Nico Pasquotti,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nico Pasquotti
Cavalry,Nico Pasquotti,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nico Pasquotti
Cavalry,Nico Pasquotti,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nico Pasquotti
York9,Rodrigo Gattas,90,1.5,0.12,0,2,8,36,11,1,3,66,8,8,0,0,2,31,8,7,Rodrigo Gattas
York9,Rodrigo Gattas,90,0.46,0.42,2,2,7,41,21,3,2,61,2,1,1,0,1,29,5,10,Rodrigo Gattas
York9,Rodrigo Gattas,90,0.56,0.0,1,1,4,41,21,0,5,59,1,7,0,0,0,18,4,10,Rodrigo Gattas
York9,Rodrigo Gattas,90,1.33,0.5,1,2,7,31,16,3,11,57,6,7,1,2,2,27,6,9,Rodrigo Gattas
York9,Rodrigo Gattas,90,0.22,0.1,0,3,6,38,23,2,4,52,4,5,0,1,0,22,7,11,Rodrigo Gattas
York9,Rodrigo Gattas,90,0.22,0.0,0,0,5,33,20,0,3,51,12,6,1,1,2,20,4,11,Rodrigo Gattas
York9,Rodrigo Gattas,90,0.21,0.0,3,0,2,34,18,0,4,51,4,4,1,1,1,18,2,9,Rodrigo Gattas
York9,Rodrigo Gattas,90,0.07,0.04,0,0,5,39,20,1,3,50,6,4,0,0,2,12,2,7,Rodrigo Gattas
York9,Rodrigo Gattas,90,0.1,0.07,0,0,5,35,20,2,2,49,5,3,0,0,2,17,2,5,Rodrigo Gattas
York9,Rodrigo Gattas,82,0.74,0.0,1,0,6,41,17,0,2,48,3,2,0,1,1,12,1,7,Rodrigo Gattas
York9,Rodrigo Gattas,73,0.16,0.0,0,2,7,31,12,0,8,47,11,4,0,0,1,19,4,6,Rodrigo Gattas
York9,Rodrigo Gattas,90,0.04,0.09,0,1,7,29,17,2,5,44,8,3,1,0,1,14,1,4,Rodrigo Gattas
York9,Rodrigo Gattas,79,0.06,0.12,0,0,9,29,8,1,8,43,2,2,1,2,0,7,3,2,Rodrigo Gattas
York9,Rodrigo Gattas,74,0.26,0.0,0,2,8,25,9,0,6,42,3,0,0,1,1,18,5,4,Rodrigo Gattas
York9,Rodrigo Gattas,90,1.21,0.0,1,1,5,26,11,0,4,40,5,5,1,1,0,19,5,4,Rodrigo Gattas
York9,Rodrigo Gattas,85,0.13,0.0,0,1,5,31,13,0,2,40,8,1,0,0,2,17,3,8,Rodrigo Gattas
York9,Rodrigo Gattas,90,0.12,0.04,0,1,4,24,12,1,2,37,6,3,0,0,0,15,2,7,Rodrigo Gattas
York9,Rodrigo Gattas,90,0.35,0.18,0,0,3,18,12,4,3,36,8,3,2,0,1,19,8,8,Rodrigo Gattas
York9,Rodrigo Gattas,76,0.14,0.05,0,2,5,26,15,1,2,36,0,5,0,0,0,13,2,5,Rodrigo Gattas
York9,Rodrigo Gattas,71,0.11,0.0,0,1,6,27,14,0,5,35,3,4,0,1,0,12,2,5,Rodrigo Gattas
York9,Rodrigo Gattas,90,0.31,0.0,0,1,7,20,8,0,2,32,3,5,0,2,2,15,4,3,Rodrigo Gattas
York9,Rodrigo Gattas,45,0.06,0.25,0,1,3,23,13,1,2,30,2,3,0,0,1,13,4,7,Rodrigo Gattas
York9,Rodrigo Gattas,27,0.0,0.0,0,0,2,13,5,0,3,16,1,0,0,0,0,3,0,1,Rodrigo Gattas
York9,Rodrigo Gattas,29,0.0,0.0,0,0,5,12,2,0,0,14,1,1,0,0,0,6,0,2,Rodrigo Gattas
York9,Rodrigo Gattas,20,0.03,0.0,0,1,2,8,4,0,2,13,3,1,0,0,1,6,0,2,Rodrigo Gattas
York9,Rodrigo Gattas,14,0.79,0.0,0,1,0,7,4,0,1,11,0,0,0,0,0,6,2,2,Rodrigo Gattas
York9,Rodrigo Gattas,13,0.03,0.0,0,0,1,6,3,0,1,8,1,0,0,0,0,4,0,1,Rodrigo Gattas
York9,Rodrigo Gattas,10,0.0,0.0,0,0,1,4,2,0,0,4,3,0,0,0,0,0,0,0,Rodrigo Gattas
Valour,Federico Peña,90,0.03,0.0,0,0,5,45,14,0,4,65,6,7,0,0,2,7,0,3,Federico Peña
Valour,Federico Peña,90,0.04,0.0,0,0,5,30,12,0,4,56,5,3,0,1,2,13,2,5,Federico Peña
Valour,Federico Peña,29,0.0,0.0,0,0,1,9,2,0,3,20,3,1,0,0,0,3,0,1,Federico Peña
Valour,Federico Peña,59,0.0,0.43,0,0,4,8,0,1,0,17,6,2,1,0,2,7,1,0,Federico Peña
Valour,Federico Peña,18,0.0,0.0,0,0,1,3,0,0,2,14,3,0,0,0,0,4,0,0,Federico Peña
