team,Age,pos,name,overall,Min,Goal,GoalDirFK,GoalHead,Clrnce,Int,TcklMade%,DuelsW%,display,number
HFX Wanderers,26,lcb,Matthew Arnone,0.71,2094,2,0,1,99,49,68.9,62.0,Matthew Arnone,23
York United,25,rcb,Luca Gasparotto,0.71,2520,1,0,1,117,49,75.6,72.0,Luca Gasparotto,13
Pacific,25,rcb,Lukas MacNaughton,0.7,1704,2,0,2,95,29,79.2,57.0,Lukas MacNaughton,14
Cavalry,26,rcb,Dominick Zator,0.66,2425,1,0,1,76,51,81.0,63.0,Dominick Zator,4
Forge,24,lcb,Daniel Krutzen,0.66,2470,1,0,1,95,46,75.4,59.0,Daniel Krutzen,10
Edmonton,25,lcb,Mélé Temguia,0.65,2429,2,0,0,82,51,72.6,57.0,Mélé Temguia,8
Edmonton,31,cm,Ramon Soria,0.58,2010,1,1,0,26,32,74.5,54.0,Ramón Soria,5
Pacific,29,lcb,Hendrik Starostzik,0.51,1161,1,0,1,72,25,68.4,59.0,Hendrik Starostzik,16
HFX Wanderers,24,rcb,Peter Schaale,0.5,1530,1,0,0,100,24,76.4,60.0,Peter Schaale,2
York United,26,rb,Morey Doner,0.49,2250,1,0,0,35,32,74.1,61.0,Morey Doner,3
York United,22,lb,Diyaeddine Abzi,0.48,1814,1,0,0,31,48,70.6,50.0,Diyaeddine Abzi,20
Edmonton,25,rcb,Amer Didic,0.48,1650,0,0,0,109,25,82.9,69.0,Amer Didic,55
HFX Wanderers,30,rb,André Bona,0.47,2053,0,0,0,76,32,85.7,58.0,André Bona,3
Pacific,22,rb,Kadin Chung,0.47,2032,1,0,0,42,31,75.0,55.0,Kadin Chung,7
Forge,26,rcb,Dominic Samuel,0.47,2133,0,0,0,75,31,87.8,56.0,Dominic Samuel,22
Valour,27,rcb,Skylar Rutherford Thomas,0.46,1894,0,0,0,102,23,77.1,60.0,Skylar Thomas,3
Pacific,29,lb,Blake Smith,0.45,2004,0,0,0,53,43,74.5,56.0,Blake Smith,4
Forge,27,lcb,Bertrand Owundi,0.43,1756,0,0,0,92,24,70.4,55.0,Bertrand Owundi,16
Forge,33,rcb,David Edward Edgar,0.43,834,1,0,1,36,8,75.0,64.0,David Edgar,30
Edmonton,24,rb,Jeannot Esua,0.42,1798,0,0,0,40,33,76.7,62.0,Jeannot Esua,3
Valour,27,lcb,Jordan Peter Murrell,0.41,1784,0,0,0,63,26,76.3,58.0,Jordan Murrell,4
Cavalry,32,rcb,Jonathan Wheeldon,0.4,1497,0,0,0,71,14,88.9,61.0,Jay Wheeldon,14
Forge,25,lb,Kwame Awuah,0.4,1974,0,0,0,20,41,80.5,48.0,Kwame Awuah,2
HFX Wanderers,21,lcb,Chrisnovic N'Sa,0.38,1217,0,0,0,44,25,83.3,62.0,Chris N'sa,6
Cavalry,25,lb,Nathan Mavila,0.38,2021,0,0,0,45,22,68.8,53.0,Nathan Mavila,3
Valour,29,lb,Martín Arguiñarena,0.38,1534,0,0,0,18,35,69.1,65.0,Martín Arguiñarena,6
Edmonton,27,lb,Allan Zebie,0.37,1970,0,0,0,31,27,70.3,52.0,Allan Zebie,4
Valour,27,lcb,Adam Mitter,0.37,1513,0,0,0,50,29,63.0,52.0,Adam Mitter,15
Cavalry,34,lcb,Mason Trafford,0.36,1891,0,0,0,57,15,63.2,55.0,Mason Trafford,5
York United,24,lcb,Daniel Gogarty,0.36,1551,0,0,0,40,21,76.3,57.0,Daniel Gogarty,2
York United,27,rcb,Justin Springer,0.36,945,0,0,0,47,10,90.9,71.0,Justin Springer,5
Pacific,29,lcb,Ryan McCurdy,0.34,744,0,0,0,35,13,92.9,71.0,Ryan McCurdy,3
Pacific,20,rcb,Émile Legault,0.33,915,0,0,0,41,21,73.8,59.0,Emile Legault,20
Forge,27,rb,Jonathan Grant,0.33,882,1,0,0,15,13,81.1,45.0,Jonathan Grant,8
Edmonton,30,rb,Kareem Moses,0.33,969,0,0,0,26,14,80.0,73.0,Kareem Moses,12
Forge,21,rb,Klaidi Cela,0.31,326,1,0,0,18,5,73.7,62.0,Klaidi Cela,16
HFX Wanderers,25,lcb,Duran Lee,0.3,678,0,0,0,21,9,96.6,57.0,Duran Lee,16
HFX Wanderers,22,lb,Ndzemdzela Langwa,0.3,1281,0,0,0,20,14,69.1,57.0,Zoom Langwa,20
York United,29,lcb,Roger Thompson,0.3,802,0,0,0,40,15,69.2,54.0,Roger Thompson,6
HFX Wanderers,28,lb,Alex De Carolis,0.29,1246,0,0,0,34,14,64.2,47.0,Alex De Carolis,24
Cavalry,29,rm,Dean Northover,0.28,609,0,0,0,10,15,80.0,57.0,Dean Northover,12
Valour,21,rb,Raphaël Garcia,0.28,943,0,0,0,20,9,73.3,56.0,Raphaël Garcia,2
Valour,20,lcb,Yohan Le Bourhis,0.28,720,0,0,0,41,5,80.0,48.0,Yohan Le Bourhis,25
HFX Wanderers,29,rcb,Chakib Hocine,0.26,352,0,0,0,12,8,100.0,50.0,Chakib Hocine,4
Pacific,34,cam,Marcel de Jong,0.25,50,0,0,0,2,0,100.0,71.0,Marcel de Jong,8
Forge,18,lb,Oluwaseun Oyegunle,0.25,38,0,0,0,1,1,100.0,67.0,Oluwaseun Oyegunle,15
York United,22,cm,Steven Furlano,0.24,517,0,0,0,6,10,83.3,45.0,Steven Furlano,77
Forge,20,lb,Montther Mohsen,0.23,363,1,0,0,6,5,47.4,42.0,Monti Mohsen,11
HFX Wanderers,25,ram,Zachary Sukunda,0.21,841,0,0,0,11,7,60.0,40.0,Zachary Sukunda,25
