Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,leagueId,leagueName,GM,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,PassesIntoBox,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,optaTeamId,null,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,2,0,4,2,2,1,1,5,3,1,0,0,1,0,2,0,2,0,1,0,0,2,4,4,62,20,344,102,160,0.73,2,2,0.62,1,1,1,7,8,13,0,0,52,4,0,0,516,58,7,14,11,53,65.60%,18,9,48,7,5,5,4,7,5,3,0,0,1,0,0,1,2,2,0,0,2,0,0,0,1,0,0,2,1,1,1,1,0,1,0,0,0,3,3,4,11,151,179,186,12,43.60%,76.20%,112,84,66,99,143,102,46.20%,26,2.38,1,14,42,42,7,4,0.59,0.14,0.59,0.14,0.73,6,3,0.07,11,0.07,0,27.80%,10,11,12,11,12,11,16614,,,ATO vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
1,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,4,3,1,3,1,4,0,0,0,0,0,0,2,0,2,0,3,0,2,0,4,1,44,15,481,219,203,2.38,2,1,1.74,3,2,6,2,8,24,0,0,58,11,0,0,679,52,4,14,9,40,81.80%,10,6,41,8,4,5,5,6,5,0,0,0,1,0,0,0,2,2,0,0,2,0,0,2,1,0,0,2,0,2,0,0,0,1,0,0,0,3,1,6,11,150,193,336,14,30.40%,87.70%,241,62,119,68,276,137,53.80%,26,0.73,2,24,25,25,10,5,1.66,0.72,1.66,0.72,2.38,7,2,0.2,12,0.21,0.13,22.20%,12,14,11,12,11,12,6925,,,ATO vs EDM,FALSE,TRUE,FALSE,TRUE,FALSE,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Edmonton,Atlético Ottawa,ATO,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
