Rank,GM,optaTeamId,team,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total,season,seasonId,scatterId,scatterExtra
1,7,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),31,31,0,16,11,5,12,11,29,9,7,1,0,4,0,4,1,4,1,10,2,3,1,21,12,401,131,2915,1352,1031,7.65,5,2,4.79,8,5,16,28,44,153,11,2,401,77,2,1,4279,384,46,80,73,318,65.30%,108,47,360,27,22,49,19,39,43,14,0,0,1,0,0,2,14,12,2,1,14,0,0,8,10,1,0,13,7,7,2,4,0,4,0,0,1,11,14,26,79,840,1463,1976,105,36.10%,81.70%,1273,313,797,399,997,1519,0,20.6,67,54.10%,183,9.33,18,0,8,3,77,113,65.20%,209,95,14,3.66,3.99,6.86,42,16,0.11,68,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:6925,Canadian Premier League 2020 (Canada)
1,11,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),53,53,6,44,36,8,10,18,42,14,21,3,3,9,1,16,2,10,4,10,7,6,8,27,41,695,295,4355,1806,1559,18.54,19,9,12.91,26,20,18,57,75,222,23,9,615,115,1,0,6539,614,63,114,148,540,63.00%,202,99,535,59,46,71,52,62,71,24,5,6,1,2,1,9,10,9,1,3,29,2,0,14,15,0,0,27,19,10,1,14,0,6,6,0,0,21,14,48,124,1709,2369,2461,224,40.30%,77.30%,1523,642,1200,854,1594,1907,7,20.3,104,52.10%,290,11.89,15,7,26,11,127,196,60.30%,381,116,43,10.03,8.51,16.17,66,29,0.16,114,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15377,Canadian Premier League 2020 (Canada)
1,7,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),28,28,2,29,19,10,11,8,41,15,13,2,2,8,2,6,2,2,1,11,4,1,6,24,31,393,157,2837,1164,1123,8.06,8,1,4.37,8,3,15,50,65,124,11,5,349,58,1,1,4158,349,34,71,81,318,70.90%,123,64,332,35,27,41,33,27,51,10,2,2,1,0,0,2,7,6,1,2,14,0,1,3,11,1,0,13,9,5,4,6,0,2,1,0,0,15,10,22,75,1019,1368,1771,134,37.40%,80.60%,1202,389,696,504,905,1428,3,19.9,43,50.00%,154,8.95,19,3,8,4,92,144,63.90%,231,69,18,3.85,4.21,6.48,64,12,0.09,89,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15382,Canadian Premier League 2020 (Canada)
1,11,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),45,45,4,34,23,11,11,14,37,21,9,5,5,6,2,11,4,8,0,7,4,3,12,19,41,753,263,4004,1593,1395,12.57,15,6,6.76,19,10,12,59,72,177,7,2,627,114,12,4,6121,569,83,126,136,574,64.50%,205,94,563,53,35,76,32,66,81,28,2,13,3,1,3,1,16,12,4,5,32,0,2,11,12,2,1,29,22,10,3,15,2,8,6,0,1,15,17,24,119,1332,2213,2576,158,42.30%,74.60%,1514,505,969,702,1375,1927,2,20.2,115,48.70%,267,12.7,19,2,19,10,74,126,55.70%,405,138,31,6.55,6.02,8.62,66,33,0.13,96,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15376,Canadian Premier League 2020 (Canada)
1,10,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),40,40,4,40,34,6,22,10,53,17,26,0,0,2,0,15,0,12,3,14,7,4,8,32,40,712,274,4611,2104,1521,14.37,16,12,11.37,18,15,20,77,97,203,16,7,541,119,4,3,6579,481,60,115,115,460,69.20%,163,75,511,43,38,70,25,40,61,16,2,7,2,0,2,5,13,13,0,0,31,0,0,22,5,1,0,30,21,10,4,5,2,11,12,0,0,17,20,40,89,1456,2405,2718,199,36.80%,78.60%,1762,537,1326,712,1732,2167,4,21.2,78,54.00%,237,15.43,17,4,18,12,128,188,60.00%,316,114,30,10.5,3.88,14.37,85,24,0.11,125,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15380,Canadian Premier League 2020 (Canada)
1,7,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),35,35,2,36,24,12,7,11,31,15,8,3,1,3,0,7,1,3,3,8,6,1,4,9,44,405,148,2749,1172,1024,8.86,8,5,4.58,11,6,13,44,57,122,12,3,334,57,2,2,4020,360,40,76,82,298,64.40%,86,39,348,47,32,41,24,32,46,9,2,4,2,1,1,2,9,8,1,3,19,0,0,6,11,1,1,17,14,5,4,8,0,6,2,0,1,16,12,30,63,963,1410,1647,135,38.10%,79.90%,1064,387,745,507,949,1293,2,19.9,64,45.10%,142,8.56,20,2,11,4,56,104,63.60%,210,70,18,3.89,4.97,6.5,52,21,0.1,85,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15378,Canadian Premier League 2020 (Canada)
1,10,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),42,42,5,42,31,11,10,10,48,13,18,5,5,3,0,13,1,7,2,13,7,6,6,21,49,739,245,4447,2093,1370,15.83,14,5,8.92,24,13,26,53,79,152,6,3,524,69,6,3,6286,543,54,90,99,384,62.90%,127,51,496,59,27,77,37,47,62,13,3,2,1,1,3,1,11,10,1,5,12,0,2,3,6,0,0,12,8,4,2,5,4,2,0,1,0,15,17,40,82,1429,2158,2699,208,38.20%,77.90%,1730,475,1258,649,1626,2172,3,20.7,85,49.40%,342,11.06,17,3,24,11,146,218,56.00%,244,106,34,8.38,7.45,11.89,74,17,0.14,110,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15381,Canadian Premier League 2020 (Canada)
1,7,16614,Atlético Ottawa,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),19,19,2,25,16,9,7,6,18,8,6,0,0,6,0,6,1,6,0,6,1,1,6,19,17,417,163,2609,1057,972,5.84,7,5,4.44,8,8,6,31,37,92,2,0,319,43,4,2,3862,412,37,84,62,310,55.80%,112,53,312,33,33,54,19,30,42,10,2,1,3,0,2,2,12,10,2,0,24,0,0,12,10,3,0,21,15,9,3,9,1,7,3,2,0,16,18,12,73,914,1356,1592,85,38.90%,77.80%,1003,389,637,473,891,1245,2,19.8,96,43.10%,160,13.8,18,2,8,4,79,113,58.50%,228,67,15,3.92,1.92,5.84,32,21,0.1,56,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:16614,Canadian Premier League 2020 (Canada)
