team,name,number,position,minutes,cs,saves,shots faced,claimed crosses,overall
FFC,Triston Henry,1,g,270,1,6,9,2,0.71
ATO,Ignacio Zabal Almazán,1,g,180,0,11,17,0,0.53
CFC,Marco Carducci,1,g,270,2,2,4,0,0.48
VFC,James Pantemis,1,g,180,1,4,6,0,0.37
HFX,Jason Beaulieu,1,g,180,0,6,9,0,0.34
FCE,Connor James,1,g,180,0,5,9,0,0.33
Y9,Nathan Ingham,29,g,180,0,4,7,0,0.28
PFC,Nolan Wirth,1,g,180,0,3,6,0,0.25
