team,name,number,position,minutes,cs,saves,shots faced,claimed crosses,overall
FFC,Triston Henry,1,g,90,0,4,6,1,0.8
CFC,Marco Carducci,1,g,90,0,2,4,0,0.43
HFX,Jason Beaulieu,1,g,90,0,2,4,0,0.43
PFC,Nolan Wirth,1,g,90,0,2,4,0,0.43
Y9,Nathan Ingham,29,g,90,0,0,2,0,0.26
