team,name,number,position,minutes,goals,chances,assists,shots,s-target,passes,crosses,duels,tackles,overall
ATO,Mohamed Kourouma,9,f,617,1,6,0,14,6,234,33,76,11,0.72
HFX,Akeem Garcia,11,f,577,5,4,0,16,9,102,1,58,5,0.59
ATO,Malcolm Isaiah Shaw,19,f,595,2,3,1,16,6,118,2,106,3,0.58
CFC,Nico Pasquotti,17,f,537,0,6,0,12,2,162,17,82,6,0.52
PFC,Alejandro Díaz Liceága,9,f,355,2,5,1,13,6,120,2,37,3,0.49
CFC,Marcus Haber,29,f,417,2,5,0,11,7,98,11,75,1,0.49
HFX,Alessandro Riggi,10,f,330,1,6,1,6,4,99,7,43,11,0.48
HFX,João Morelli Neto,22,f,301,3,4,1,8,5,106,7,44,5,0.47
CFC,Oliver Minatel,7,f,454,0,6,1,7,2,133,5,56,6,0.45
CFC,Jordan Brown,9,f,516,3,2,0,16,6,81,5,49,2,0.45
FCE,Easton Ongaro,19,f,480,3,4,0,10,3,87,7,70,2,0.43
VFC,Austin Ricci,9,f,365,0,3,0,9,5,51,5,48,6,0.34
VFC,Mastanabal Kacher,7,f,360,1,6,0,7,1,123,10,25,1,0.34
VFC,Shaan Hundal,11,f,232,0,5,2,4,4,36,2,30,1,0.34
PFC,Terran Campbell,14,f,334,0,3,0,10,1,77,5,50,5,0.3
VFC,Federico Peña,77,f,327,0,2,0,3,0,87,9,38,14,0.3
FFC,Molham Babouli,19,f,253,0,3,1,4,1,76,5,51,5,0.3
FFC,Anthony Novak,23,f,323,1,1,0,7,5,77,0,42,3,0.28
FFC,Kadell Thomas,17,f,209,0,1,0,4,1,42,9,51,11,0.25
FCE,Marcus Velado-Tsegaye,17,f,230,1,0,0,11,4,72,4,28,2,0.25
FCE,Tomi Ameobi,18,f,287,0,2,0,3,2,75,0,50,5,0.23
FFC,Christopher Nanco,11,f,168,2,1,0,4,3,41,5,33,3,0.22
Y9,Álvaro Rivero Sánchez,7,f,360,1,1,0,6,2,55,0,33,1,0.21
FFC,Marcel Zajac,9,f,170,0,0,0,4,1,41,3,28,5,0.15
FCE,Prince Amanda,16,f,145,0,0,0,3,1,42,6,28,5,0.15
VFC,Daryl Fordyce,16,f,162,1,0,0,6,3,39,1,17,1,0.15
HFX,Ibrahima Sanoh,9,f,79,1,1,0,2,1,16,1,20,0,0.1
Y9,Lowell Wright,80,f,127,1,0,0,3,1,16,0,12,2,0.1
FFC,Gabriel Wiethaeuper-Balbinotti,20,f,84,0,0,0,4,0,28,0,23,0,0.07
CFC,Aribim Pepple,24,f,42,0,1,0,1,1,8,0,13,2,0.07
FCE,David Doe,26,f,54,0,0,0,0,0,13,1,9,1,0.03
Y9,Gabriel Monteiro Vasconcelos,99,f,88,0,0,0,1,0,18,0,3,0,0.03
CFC,José Hernández,20,f,8,0,0,0,0,0,5,0,3,2,0.02
CFC,Jair Ayrton Córdova Carpio,19,f,32,0,1,0,0,0,6,0,4,0,0.02
Y9,Jace Kotsopoulos,12,f,28,0,0,0,0,0,7,0,4,2,0.02
ATO,Maksym Kowal,21,f,51,0,0,0,0,0,12,0,12,0,0.02
