team,name,number,position,minutes,cs,saves,shots faced,claimed crosses,overall
VFC,James Pantemis,1,g,450,2,14,19,1,0.78
ATO,Ignacio Zabal Almazán,1,g,360,1,17,25,1,0.72
FFC,Triston Henry,1,g,360,1,10,17,3,0.71
FCE,Connor James,1,g,450,0,10,21,2,0.61
Y9,Nathan Ingham,29,g,360,1,10,15,0,0.49
CFC,Marco Carducci,1,g,360,2,2,6,0,0.43
PFC,Callum Irving,13,g,90,1,7,7,2,0.41
HFX,Jason Beaulieu,1,g,270,0,8,13,0,0.31
PFC,Nolan Wirth,1,g,180,0,7,12,0,0.25
HFX,Christian Oxner,50,g,180,0,5,7,0,0.19
CFC,Nikolas Giantsopoulos,22,g,90,0,2,3,1,0.15
Y9,Ezequiel Carrasco,37,g,90,0,1,2,0,0.06
