team,name,number,position,minutes,goals,tackles,t-won,clearances,interceptions,duels,d-won,overall
FFC,Kwame Awuah,6,d,180,1,5,2,6,2,18,12,0.76
FFC,Daniel Krutzen,5,d,180,0,3,3,4,4,23,12,0.68
FFC,David Edgar,30,d,180,0,4,2,12,3,10,7,0.61
CFC,Dominick Zator,4,d,180,1,2,1,3,0,17,14,0.59
ATO,Milovan Kapor,3,d,90,0,2,2,7,6,10,4,0.48
PFC,Kadin Chung,7,d,90,0,3,2,3,1,17,13,0.48
PFC,Jordan Haynes,3,d,90,0,4,2,1,3,13,7,0.45
CFC,Nathan Mavila,3,d,90,1,1,1,0,1,13,7,0.4
FCE,Mélé Temguia,8,d,90,0,3,2,1,3,10,5,0.39
HFX,Peter Schaale,2,d,90,0,3,2,5,2,6,4,0.38
Y9,Roger Thompson,6,d,90,0,2,2,2,3,7,5,0.36
Y9,Diyaeddine Abzi,20,d,84,0,2,2,1,2,10,6,0.35
Y9,Luca Gasparotto,13,d,90,0,1,0,3,3,11,10,0.33
FCE,Ramon Soria,5,d,90,0,2,1,5,1,8,5,0.31
HFX,Jake Ruby,20,d,90,0,2,2,2,0,12,4,0.31
CFC,Robert Boskovic,25,d,90,0,2,1,2,2,7,6,0.3
FFC,Dominic Samuel,4,d,102,0,2,0,0,2,11,8,0.29
CFC,Mohamed Farsi,21,d,100,0,1,1,2,2,7,4,0.27
CFC,Mason Trafford,5,d,180,0,0,0,4,2,5,4,0.27
VFC,Arnold Bouka Moutou,29,d,65,0,2,1,0,1,10,5,0.25
VFC,Andrew Jean-Baptiste,35,d,90,0,0,0,5,2,10,4,0.24
HFX,Jems Geffrard,3,d,90,0,1,1,4,2,3,2,0.24
CFC,Jonathan Wheeldon,14,d,90,0,0,0,8,0,9,4,0.23
FCE,Jeannot Esua,3,d,90,0,0,0,6,2,7,3,0.23
VFC,Julian Dunn-Johnson,5,d,90,0,1,0,4,0,9,6,0.23
Y9,Morey Doner,3,d,90,0,0,0,0,5,4,3,0.21
CFC,Dean Northover,12,d,90,0,0,0,1,2,8,6,0.21
HFX,Alex De Carolis,24,d,81,0,1,1,0,1,5,5,0.21
FFC,Maxim Tissot,15,d,55,0,2,1,1,0,6,2,0.19
FCE,Kareem Moses,12,d,29,0,2,1,3,0,6,2,0.19
FCE,Allan Zebie,4,d,87,0,1,1,0,0,6,4,0.19
Y9,Matthew Arnone,17,d,53,0,1,1,1,2,3,2,0.18
FFC,Jonathan Grant,2,d,78,0,0,0,5,0,10,2,0.17
PFC,Thomas Meilleur-Giguère,26,d,90,0,0,0,4,2,3,1,0.17
PFC,Lukas MacNaughton,6,d,90,0,0,0,2,0,7,4,0.15
ATO,Evan Brandon John,4,d,90,0,1,0,2,0,2,2,0.13
ATO,Jarred Phillips,14,d,36,0,1,1,1,0,4,1,0.13
FCE,Terique Mohammed,57,d,29,0,1,0,1,0,5,3,0.1
FCE,Amer Didic,55,d,61,0,0,0,2,0,3,2,0.09
ATO,Vashon Neufville,44,d,50,0,0,0,0,0,6,1,0.07
Y9,Ijah Halley,14,d,6,0,0,0,0,0,5,2,0.04
PFC,Marcel de Jong,17,d,7,0,0,0,1,0,2,0,0.02
HFX,Mateo Restrepo,14,d,9,0,0,0,0,0,0,0,0.0
FFC,Klaidi Cela,16,d,1,0,0,0,0,0,0,0,0.0
