team,name,number,position,minutes,cs,saves,shots faced,claimed crosses,overall
FFC,Triston Henry,1,g,270,1,8,12,2,0.78
VFC,James Pantemis,1,g,270,2,7,9,1,0.73
Y9,Nathan Ingham,29,g,270,1,7,10,0,0.54
ATO,Ignacio Zabal Almazán,1,g,180,0,11,17,0,0.53
CFC,Marco Carducci,1,g,270,2,2,4,0,0.48
PFC,Nolan Wirth,1,g,180,0,7,12,0,0.4
HFX,Jason Beaulieu,1,g,180,0,6,9,0,0.34
FCE,Connor James,1,g,180,0,5,9,0,0.33
