team,name,number,position,minutes,goals,tackles,t-won,clearances,interceptions,duels,d-won,overall
FCE,Mélé Temguia,8,d,450,0,15,12,11,11,56,32,0.74
HFX,Chrisnovic N'Sa,6,d,360,0,18,16,10,6,53,32,0.7
Y9,Luca Gasparotto,13,d,450,0,7,4,30,11,32,23,0.61
HFX,Peter Schaale,2,d,450,0,8,5,31,8,40,23,0.61
Y9,Roger Thompson,6,d,450,0,7,4,21,11,36,23,0.58
CFC,Dominick Zator,4,d,450,1,9,7,7,2,46,30,0.57
FFC,Kwame Awuah,6,d,292,1,12,8,8,6,39,26,0.57
VFC,Andrew Jean-Baptiste,35,d,450,1,4,4,18,10,29,17,0.56
HFX,Mateo Restrepo,14,d,283,0,15,12,6,10,28,19,0.55
PFC,Kadin Chung,7,d,270,0,13,11,7,4,43,31,0.54
CFC,Nathan Mavila,3,d,360,2,2,2,3,5,51,22,0.52
VFC,Julian Dunn-Johnson,5,d,450,0,10,4,16,4,43,23,0.52
FCE,Jeannot Esua,3,d,437,0,2,2,18,8,50,26,0.52
FCE,Ramon Soria,5,d,450,0,8,6,15,6,37,23,0.52
FFC,Daniel Krutzen,5,d,360,0,7,5,16,7,41,24,0.51
FCE,Allan Zebie,4,d,412,0,11,9,0,7,36,22,0.5
PFC,Lukas MacNaughton,6,d,270,1,6,3,17,4,36,24,0.49
FFC,Dominic Samuel,4,d,280,0,10,2,7,4,50,31,0.46
HFX,Jems Geffrard,3,d,450,0,4,3,17,8,22,15,0.44
FFC,David Edgar,30,d,360,0,5,3,24,5,21,14,0.41
ATO,Evan Brandon John,4,d,348,0,4,3,13,4,26,19,0.37
Y9,Morey Doner,3,d,450,0,1,1,6,9,22,9,0.35
Y9,Diyaeddine Abzi,20,d,259,0,6,4,6,7,25,13,0.35
ATO,Milovan Kapor,3,d,244,0,3,3,17,9,17,8,0.35
CFC,Mohamed Farsi,21,d,236,0,7,6,5,4,24,17,0.34
PFC,Thomas Meilleur-Giguère,26,d,270,0,1,1,14,11,15,5,0.32
ATO,Gianfranco Facchineri,6,d,192,0,9,8,10,2,18,12,0.32
CFC,Mason Trafford,5,d,360,0,4,3,9,3,21,14,0.32
CFC,Jonathan Wheeldon,14,d,270,0,1,0,16,5,21,11,0.29
CFC,Robert Boskovic,25,d,225,0,5,1,3,5,23,13,0.27
PFC,Marcel de Jong,17,d,155,0,2,2,11,8,12,8,0.26
FCE,Duran Lee,23,d,123,0,6,4,5,1,24,15,0.25
HFX,Alex De Carolis,24,d,171,0,6,5,1,2,16,12,0.23
CFC,Dean Northover,12,d,180,0,4,2,3,3,18,13,0.23
PFC,Jordan Haynes,3,d,122,0,5,2,3,4,16,9,0.21
FCE,Terique Mohammed,57,d,123,0,5,2,7,0,24,13,0.21
Y9,Fugo Segawa,26,d,185,0,2,2,4,2,20,10,0.2
FCE,Samuel Gardner,33,d,82,0,4,3,2,3,14,7,0.17
ATO,Vashon Neufville,44,d,171,0,2,1,1,3,19,6,0.17
FCE,Kareem Moses,12,d,139,0,3,1,10,1,12,5,0.16
HFX,Jake Ruby,20,d,102,0,3,3,4,0,15,6,0.14
FFC,Maxim Tissot,15,d,113,0,3,2,1,1,20,5,0.14
Y9,Ijah Halley,14,d,136,0,1,1,0,0,24,9,0.14
ATO,Jarred Phillips,14,d,95,0,3,2,2,3,12,4,0.14
VFC,Arnold Bouka Moutou,29,d,65,0,2,1,0,1,10,5,0.09
FFC,Monti Mohsen,22,d,45,0,2,2,2,0,8,5,0.08
FFC,Jonathan Grant,2,d,78,0,0,0,5,0,10,2,0.07
Y9,Matthew Arnone,17,d,62,0,1,1,1,2,3,2,0.07
HFX,Daniel Kinumbe,13,d,45,0,1,1,0,1,6,4,0.06
FFC,Jordan Dunstan,21,d,0,0,2,2,1,1,4,2,0.06
FCE,Amer Didic,55,d,61,0,0,0,2,0,3,2,0.03
FFC,Klaidi Cela,16,d,2,0,0,0,0,0,2,0,0.0
