team,name,number,position,minutes,goals,tackles,t-won,clearances,interceptions,duels,d-won,overall
FFC,Daniel Krutzen,5,d,691,2,11,8,28,20,74,45,0.71
HFX,Chrisnovic N'Sa,6,d,604,0,23,19,14,12,81,50,0.69
HFX,Peter Schaale,2,d,810,0,15,9,53,11,77,44,0.68
PFC,Kadin Chung,7,d,585,0,24,19,10,9,73,48,0.65
HFX,Mateo Restrepo,14,d,491,0,24,18,12,14,58,40,0.62
FFC,Kwame Awuah,6,d,572,1,17,12,11,11,66,42,0.59
CFC,Nathan Mavila,3,d,621,3,9,7,5,7,83,36,0.58
CFC,Dominick Zator,4,d,810,1,12,9,18,6,65,41,0.56
PFC,Lukas MacNaughton,6,d,540,1,10,7,25,10,61,43,0.54
Y9,Luca Gasparotto,13,d,630,0,10,6,43,13,49,34,0.53
VFC,Julian Dunn-Johnson,5,d,630,0,14,7,22,10,69,35,0.52
FCE,Jeannot Esua,3,d,617,0,6,4,22,15,68,41,0.5
Y9,Roger Thompson,6,d,630,0,10,5,28,15,49,31,0.49
FCE,Mélé Temguia,8,d,450,0,15,12,11,11,56,32,0.48
FFC,Dominic Samuel,4,d,467,0,13,5,12,7,75,46,0.47
CFC,Mohamed Farsi,21,d,521,1,9,6,8,9,58,35,0.45
HFX,Jems Geffrard,3,d,810,0,5,4,31,15,38,23,0.45
PFC,Thomas Meilleur-Giguère,26,d,720,0,6,3,36,17,38,19,0.45
FCE,Ramon Soria,5,d,630,0,10,7,17,7,48,29,0.42
FFC,David Edgar,30,d,630,0,6,4,38,7,36,24,0.4
PFC,Jordan Haynes,3,d,437,0,11,7,11,8,50,31,0.39
CFC,Mason Trafford,5,d,630,0,8,7,22,8,37,22,0.39
VFC,Andrew Jean-Baptiste,35,d,462,1,5,5,18,11,32,19,0.37
ATO,Evan Brandon John,4,d,618,0,5,3,21,7,46,29,0.37
Y9,Morey Doner,3,d,630,0,5,4,11,13,37,18,0.35
FCE,Terique Mohammed,57,d,303,0,14,8,9,2,51,27,0.35
ATO,Milovan Kapor,3,d,495,0,4,4,26,10,34,16,0.33
FCE,Allan Zebie,4,d,412,0,11,9,0,7,36,22,0.33
Y9,Diyaeddine Abzi,20,d,438,0,8,6,7,7,48,22,0.33
HFX,Alex De Carolis,24,d,326,1,8,5,6,6,30,21,0.31
CFC,Robert Boskovic,25,d,405,0,10,4,7,8,38,22,0.31
CFC,Jonathan Wheeldon,14,d,459,0,3,2,23,9,36,18,0.3
Y9,Fugo Segawa,26,d,353,0,8,7,6,7,35,18,0.29
CFC,Dean Northover,12,d,339,0,7,3,4,8,44,25,0.29
PFC,Marcel de Jong,17,d,290,0,5,5,13,10,24,16,0.27
ATO,Gianfranco Facchineri,6,d,206,0,9,8,10,2,20,12,0.22
FFC,Jordan Dunstan,21,d,237,0,4,3,9,6,31,17,0.22
ATO,Jarred Phillips,14,d,289,0,6,5,5,5,27,11,0.21
HFX,Jake Ruby,20,d,221,0,7,3,9,0,33,21,0.21
FFC,Maxim Tissot,15,d,295,0,4,3,6,3,34,11,0.19
FCE,Duran Lee,23,d,123,0,6,4,5,1,24,15,0.16
ATO,Vashon Neufville,44,d,241,0,2,1,2,5,28,12,0.16
FCE,Amer Didic,55,d,241,0,4,4,9,1,16,12,0.16
FFC,Monti Mohsen,22,d,208,0,3,3,3,1,25,16,0.15
HFX,Daniel Kinumbe,13,d,139,0,2,2,1,4,18,10,0.12
FCE,Samuel Gardner,33,d,82,0,4,3,2,3,14,7,0.11
Y9,Ijah Halley,14,d,157,0,1,1,1,0,32,13,0.11
FCE,Kareem Moses,12,d,140,0,3,1,10,1,12,5,0.1
VFC,Yohan Le Bourhis,4,d,90,1,0,0,1,0,7,5,0.08
FFC,Jonathan Grant,2,d,140,0,0,0,5,0,24,8,0.08
PFC,Abdoulaye Samake,5,d,89,0,2,2,2,3,7,3,0.07
VFC,Arnold Bouka Moutou,29,d,70,0,2,1,0,1,11,5,0.06
VFC,Chakib Hocine,4,d,66,0,1,1,2,0,8,4,0.04
Y9,Matthew Arnone,17,d,62,0,1,1,1,2,3,2,0.04
VFC,Raphaël Garcia,2,d,26,0,1,0,1,1,4,2,0.02
FFC,Klaidi Cela,16,d,2,0,0,0,0,0,2,0,0.0
