team,name,number,position,minutes,goals,chances,assists,shots,s-target,passes,crosses,duels,tackles,overall
ATO,Mohamed Kourouma,9,f,360,1,3,0,11,4,148,12,46,9,0.71
HFX,João Morelli Neto,22,f,239,3,2,0,7,5,85,5,39,5,0.56
CFC,Nico Pasquotti,17,f,341,0,2,0,7,2,109,14,57,5,0.55
ATO,Malcolm Isaiah Shaw,19,f,326,2,2,1,10,3,68,2,55,2,0.55
CFC,Oliver Minatel,7,f,350,0,6,1,5,1,115,4,41,4,0.53
FCE,Easton Ongaro,19,f,315,2,3,0,8,2,62,5,58,2,0.51
HFX,Akeem Garcia,11,f,342,3,1,0,8,6,60,0,33,3,0.51
CFC,Jordan Brown,9,f,305,3,1,0,8,4,47,4,27,1,0.45
CFC,Marcus Haber,29,f,216,1,2,0,7,4,56,5,43,1,0.41
VFC,Shaan Hundal,11,f,220,0,5,2,3,3,33,2,26,1,0.41
VFC,Mastanabal Kacher,7,f,282,1,4,0,5,1,91,9,23,0,0.4
HFX,Alessandro Riggi,10,f,193,0,3,1,1,0,53,3,26,8,0.35
FFC,Christopher Nanco,11,f,156,2,0,0,4,3,36,5,31,3,0.34
FFC,Anthony Novak,23,f,197,1,1,0,4,3,55,0,32,3,0.31
PFC,Alejandro Díaz Liceága,9,f,101,1,3,0,6,4,51,1,16,1,0.31
VFC,Austin Ricci,9,f,254,0,1,0,4,3,40,2,32,3,0.3
PFC,Terran Campbell,14,f,169,0,2,0,5,1,34,3,28,5,0.29
VFC,Federico Peña,77,f,227,0,0,0,2,0,61,4,24,9,0.29
FCE,Tomi Ameobi,18,f,248,0,2,0,3,2,54,0,36,1,0.27
FFC,Molham Babouli,19,f,140,0,2,1,2,1,45,2,21,2,0.26
Y9,Álvaro Rivero Sánchez,7,f,265,1,1,0,4,2,35,0,21,0,0.25
FFC,Kadell Thomas,17,f,109,0,1,0,2,1,25,4,31,4,0.22
VFC,Daryl Fordyce,16,f,93,1,0,0,5,2,33,1,9,1,0.19
FFC,Marcel Zajac,9,f,109,0,0,0,3,1,31,2,19,3,0.17
FCE,Marcus Velado-Tsegaye,17,f,74,1,0,0,5,2,30,0,5,1,0.17
Y9,Lowell Wright,80,f,127,1,0,0,3,1,16,0,12,2,0.16
HFX,Ibrahima Sanoh,9,f,72,1,1,0,2,1,13,1,12,0,0.14
CFC,Aribim Pepple,24,f,35,0,1,0,1,1,7,0,9,1,0.08
FFC,Gabriel Wiethaeuper-Balbinotti,20,f,45,0,0,0,3,0,20,0,13,0,0.07
FCE,Prince Amanda,16,f,25,0,0,0,0,0,14,6,6,0,0.06
Y9,Gabriel Monteiro Vasconcelos,99,f,88,0,0,0,1,0,18,0,3,0,0.05
Y9,Jace Kotsopoulos,12,f,28,0,0,0,0,0,7,0,4,2,0.04
ATO,Maksym Kowal,21,f,50,0,0,0,0,0,12,0,11,0,0.04
CFC,José Hernández,20,f,8,0,0,0,0,0,5,0,3,2,0.03
FCE,David Doe,26,f,27,0,0,0,0,0,3,0,2,0,0.01
