team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall
PFC,Victor Blasco,23,m,488,1,2,335,184,67.9,34,33.3,12,80,11,0.79
ATO,Francisco Javier Acuña Víctor,8,m,532,2,2,346,234,85.0,17,0.0,10,67,11,0.77
PFC,Marco Bustos,10,m,523,3,1,360,227,87.5,23,20.0,10,73,2,0.76
Y9,Joseph Di Chiara,8,m,540,3,0,384,283,78.0,9,50.0,5,77,12,0.73
Y9,Ryan Telfer,18,m,620,0,0,309,154,71.4,44,37.5,11,88,9,0.7
VFC,Brett Levis,17,m,383,0,2,296,182,76.7,12,100.0,5,55,11,0.68
Y9,Manuel Aparicio,10,m,530,2,0,367,264,66.7,10,0.0,10,73,13,0.68
HFX,Andre Rampersad,18,m,564,0,2,333,244,77.8,4,0.0,8,72,9,0.66
CFC,Elijah Adekugbe,8,m,413,0,1,357,275,90.2,19,50.0,8,44,8,0.66
ATO,Malyk Hamilton,2,m,630,0,1,425,273,93.2,26,0.0,4,45,11,0.66
FFC,Kyle Bekker,10,m,456,3,0,331,245,80.6,25,0.0,8,46,5,0.65
PFC,Zachary Verhoven,16,m,198,1,1,210,112,63.6,14,100.0,11,60,10,0.64
FFC,Paolo Sabak,24,m,445,1,2,299,223,84.4,7,0.0,9,59,2,0.64
FCE,Keven Steven Alemán Bustos,11,m,537,1,0,341,211,69.6,22,0.0,8,82,10,0.63
FCE,Erik Zetterberg,21,m,465,0,0,322,257,84.4,10,100.0,8,38,7,0.62
PFC,Matthew Baldisimo,8,m,530,0,1,339,267,72.9,2,0.0,5,70,17,0.62
CFC,Nikolas Ledgerwood,6,m,366,0,1,217,146,68.0,24,66.7,7,45,10,0.6
ATO,Ben Fisk,10,m,601,1,0,283,184,73.1,15,0.0,5,65,13,0.58
HFX,Aboubacar Sissoko,17,m,531,0,0,368,282,76.3,2,0.0,4,76,14,0.57
FFC,David Choinière,7,m,247,1,1,166,91,100.0,12,100.0,3,48,5,0.57
Y9,Kyle Porter,19,m,372,1,1,193,128,97.1,24,33.3,8,29,3,0.57
HFX,Alex Marshall,7,m,425,0,2,206,125,66.7,12,0.0,6,61,7,0.55
VFC,Diego Gutiérrez,8,m,489,0,0,388,306,81.3,8,0.0,3,43,8,0.53
FFC,Alexander Achinioti-Jönsson,13,m,459,2,0,301,237,78.9,1,0.0,2,44,10,0.53
VFC,Fraser Aird,33,m,455,1,0,253,159,68.0,25,0.0,9,32,2,0.52
VFC,José Antonio Galán Pedrosa,21,m,310,1,1,252,203,91.3,3,0.0,2,43,10,0.52
HFX,Louis Béland-Goyette,5,m,454,0,0,281,222,83.9,3,0.0,4,60,12,0.51
VFC,Raphael Ohin,27,m,503,0,0,345,278,84.2,0,0.0,4,45,7,0.51
HFX,Cory Bent,23,m,365,1,0,177,98,60.0,20,30.0,7,58,6,0.51
ATO,Ben McKendry,22,m,408,0,0,287,213,58.8,4,0.0,2,58,22,0.51
ATO,Víctor Martínez Manrique,5,m,540,1,0,316,235,72.4,2,0.0,0,58,8,0.5
FFC,Elimane Cissé,3,m,307,0,0,277,159,81.8,9,0.0,4,65,15,0.5
PFC,Jamar Dixon,22,m,391,1,0,221,163,75.0,0,0.0,4,55,16,0.5
VFC,Dylan Carreiro,10,m,334,1,0,186,118,81.8,21,0.0,7,32,5,0.47
VFC,Stefan Cebara,14,m,458,0,0,308,202,80.5,2,0.0,4,45,6,0.47
FCE,Hanson Boakai,10,m,309,0,0,200,126,92.6,12,25.0,2,41,7,0.44
CFC,Elliot Simmons,15,m,357,0,0,278,231,60.0,2,0.0,1,39,9,0.42
Y9,Wataru Murofushi,23,m,329,0,0,247,212,100.0,1,0.0,3,28,3,0.42
FCE,Antony Caceres,20,m,248,0,1,125,75,83.3,2,0.0,4,35,5,0.39
CFC,Bruno Zebie,16,m,275,0,0,169,111,80.0,3,0.0,1,39,11,0.38
FCE,Yong-Chan Son,7,m,303,0,0,174,114,83.3,5,0.0,4,30,4,0.37
ATO,Ajay Khabra,23,m,308,0,0,162,134,92.0,1,0.0,1,34,4,0.36
FCE,Chance Carter,14,m,203,0,0,113,85,100.0,0,0.0,2,21,7,0.33
PFC,Sean Young,20,m,239,0,0,134,101,66.7,0,0.0,4,25,5,0.33
VFC,Dante Campbell,48,m,227,0,0,157,95,71.4,1,0.0,1,29,6,0.32
Y9,Max Ferrari,16,m,158,0,0,81,46,71.4,5,50.0,1,28,3,0.32
PFC,Alessandro Hojabrpour,21,m,244,0,0,120,89,79.2,0,0.0,1,21,6,0.31
PFC,Noah Verhoeven,19,m,109,0,0,115,89,81.5,4,0.0,3,16,3,0.3
CFC,Sergio Camargo,10,m,130,1,0,64,39,72.7,4,0.0,1,12,3,0.28
Y9,Chris Mannella,5,m,100,0,0,72,52,92.3,0,0.0,0,20,6,0.27
PFC,Josh Heard,11,m,99,1,0,46,19,100.0,2,0.0,0,21,0,0.27
ATO,Antoine Coupland,11,m,97,0,0,29,12,100.0,0,0.0,0,16,4,0.24
VFC,Solomon Kojo Antwi,25,m,78,0,0,44,21,75.0,0,0.0,0,16,5,0.23
VFC,Moses Dyer,6,m,271,1,0,134,72,0.0,3,0.0,3,47,3,0.2
HFX,Scott Firth,15,m,8,0,0,7,6,100.0,0,0.0,1,0,0,0.2
ATO,Michel Djaozandry,12,m,6,0,0,4,1,100.0,0,0.0,0,2,1,0.19
Y9,Michael Petrasso,21,m,130,0,0,43,20,33.3,4,0.0,0,10,0,0.18
HFX,Omar Kreim,8,m,181,1,0,104,51,0.0,4,0.0,1,34,5,0.16
Y9,Isaiah Johnston,44,m,18,0,0,14,10,0.0,0,0.0,0,3,2,0.01
