team,name,number,position,minutes,goals,tackles,t-won,clearances,interceptions,duels,d-won,overall
HFX,Chrisnovic N'Sa,6,d,517,0,21,19,12,10,76,46,0.72
HFX,Peter Schaale,2,d,630,0,12,8,44,9,58,33,0.63
Y9,Luca Gasparotto,13,d,630,0,10,6,43,13,49,34,0.62
VFC,Julian Dunn-Johnson,5,d,630,0,14,7,22,10,69,35,0.6
FCE,Jeannot Esua,3,d,617,0,6,4,22,15,68,41,0.59
Y9,Roger Thompson,6,d,630,0,10,5,28,15,49,31,0.58
FFC,Daniel Krutzen,5,d,511,1,7,5,21,15,54,32,0.57
PFC,Kadin Chung,7,d,405,0,19,15,7,5,61,42,0.56
CFC,Nathan Mavila,3,d,508,3,6,4,5,7,68,30,0.55
FCE,Mélé Temguia,8,d,450,0,15,12,11,11,56,32,0.55
FFC,Kwame Awuah,6,d,392,1,15,11,9,7,51,35,0.54
CFC,Dominick Zator,4,d,630,1,10,8,12,5,54,35,0.53
HFX,Mateo Restrepo,14,d,373,0,18,13,9,12,41,26,0.53
PFC,Lukas MacNaughton,6,d,450,1,7,4,22,8,51,35,0.5
FCE,Ramon Soria,5,d,630,0,10,7,17,7,48,29,0.49
PFC,Thomas Meilleur-Giguère,26,d,540,0,4,3,30,15,30,15,0.45
FFC,Dominic Samuel,4,d,370,0,11,3,10,7,63,39,0.45
HFX,Jems Geffrard,3,d,630,0,5,4,23,11,31,19,0.44
VFC,Andrew Jean-Baptiste,35,d,462,1,5,5,18,11,32,19,0.44
ATO,Evan Brandon John,4,d,618,0,5,3,21,7,46,29,0.44
Y9,Morey Doner,3,d,630,0,5,4,11,13,37,18,0.43
ATO,Milovan Kapor,3,d,495,0,4,4,26,10,34,16,0.4
FCE,Terique Mohammed,57,d,303,0,14,8,9,2,51,27,0.39
Y9,Diyaeddine Abzi,20,d,438,0,8,6,7,7,48,22,0.39
CFC,Mason Trafford,5,d,540,0,6,5,16,8,33,20,0.39
FCE,Allan Zebie,4,d,412,0,11,9,0,7,36,22,0.38
FFC,David Edgar,30,d,450,0,6,4,31,5,30,20,0.38
PFC,Jordan Haynes,3,d,347,0,8,5,7,8,38,24,0.36
CFC,Mohamed Farsi,21,d,341,0,9,6,7,8,34,24,0.36
Y9,Fugo Segawa,26,d,353,0,8,7,6,7,35,18,0.34
HFX,Alex De Carolis,24,d,264,1,7,5,4,5,24,17,0.3
CFC,Jonathan Wheeldon,14,d,358,0,2,1,21,7,26,15,0.29
CFC,Dean Northover,12,d,272,0,7,3,4,6,34,20,0.28
CFC,Robert Boskovic,25,d,315,0,8,4,4,6,28,16,0.28
ATO,Jarred Phillips,14,d,289,0,6,5,5,5,27,11,0.25
ATO,Gianfranco Facchineri,6,d,206,0,9,8,10,2,20,12,0.25
PFC,Marcel de Jong,17,d,200,0,3,3,11,8,17,10,0.23
FFC,Jordan Dunstan,21,d,180,0,4,3,7,5,24,15,0.22
FCE,Amer Didic,55,d,241,0,4,4,9,1,16,12,0.19
ATO,Vashon Neufville,44,d,241,0,2,1,2,5,28,12,0.19
FCE,Duran Lee,23,d,123,0,6,4,5,1,24,15,0.18
FFC,Maxim Tissot,15,d,200,0,4,3,3,2,28,10,0.18
FFC,Monti Mohsen,22,d,208,0,3,3,3,1,25,16,0.18
HFX,Jake Ruby,20,d,128,0,4,3,6,0,20,10,0.14
FCE,Samuel Gardner,33,d,82,0,4,3,2,3,14,7,0.13
Y9,Ijah Halley,14,d,157,0,1,1,1,0,32,13,0.13
FCE,Kareem Moses,12,d,140,0,3,1,10,1,12,5,0.12
VFC,Yohan Le Bourhis,4,d,90,1,0,0,1,0,7,5,0.08
VFC,Arnold Bouka Moutou,29,d,70,0,2,1,0,1,11,5,0.07
PFC,Abdoulaye Samake,5,d,64,0,1,1,2,3,5,2,0.06
VFC,Chakib Hocine,4,d,66,0,1,1,2,0,8,4,0.05
FFC,Jonathan Grant,2,d,78,0,0,0,5,0,10,2,0.05
HFX,Daniel Kinumbe,13,d,45,0,1,1,0,1,6,4,0.05
Y9,Matthew Arnone,17,d,62,0,1,1,1,2,3,2,0.05
VFC,Raphaël Garcia,2,d,26,0,1,0,1,1,4,2,0.03
FFC,Klaidi Cela,16,d,2,0,0,0,0,0,2,0,0.0
