team,name,number,position,minutes,cs,saves,shots faced,claimed crosses,overall
FFC,Triston Henry,1,g,90,0,4,6,1,0.67
CFC,Marco Carducci,1,g,180,1,2,4,0,0.61
Y9,Nathan Ingham,29,g,180,0,4,7,0,0.6
PFC,Nolan Wirth,1,g,180,0,3,6,0,0.52
ATO,Ignacio Zabal Almazán,1,g,90,0,4,6,0,0.47
HFX,Jason Beaulieu,1,g,90,0,2,4,0,0.31
VFC,James Pantemis,1,g,90,0,1,3,0,0.23
