team,name,number,position,minutes,goals,tackles,t-won,clearances,interceptions,duels,d-won,overall
HFX,Chrisnovic N'Sa,6,d,517,0,21,19,12,10,76,46,0.68
FFC,Daniel Krutzen,5,d,601,1,9,7,22,17,70,42,0.65
HFX,Peter Schaale,2,d,720,0,13,9,49,10,64,36,0.65
PFC,Kadin Chung,7,d,495,0,22,17,9,5,66,45,0.61
CFC,Nathan Mavila,3,d,597,3,8,6,5,7,76,32,0.58
FFC,Kwame Awuah,6,d,482,1,16,11,9,10,60,39,0.58
Y9,Luca Gasparotto,13,d,630,0,10,6,43,13,49,34,0.58
VFC,Julian Dunn-Johnson,5,d,630,0,14,7,22,10,69,35,0.57
CFC,Dominick Zator,4,d,720,1,11,8,15,5,59,38,0.55
FCE,Jeannot Esua,3,d,617,0,6,4,22,15,68,41,0.55
Y9,Roger Thompson,6,d,630,0,10,5,28,15,49,31,0.54
HFX,Mateo Restrepo,14,d,401,0,20,14,9,12,43,28,0.53
FCE,Mélé Temguia,8,d,450,0,15,12,11,11,56,32,0.53
PFC,Lukas MacNaughton,6,d,450,1,7,4,22,8,51,35,0.47
FCE,Ramon Soria,5,d,630,0,10,7,17,7,48,29,0.46
PFC,Thomas Meilleur-Giguère,26,d,630,0,4,3,34,16,33,15,0.45
CFC,Mohamed Farsi,21,d,431,1,9,6,7,9,46,28,0.44
HFX,Jems Geffrard,3,d,720,0,5,4,28,11,34,21,0.44
FFC,Dominic Samuel,4,d,377,0,11,3,11,7,63,39,0.43
PFC,Jordan Haynes,3,d,437,0,11,7,11,8,50,31,0.43
CFC,Mason Trafford,5,d,630,0,8,7,22,8,37,22,0.43
VFC,Andrew Jean-Baptiste,35,d,462,1,5,5,18,11,32,19,0.41
ATO,Evan Brandon John,4,d,618,0,5,3,21,7,46,29,0.41
FFC,David Edgar,30,d,540,0,6,4,35,5,33,21,0.39
Y9,Morey Doner,3,d,630,0,5,4,11,13,37,18,0.39
FCE,Terique Mohammed,57,d,303,0,14,8,9,2,51,27,0.37
ATO,Milovan Kapor,3,d,495,0,4,4,26,10,34,16,0.37
Y9,Diyaeddine Abzi,20,d,438,0,8,6,7,7,48,22,0.36
FCE,Allan Zebie,4,d,412,0,11,9,0,7,36,22,0.36
HFX,Alex De Carolis,24,d,326,1,8,5,6,6,30,21,0.34
Y9,Fugo Segawa,26,d,353,0,8,7,6,7,35,18,0.32
CFC,Jonathan Wheeldon,14,d,448,0,2,1,23,9,32,16,0.31
CFC,Dean Northover,12,d,273,0,7,3,4,6,34,20,0.27
CFC,Robert Boskovic,25,d,315,0,8,4,4,6,28,16,0.27
FFC,Jordan Dunstan,21,d,225,0,4,3,8,6,31,17,0.24
ATO,Jarred Phillips,14,d,289,0,6,5,5,5,27,11,0.24
ATO,Gianfranco Facchineri,6,d,206,0,9,8,10,2,20,12,0.24
HFX,Jake Ruby,20,d,218,0,7,3,9,0,31,19,0.22
PFC,Marcel de Jong,17,d,200,0,3,3,11,8,17,10,0.21
FFC,Maxim Tissot,15,d,283,0,4,3,4,3,33,11,0.2
ATO,Vashon Neufville,44,d,241,0,2,1,2,5,28,12,0.18
FCE,Duran Lee,23,d,123,0,6,4,5,1,24,15,0.18
FCE,Amer Didic,55,d,241,0,4,4,9,1,16,12,0.18
FFC,Monti Mohsen,22,d,208,0,3,3,3,1,25,16,0.17
Y9,Ijah Halley,14,d,157,0,1,1,1,0,32,13,0.13
FCE,Samuel Gardner,33,d,82,0,4,3,2,3,14,7,0.12
FCE,Kareem Moses,12,d,140,0,3,1,10,1,12,5,0.11
HFX,Daniel Kinumbe,13,d,107,0,1,1,0,2,15,8,0.09
VFC,Yohan Le Bourhis,4,d,90,1,0,0,1,0,7,5,0.08
PFC,Abdoulaye Samake,5,d,89,0,2,2,2,3,7,3,0.08
VFC,Arnold Bouka Moutou,29,d,70,0,2,1,0,1,11,5,0.06
Y9,Matthew Arnone,17,d,62,0,1,1,1,2,3,2,0.05
VFC,Chakib Hocine,4,d,66,0,1,1,2,0,8,4,0.05
FFC,Jonathan Grant,2,d,78,0,0,0,5,0,10,2,0.04
VFC,Raphaël Garcia,2,d,26,0,1,0,1,1,4,2,0.03
FFC,Klaidi Cela,16,d,2,0,0,0,0,0,2,0,0.0
