team,name,number,position,minutes,goals,chances,assists,shots,s-target,passes,crosses,duels,tackles,overall
ATO,Mohamed Kourouma,9,f,527,1,4,0,13,5,201,26,61,11,0.7
ATO,Malcolm Isaiah Shaw,19,f,505,2,3,1,12,4,102,2,94,3,0.58
CFC,Nico Pasquotti,17,f,506,0,5,0,9,2,155,17,81,6,0.54
HFX,Akeem Garcia,11,f,432,3,3,0,11,7,78,1,47,4,0.53
CFC,Marcus Haber,29,f,344,2,4,0,9,6,80,9,67,1,0.5
CFC,Oliver Minatel,7,f,454,0,6,1,7,2,133,5,56,6,0.5
CFC,Jordan Brown,9,f,427,3,2,0,14,5,66,5,43,2,0.49
PFC,Alejandro Díaz Liceága,9,f,232,2,5,1,10,5,84,2,26,2,0.47
FCE,Easton Ongaro,19,f,405,2,4,0,9,2,73,6,63,2,0.44
HFX,João Morelli Neto,22,f,239,3,2,0,7,5,85,5,39,5,0.43
VFC,Mastanabal Kacher,7,f,360,1,6,0,7,1,123,10,25,1,0.39
VFC,Austin Ricci,9,f,365,0,3,0,9,5,51,5,48,6,0.39
VFC,Shaan Hundal,11,f,232,0,5,2,4,4,36,2,30,1,0.37
HFX,Alessandro Riggi,10,f,225,0,5,1,3,2,62,5,30,8,0.36
VFC,Federico Peña,77,f,327,0,2,0,3,0,87,9,38,14,0.33
FFC,Molham Babouli,19,f,245,0,3,1,3,1,69,3,47,5,0.31
FFC,Anthony Novak,23,f,255,1,1,0,6,4,63,0,37,3,0.29
FFC,Christopher Nanco,11,f,168,2,1,0,4,3,41,5,33,3,0.28
FFC,Kadell Thomas,17,f,194,0,1,0,3,1,42,7,47,11,0.26
Y9,Álvaro Rivero Sánchez,7,f,360,1,1,0,6,2,55,0,33,1,0.25
FCE,Tomi Ameobi,18,f,272,0,2,0,3,2,65,0,46,4,0.24
PFC,Terran Campbell,14,f,218,0,2,0,6,1,47,3,42,5,0.24
FCE,Marcus Velado-Tsegaye,17,f,140,1,0,0,6,2,48,3,17,2,0.19
VFC,Daryl Fordyce,16,f,162,1,0,0,6,3,39,1,17,1,0.19
FFC,Marcel Zajac,9,f,170,0,0,0,4,1,41,3,28,5,0.17
Y9,Lowell Wright,80,f,127,1,0,0,3,1,16,0,12,2,0.12
HFX,Ibrahima Sanoh,9,f,72,1,1,0,2,1,13,1,12,0,0.11
FCE,Prince Amanda,16,f,83,0,0,0,1,0,31,6,15,3,0.09
FFC,Gabriel Wiethaeuper-Balbinotti,20,f,62,0,0,0,3,0,25,0,19,0,0.06
CFC,Aribim Pepple,24,f,41,0,1,0,1,1,8,0,12,1,0.06
Y9,Gabriel Monteiro Vasconcelos,99,f,88,0,0,0,1,0,18,0,3,0,0.03
CFC,José Hernández,20,f,8,0,0,0,0,0,5,0,3,2,0.02
CFC,Jair Ayrton Córdova Carpio,19,f,15,0,1,0,0,0,3,0,4,0,0.02
Y9,Jace Kotsopoulos,12,f,28,0,0,0,0,0,7,0,4,2,0.02
ATO,Maksym Kowal,21,f,51,0,0,0,0,0,12,0,12,0,0.02
FCE,David Doe,26,f,27,0,0,0,0,0,3,0,2,0,0.0
