rank,team,form,old_rank,change,goal_bonus,w_bonus,crest,colour,previous
1,Atlético Ottawa,1-3-1,0,0,0,0,Atletico_Ottawa_nav.png,cpl-ao,0
2,Cavalry FC,3-2-0,0,0,0,0,cavalry_fc_nav.png,cpl-cfc,0
3,FC Edmonton,0-5-0,0,0,0,0,FC_Edmonton_nav.png,cpl-fce,0
4,Forge FC,4-0-1,0,0,0,0,Forge_FC_nav.png,cpl-ffc,0
5,HFX Wanderers FC,1-2-2,0,0,0,0,HFX_Wanderers_FC.png,cpl-hfx,0
6,Pacific FC,1-2-2,0,0,0,0,Pacific_FC_nav.png,cpl-pfc,0
7,Valour FC,2-2-1,0,0,0,0,Valour_FC_nav.png,cpl-vfc,0
8,York9 FC,1-1-3,0,0,0,0,York_9_FC_nav.png,cpl-y9-old,0
