index,0,1,2,3,4,5,6
Atlético Ottawa,-,-,-,-,-,-,-
Cavalry FC,-,-,-,-,-,-
FC Edmonton,-,-,-,-,-,-
Forge FC,-,-,-,-,-,-
HFX Wanderers FC,-,-,-,-,-,-
Pacific FC,-,-,-,-,-,-
Valour FC,-,-,-,-,-,-
York United FC,-,-,-,-,-,-
