team,matches,points,win,draw,loss,gd,GWG,Goal,CleanSheet,Saves,Red,Yellow,2ndYellow
Forge,11,22,6,4,1,9,6,19,5,29,0,21,0
Cavalry,10,16,5,1,4,3,5,14,3,12,0,15,1
HFX Wanderers,11,16,4,4,3,-1,4,15,2,32,1,15,0
Pacific,10,14,4,2,4,3,4,16,2,31,0,17,0
York9,7,10,2,4,1,1,2,8,2,14,0,15,0
Atlético Ottawa,7,8,2,2,3,-5,2,7,2,24,0,16,2
Valour,7,8,2,2,3,-1,2,8,2,19,1,16,0
Edmonton,7,1,0,1,6,-9,0,5,0,14,1,11,0
