team,matches,points,PPG,win,draw,loss,gd,GWG,Goal,GA,CleanSheet,Saves,Red,Yellow,2ndYellow
Forge FC,41,84,2.05,25,9,7,30,25,66,36,18,112,1,68,1
Cavalry FC,40,78,1.95,24,6,10,33,24,65,32,15,99,4,69,2
Pacific FC,38,45,1.18,12,9,17,-8,12,51,59,7,137,1,61,3
HFX Wanderers FC,39,44,1.13,10,14,15,-15,10,36,51,10,115,2,65,0
York United FC,35,44,1.26,11,11,13,3,11,47,44,8,106,0,57,1
Valour FC,35,36,1.03,10,6,19,-23,10,38,61,8,109,3,73,0
FC Edmonton,35,33,0.94,8,9,18,-15,8,32,47,8,101,3,46,0
Atlético Ottawa,7,8,1.14,2,2,3,-5,2,7,12,2,24,0,16,2
