team,finish,def,att,mid,net,big,save,goals
Atlético Ottawa,0.38,0.48,0.51,0.55,0.72,0.32,0.4,0.4
Cavalry FC,0.64,0.71,0.8,0.92,0.35,0.72,0.38,0.71
FC Edmonton,0.24,0.55,0.45,0.66,0.43,0.29,0.17,0.23
Forge FC,0.95,0.93,0.95,0.88,0.92,0.83,0.71,0.95
HFX Wanderers FC,0.66,0.95,0.71,0.88,0.95,0.64,0.62,0.52
Pacific FC,0.81,0.8,0.81,0.95,0.87,0.81,0.55,0.7
Valour FC,0.3,0.48,0.52,0.58,0.56,0.42,0.46,0.57
York9 FC,0.26,0.51,0.57,0.63,0.41,0.4,0.41,0.66
