ExpG,ExpA,Goal,BgChnc,Chance,CleanSheet,GoalCncd,BgChncFace
1.98,0.67,2,2,12,0,2,2
0.72,0.51,1,1,5,0,1,1
0.67,0.52,0,0,9,1,0,0
1.76,0.35,3,2,7,0,2,4
0.57,0.46,1,0,9,0,1,2
1.24,1.13,1,1,14,1,0,0
1.12,0.73,0,2,9,0,1,1
