team,matches,points,win,draw,loss,gd,GWG,Goal,CleanSheet,Saves,Red,Yellow,2ndYellow
Forge FC,1,3,1,0,0,2,1,2,1,2,0,2,0
HFX Wanderers FC,1,0,0,0,1,-2,0,0,0,3,0,0,0
