ExpG,ExpA,Goal,BgChnc,Chance,CleanSheet,GoalCncd,BgChncFace
1.35,1.31,2,2,3,0,2,2
0.5,0.32,0,0,6,0,4,2
0.73,0.62,2,1,8,0,2,3
0.56,0.46,2,1,4,1,0,2
0.19,0.14,0,0,4,0,2,6
1.61,1.0,1,3,6,1,0,1
0.9,0.59,0,1,6,0,2,2
