team,matches,points,PPG,win,draw,loss,gd,GWG,Goal,GA,CleanSheet,Saves,Red,Yellow,2ndYellow
Forge FC,11,22,2.0,6,4,1,9,6,19,10,5,29,0,21,0
Cavalry FC,10,16,1.6,5,1,4,3,5,14,11,3,12,0,15,1
HFX Wanderers FC,11,16,1.45,4,4,3,-1,4,15,16,2,32,1,15,0
Pacific FC,10,14,1.4,4,2,4,3,4,16,13,2,31,0,17,0
York9 FC,7,10,1.43,2,4,1,1,2,8,7,2,14,0,15,0
Atlético Ottawa,7,8,1.14,2,2,3,-5,2,7,12,2,24,0,16,2
Valour FC,7,8,1.14,2,2,3,-1,2,8,9,2,19,1,16,0
FC Edmonton,7,1,0.14,0,1,6,-9,0,5,14,0,14,1,11,0
