team,matches,points,win,draw,loss,gd,GWG,Goal,CleanSheet,Saves,Red,Yellow,2ndYellow
Forge,6,11,3,2,1,4,3,11,2,13,0,12,0
Cavalry,6,10,3,1,2,2,3,9,2,5,0,8,0
Pacific,5,8,2,2,1,2,2,8,1,15,0,11,0
Valour,5,7,2,1,2,1,2,6,2,14,0,11,0
York9,5,7,1,4,0,1,1,7,1,11,0,11,0
HFX Wanderers,5,6,1,3,1,1,1,8,0,13,1,10,0
Atlético Ottawa,5,5,1,2,2,-4,1,6,1,19,0,10,2
Edmonton,5,1,0,1,4,-7,0,4,0,10,1,8,0
