rank,team,gp,pts,tpp,ppg,w,l,d,gd,gf,ga,gfh,gah,gfa,gaa,short
1,Forge FC,3,7,9,2.33,2,0,1,3,4,1,2,0,2,1,FOR
2,HFX Wanderers FC,3,4,9,1.33,1,1,1,-4,3,7,1,6,2,1,HFX
3,Pacific FC,3,3,9,1.0,1,2,0,1,6,5,0,0,6,5,PAC
4,Cavalry FC,3,3,9,1.0,1,2,0,0,4,4,4,4,0,0,CAV
