Rank,GM,optaTeamId,team,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,season,seasonId,scatterId,scatterExtra
1,3,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),14,14,0,6,5,1,3,4,16,4,3,0,0,2,0,2,0,2,0,6,0,2,0,12,4,136,42,1056,467,411,3.76,2,1,2.77,4,3,11,7,18,58,2,0,150,28,0,0,1595,151,11,29,31,140,65.6%,62,26,125,18,12,18,11,17,13,6,0,0,0,0,0,0,6,5,1,0,7,0,0,5,4,1,0,6,3,4,1,1,0,3,0,0,1,3,6,16,28,322,538,735,33,34.4%,83.1%,474,123,281,148,344,564,0,20.6,21,54.4%,79,3.98,15,0,4,2,29,49,66.9%,102,29,9,2.13,1.63,3.76,17,5,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:6925,Canadian Premier League 2020 (Canada)
1,4,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),20,20,2,18,13,5,2,6,14,7,5,1,1,2,0,5,1,5,1,3,3,1,4,8,18,237,109,1849,831,672,3.92,7,2,2.18,4,2,6,19,25,83,12,4,213,40,0,0,2595,219,24,35,47,178,56.2%,70,39,181,19,9,25,15,20,33,8,1,0,0,0,0,2,4,4,0,1,8,0,0,3,3,0,0,8,7,1,0,5,0,0,4,0,0,8,5,20,38,631,911,1053,84,36.8%,81.3%,723,272,508,352,643,854,1,19.9,46,47.0%,100,5.22,17,1,4,3,45,64,64.1%,132,36,10,2.57,1.35,3.13,23,14,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15377,Canadian Premier League 2020 (Canada)
1,3,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),14,14,0,11,6,5,5,5,16,4,6,1,1,3,0,3,0,2,0,5,0,1,2,11,11,155,69,1097,440,433,3.36,3,0,1.58,3,1,6,18,24,44,4,1,140,17,0,0,1665,117,11,23,43,136,77.3%,55,28,141,15,9,15,16,10,27,2,1,1,0,0,0,0,3,3,0,1,7,0,1,2,5,1,0,6,5,2,1,3,0,1,1,0,0,4,4,6,23,459,550,656,68,39.0%,79.6%,435,162,276,215,360,522,0,20.6,10,60.7%,61,3.72,17,0,3,2,49,74,64.7%,106,19,11,1.70,1.66,2.57,24,5,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15382,Canadian Premier League 2020 (Canada)
1,3,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),13,13,0,9,9,0,2,4,9,5,2,3,3,0,0,4,0,1,0,2,2,0,4,1,13,211,63,1127,473,380,3.76,4,1,1.29,4,1,3,15,18,60,0,0,182,38,3,1,1696,169,16,45,31,153,61.0%,51,23,164,20,8,22,5,21,23,9,0,1,1,0,1,0,5,4,1,3,8,0,0,2,4,2,0,6,5,3,1,5,0,1,1,0,0,6,5,8,33,371,590,735,40,40.1%,75.7%,445,131,277,187,376,564,1,20.0,39,53.7%,67,3.30,17,1,4,3,27,43,56.4%,106,39,8,1.11,2.65,1.40,17,6,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15376,Canadian Premier League 2020 (Canada)
1,3,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),13,13,0,12,10,2,6,4,24,7,11,0,0,1,0,4,0,2,1,10,2,1,2,10,14,180,68,1252,490,514,4.80,4,3,3.78,5,4,10,27,37,59,2,0,154,35,1,0,1845,155,17,38,28,133,64.7%,48,25,142,14,12,24,4,12,16,5,0,2,1,0,0,0,5,5,0,0,7,0,0,6,0,0,0,7,5,2,0,1,1,4,2,0,0,7,5,16,31,524,619,702,64,37.8%,80.2%,455,216,333,261,434,557,0,21.0,30,52.4%,63,4.01,17,0,5,2,58,73,65.1%,96,27,10,2.54,2.26,4.80,34,5,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15380,Canadian Premier League 2020 (Canada)
1,3,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),15,15,1,14,9,5,5,5,12,6,3,1,1,3,0,3,1,2,1,5,1,1,2,4,16,144,63,1154,521,426,2.98,4,3,1.55,2,1,4,17,21,40,6,0,120,15,1,1,1655,135,17,25,27,111,71.2%,34,17,124,16,15,20,11,20,13,4,2,2,0,0,1,1,2,2,0,1,7,0,0,3,3,0,0,7,4,3,2,2,0,4,0,0,0,7,3,12,29,397,646,612,51,37.1%,82.1%,420,175,352,227,436,491,1,20.0,17,47.7%,44,3.12,20,1,2,1,20,32,66.8%,90,18,3,1.63,1.35,2.19,18,10,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15378,Canadian Premier League 2020 (Canada)
1,4,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),18,18,3,18,14,4,6,4,15,4,3,3,3,1,0,7,1,4,2,5,4,3,3,8,16,267,97,1925,1018,543,7.11,8,4,3.83,12,7,14,18,32,65,3,0,220,31,2,1,2612,203,27,33,30,141,69.0%,48,19,195,29,9,31,13,27,29,4,2,1,0,0,1,1,3,3,0,3,4,0,0,1,3,0,0,4,2,2,1,2,0,1,0,0,0,5,2,16,23,510,930,1172,81,35.2%,81.1%,801,181,579,238,724,963,2,20.3,27,48.1%,131,2.47,17,2,12,6,45,71,59.8%,89,36,16,3.33,3.78,4.74,28,7,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:15381,Canadian Premier League 2020 (Canada)
1,3,16614,Atlético Ottawa,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),7,7,0,9,6,3,3,3,10,6,2,0,0,4,0,4,0,4,0,2,1,1,3,8,8,173,53,1079,430,423,2.60,4,4,2.27,3,4,2,15,17,29,1,0,127,14,1,1,1570,159,13,45,30,142,66.7%,48,24,136,15,15,21,7,16,14,3,0,0,1,0,0,1,8,7,1,0,13,0,0,3,7,1,0,12,8,5,3,7,1,2,2,2,0,6,7,4,36,404,573,593,36,39.5%,79.1%,382,201,270,235,371,473,2,20.0,29,37.7%,53,6.48,18,2,3,3,32,39,61.7%,107,25,10,2.21,0.39,2.60,13,11,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:16614,Canadian Premier League 2020 (Canada)
