Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,xG,Goal,Shot,ShotExcBlk,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,season,seasonId,scatterId,scatterExtra
21,3,37pbdttxfaqvayoufo0q0dxey,453335,259,21,Left Back,Diyaeddine,Abzi,D. Abzi,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),179,82,72.0%,69.2%,2,0,0.21,0.07,0,2,2,1,50.0%,66.7%,52.0%,50.0%,16,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:37pbdttxfaqvayoufo0q0dxey,Canadian Premier League 2020 (Canada)
23,3,br7fuyg4h8gseboweg8wjujft,225054,270,22,Central Defender,Thomas,Meilleur-Giguère,T. Meilleur-Giguère,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),178,148,91.9%,100.0%,0,0,0.02,0.42,0,3,2,2,66.7%,33.3%,33.3%,37.5%,16,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:br7fuyg4h8gseboweg8wjujft,Canadian Premier League 2020 (Canada)
23,3,653qyopyxl1qrfmul2n3m5g16,481743,270,26,Right Back,Morey,Doner,M. Doner,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),178,98,82.7%,91.2%,2,0,0.15,0.00,0,0,0,0,-,50.0%,53.8%,66.7%,12,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:653qyopyxl1qrfmul2n3m5g16,Canadian Premier League 2020 (Canada)
25,4,7fcj29th1uv9jkhdh67tygeay,481562,314,24,Right Winger,Nico,Pasquotti,N. Pasquotti,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),177,93,79.6%,80.0%,1,0,0.10,0.76,0,6,3,2,33.3%,66.7%,51.0%,53.8%,16,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7fcj29th1uv9jkhdh67tygeay,Canadian Premier League 2020 (Canada)
26,3,1yufrkhruoxnyg54sxgduilt5,423654,257,24,Right Wing Back,Jeannot,Esua,J. Esua,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),175,101,82.2%,93.8%,1,0,0.03,0.00,0,0,0,0,-,66.7%,53.6%,66.7%,19,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:1yufrkhruoxnyg54sxgduilt5,Canadian Premier League 2020 (Canada)
27,3,9bu481g5htyonfco9whsamve2,483062,270,30,Right Attacking Midfielder,Mohamed,Kourouma,M. Kourouma,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),172,120,78.3%,86.4%,2,0,0.28,1.10,1,11,8,4,36.4%,22.2%,37.5%,0.0%,17,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:9bu481g5htyonfco9whsamve2,Canadian Premier League 2020 (Canada)
28,3,57sscey83fcglkmcrtpp28k5,90727,270,31,Left Centre Back,Ramon,Soria,Soria,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),171,139,85.6%,100.0%,1,0,0.03,0.06,0,1,0,0,0.0%,42.9%,60.0%,63.6%,12,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:57sscey83fcglkmcrtpp28k5,Canadian Premier League 2020 (Canada)
29,3,13wkddshf1c9zrygeg7r3s6w9,421818,270,19,Right Centre Back,Julian,Dunn-Johnson,J. Dunn-Johnson,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),170,136,85.3%,0.0%,0,0,0.01,0.00,0,0,0,0,-,25.0%,57.1%,60.0%,14,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:13wkddshf1c9zrygeg7r3s6w9,Canadian Premier League 2020 (Canada)
30,4,cdaayu6d9xzn4gyn5jg5p6vl6,481567,360,26,Goalkeeper,Triston,Henry,T. Henry,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),164,123,84.6%,-,0,0,0.00,0.00,0,0,0,0,-,-,100.0%,100.0%,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:cdaayu6d9xzn4gyn5jg5p6vl6,Canadian Premier League 2020 (Canada)
31,3,16q3kpp7uxqjn9993xd5woauh,213571,198,23,Central Midfielder,Diego,Gutiérrez,D. Gutiérrez,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),161,127,85.0%,72.2%,2,0,0.80,0.06,0,2,1,0,0.0%,57.1%,54.5%,75.0%,10,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:16q3kpp7uxqjn9993xd5woauh,Canadian Premier League 2020 (Canada)
31,3,etxxyk4izi97gchj7fo58ogd1,110665,270,28,Left Centre Back,Andrew,Jean-Baptiste,A. Jean-Baptiste,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),161,130,80.8%,100.0%,0,0,0.02,0.09,1,1,1,1,100.0%,100.0%,44.4%,50.0%,5,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:etxxyk4izi97gchj7fo58ogd1,Canadian Premier League 2020 (Canada)
33,3,c5afaf96xtx4341sic680d711,94705,233,29,Right Back,Stefan,Cebara,S. Cebara,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),157,109,84.4%,89.7%,2,0,0.25,0.07,0,1,1,1,100.0%,50.0%,55.6%,100.0%,10,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:c5afaf96xtx4341sic680d711,Canadian Premier League 2020 (Canada)
34,3,7v7c25arh4yqd7tz8demrxa6t,231573,229,27,Left Back,Brett,Levis,B. Levis,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),154,101,82.2%,91.7%,2,1,0.14,0.04,0,1,1,1,100.0%,42.9%,46.2%,50.0%,14,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7v7c25arh4yqd7tz8demrxa6t,Canadian Premier League 2020 (Canada)
35,3,7yfwpe3tltsxez80puqy7hoet,95575,270,28,Central Midfielder,Joseph,Di Chiara,J. Di Chiara,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),152,101,79.2%,77.8%,3,0,0.25,1.04,1,6,3,2,33.3%,40.0%,37.5%,0.0%,24,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7yfwpe3tltsxez80puqy7hoet,Canadian Premier League 2020 (Canada)
36,3,6mmfo5q4m9zdbpl1cgqv5muhh,164958,258,26,Centre Forward,Keven Steven,Alemán Bustos,K. Alemán,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),151,86,77.9%,85.2%,4,0,0.30,0.75,1,6,4,1,16.7%,44.4%,52.3%,28.6%,14,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:6mmfo5q4m9zdbpl1cgqv5muhh,Canadian Premier League 2020 (Canada)
36,3,4tus0wc9k482jmoncnstteelm,481577,225,25,Defensive Midfielder,Raphael,Ohin,R. Ohin,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),151,121,91.7%,76.9%,2,0,0.08,0.13,0,4,1,0,0.0%,40.0%,71.4%,50.0%,16,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:4tus0wc9k482jmoncnstteelm,Canadian Premier League 2020 (Canada)
38,3,8uqytik44ro3mbkz0s8m163xm,481762,270,25,Central Midfielder,Andre,Rampersad,A. Rampersad,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),146,100,85.0%,90.5%,5,0,0.23,0.00,0,0,0,0,-,33.3%,63.9%,50.0%,22,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:8uqytik44ro3mbkz0s8m163xm,Canadian Premier League 2020 (Canada)
39,3,ckozved8umsj42boq3tte1byt,39226,168,33,Left Attacking Midfielder,Marcel,de Jong,M. de Jong,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),145,85,72.9%,93.8%,5,0,0.27,0.18,0,5,4,1,20.0%,66.7%,50.0%,50.0%,13,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:ckozved8umsj42boq3tte1byt,Canadian Premier League 2020 (Canada)
39,4,3176i3h6iv1ufsp88prhhmjqi,209693,171,22,Central Midfielder,Elliot,Simmons,E. Simmons,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),145,128,85.9%,83.3%,1,0,0.92,0.00,0,0,0,0,-,11.1%,37.5%,33.3%,13,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:3176i3h6iv1ufsp88prhhmjqi,Canadian Premier League 2020 (Canada)
41,2,bxbh5i1uqhe22e2cft5x6fl2i,425644,180,21,Right Back,Chrisnovic,N'Sa,C. N'Sa,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),144,74,71.6%,84.0%,1,0,0.08,0.05,0,1,0,0,0.0%,70.0%,55.6%,40.0%,7,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:bxbh5i1uqhe22e2cft5x6fl2i,Canadian Premier League 2020 (Canada)
42,3,334ys3md0ycavngg26g75yi21,244406,245,22,Central Midfielder,Matthew,Baldisimo,M. Baldisimo,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),143,113,74.3%,83.3%,1,0,0.06,0.07,0,2,2,1,50.0%,41.7%,45.2%,0.0%,15,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:334ys3md0ycavngg26g75yi21,Canadian Premier League 2020 (Canada)
43,3,6re5keaha87h6kc01848h53ah,243956,187,26,Left Midfielder,Victor,Blasco,Victor Blasco,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),141,81,72.8%,65.7%,5,1,0.84,0.51,0,6,4,0,0.0%,25.0%,50.0%,50.0%,10,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:6re5keaha87h6kc01848h53ah,Canadian Premier League 2020 (Canada)
44,3,7t6lyj5pvvgzfscj775acuqc5,173165,238,24,Centre Forward,Marco,Bustos,M. Bustos,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),139,89,88.8%,88.6%,2,1,0.18,0.98,1,8,5,2,25.0%,50.0%,55.6%,66.7%,9,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7t6lyj5pvvgzfscj775acuqc5,Canadian Premier League 2020 (Canada)
44,3,1i7a6katii8fnxncnyun4nyzt,243856,270,25,Left Centre Back,Jems,Geffrard,J. Geffrard,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),139,113,85.0%,-,0,0,0.01,0.10,0,2,2,1,50.0%,66.7%,81.8%,75.0%,10,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:1i7a6katii8fnxncnyun4nyzt,Canadian Premier League 2020 (Canada)
46,2,7ta110w4agnmtkjsfpgilj2wa,481559,180,31,Central Defender,Jonathan,Wheeldon,J. Wheeldon,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),135,115,82.6%,100.0%,0,0,0.01,0.02,0,1,1,0,0.0%,0.0%,50.0%,55.6%,11,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7ta110w4agnmtkjsfpgilj2wa,Canadian Premier League 2020 (Canada)
47,3,dlkpavxvjx1hy57k8sbk21lg5,88457,270,33,Goalkeeper,Ignacio,Zabal Almazán,Nacho Zabal,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),134,101,60.4%,-,0,0,0.01,0.00,0,0,0,0,-,-,100.0%,100.0%,4,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:dlkpavxvjx1hy57k8sbk21lg5,Canadian Premier League 2020 (Canada)
48,3,csicvwhik2guponydus9zt0x5,223629,225,23,Central Midfielder,Erik,Zetterberg,E. Zetterberg,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),132,95,78.9%,75.0%,5,0,0.36,0.12,0,3,2,0,0.0%,50.0%,37.5%,0.0%,13,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:csicvwhik2guponydus9zt0x5,Canadian Premier League 2020 (Canada)
