Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,week,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,xG,Goal,Shot,ShotExcBlk,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
12,1,1mcgu1zocg8bwfrncptuvfm51,90443,90,34,Central Defender,Mason,Trafford,M. Trafford,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,85,72,90.3%,-,1,0,0.00,0.05,0,1,1,0,0.0%,50.0%,80.0%,50.0%,5,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,1mcgu1zocg8bwfrncptuvfm51:2126240,EDM vs CAV (2020-08-21)
12,1,7whdjeubz6xgvlxtl91z93idx,173167,90,24,Left Centre Back,Jordan,Haynes,J. Haynes,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,85,59,81.4%,85.7%,1,0,0.03,0.00,0,0,0,0,-,33.3%,53.8%,50.0%,6,HFX vs PAC,2020-08-15,7t269w4kohpnnx91dmg5bwis4,15376,7whdjeubz6xgvlxtl91z93idx:2126221,HFX vs PAC (2020-08-15)
14,1,4c5w90f125c6det9gu0ljmgnp,481754,90,24,Right Centre Back,Peter,Schaale,P. Schaale,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,84,65,76.9%,-,1,0,0.01,0.00,0,0,0,0,-,0.0%,58.3%,66.7%,4,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15381,4c5w90f125c6det9gu0ljmgnp:2126244,CAV vs HFX (2020-08-24)
14,1,9rwo2uejpeqqkmy6lgacm0ley,481367,90,25,Right Centre Back,Lukas,MacNaughton,L. MacNaughton,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,84,78,83.3%,33.3%,0,0,0.01,0.00,0,0,0,0,-,100.0%,66.7%,71.4%,8,HFX vs PAC,2020-08-15,7t269w4kohpnnx91dmg5bwis4,15376,9rwo2uejpeqqkmy6lgacm0ley:2126221,HFX vs PAC (2020-08-15)
14,1,cfx0kdkw50a9417og40fqqled,160292,90,28,Right Centre Back,Roger,Thompson,R. Thompson,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,84,65,81.5%,0.0%,0,0,0.02,0.05,0,1,1,0,0.0%,0.0%,57.1%,66.7%,6,PAC vs Y9,2020-08-19,7tas4i6lxq9imfed8t0627m6s,15380,cfx0kdkw50a9417og40fqqled:2126232,PAC vs Y9 (2020-08-19)
17,1,57sscey83fcglkmcrtpp28k5,90727,90,31,Left Centre Back,Ramon,Soria,Soria,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,83,70,87.1%,100.0%,0,0,0.01,0.06,0,1,0,0,0.0%,100.0%,71.4%,33.3%,5,ATO vs EDM,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,16614,57sscey83fcglkmcrtpp28k5:2126243,ATO vs EDM (2020-08-23)
18,1,2zedqkn15thv6wx5xmgv48gd1,140123,90,29,Central Midfielder,Kyle,Bekker,K. Bekker,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,81,61,80.3%,72.0%,2,0,0.06,0.10,0,2,1,0,0.0%,0.0%,42.9%,-,3,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,6925,2zedqkn15thv6wx5xmgv48gd1:2126225,FOR vs EDM (2020-08-16)
18,1,334ys3md0ycavngg26g75yi21,244406,90,22,Central Midfielder,Matthew,Baldisimo,M. Baldisimo,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,81,64,73.4%,100.0%,1,0,0.02,0.02,0,1,1,1,100.0%,33.3%,50.0%,-,6,HFX vs PAC,2020-08-15,7t269w4kohpnnx91dmg5bwis4,15376,334ys3md0ycavngg26g75yi21:2126221,HFX vs PAC (2020-08-15)
20,1,ckozved8umsj42boq3tte1byt,39226,90,33,Left Back,Marcel,de Jong,M. de Jong,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,78,48,68.8%,88.9%,3,0,0.07,0.11,0,3,2,0,0.0%,100.0%,100.0%,100.0%,6,FOR vs PAC,2020-08-22,7to1ns52wkgk9irtdbwzdn2ms,15377,ckozved8umsj42boq3tte1byt:2126242,FOR vs PAC (2020-08-22)
20,1,3wyn5e0uz5jfilp065m3qynoq,501450,90,24,Central Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,78,62,88.7%,66.7%,0,0,0.02,0.00,0,0,0,0,-,100.0%,54.5%,100.0%,10,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15381,3wyn5e0uz5jfilp065m3qynoq:2126244,CAV vs HFX (2020-08-24)
