game,w,s,d,m,hs,as,home,hr,w,d,l,away,ar,w,d,l,csh,csa,combined,venue,links
I11,4,1,12,5,0,0,FC Edmonton,D,0,1,0,Pacific FC,D,0,1,0,1,1,5-12-2019 FC Edmonton D 0-0 D Pacific FC,Clarke Stadium,https://canpl.ca/matchcentre/4nd4fza6mmhp87jrctliuzz3e/highlights
I12,4,1,16,5,0,2,Valour FC,L,0,0,1,Forge FC,W,1,0,0,0,1,5-16-2019 Valour FC L 0-2 W Forge FC,IG Field,https://canpl.ca/matchcentre/4ntsd8m3ui3jxf14iv0ah2f6y/highlights
I13,4,1,18,5,2,2,Pacific FC,D,0,1,0,York9 FC,D,0,1,0,0,0,5-18-2019 Pacific FC D 2-2 D York9 FC,Westhills Stadium,https://canpl.ca/matchcentre/4o4p0koos9zpm6n7zu3b8p0fe/highlights
I14,5,1,18,5,1,0,Cavalry FC,W,1,0,0,FC Edmonton,L,0,0,1,1,0,5-18-2019 Cavalry FC W 1-0 L FC Edmonton,ATCO Field,https://canpl.ca/matchcentre/4olbjfy802p7g4xn3im4auooa/highlights
I15,5,1,25,5,0,2,York9 FC,L,0,0,1,Forge FC,W,1,0,0,0,1,5-25-2019 York9 FC L 0-2 W Forge FC,York Lions Stadium,https://canpl.ca/matchcentre/4p3yxc6c1bq7vi5foh0praaga/highlights
I16,6,1,25,5,2,0,Cavalry FC,W,1,0,0,HFX Wanderers FC,L,0,0,1,1,0,5-25-2019 Cavalry FC W 2-0 L HFX Wanderers FC,ATCO Field,https://canpl.ca/matchcentre/4plypjjzuotlfysr9ym3f8woa/highlights
I17,6,1,29,5,1,1,HFX Wanderers FC,D,0,1,0,York9 FC,D,0,1,0,0,0,5-29-2019 HFX Wanderers FC D 1-1 D York9 FC,Wanderers Grounds,https://canpl.ca/matchcentre/4qj49w97y7akocf4ixxx38r56/highlights
I18,6,1,29,5,2,0,Forge FC,W,1,0,0,FC Edmonton,L,0,0,1,1,0,5-29-2019 Forge FC W 2-0 L FC Edmonton,Tim Hortons Field,https://canpl.ca/matchcentre/4qwuoebydeda6hc2t7c8ky8a2/highlights
I19,6,1,1,6,2,1,HFX Wanderers FC,W,1,0,0,Pacific FC,L,0,0,1,0,0,6-1-2019 HFX Wanderers FC W 2-1 L Pacific FC,Wanderers Grounds,https://canpl.ca/matchcentre/4r43ebcbfop9iq513hqre6gdm/highlights
I20,6,1,2,6,0,1,FC Edmonton,L,0,0,1,Valour FC,W,1,0,0,0,1,6-2-2019 FC Edmonton L 0-1 W Valour FC,Clarke Stadium,https://canpl.ca/matchcentre/4rnwigdpceglolacgssquoaqy/highlights
I21,7,1,15,6,1,0,York9 FC,W,1,0,0,Pacific FC,L,0,0,1,1,0,6-15-2019 York9 FC W 1-0 L Pacific FC,York Lions Stadium,https://canpl.ca/matchcentre/4s2bhlyuzkp953p3w0mdoqdey/highlights
I22,7,1,15,6,0,3,FC Edmonton,L,0,0,1,Cavalry FC,W,1,0,0,0,1,6-15-2019 FC Edmonton L 0-3 W Cavalry FC,Clarke Stadium,https://canpl.ca/matchcentre/4so3z44cz30hfid178rwth27e/highlights
I23,7,1,15,6,2,1,Forge FC,W,1,0,0,Valour FC,L,0,0,1,0,0,6-15-2019 Forge FC W 2-1 L Valour FC,Tim Hortons Field,https://canpl.ca/matchcentre/4t5rc4kgrbfy8qpv5lrlignsa/highlights
I24,7,1,19,6,1,2,HFX Wanderers FC,L,0,0,1,Cavalry FC,W,1,0,0,0,0,6-19-2019 HFX Wanderers FC L 1-2 W Cavalry FC,Wanderers Grounds,https://canpl.ca/matchcentre/4tfd4it6sv7n7x6cvlq4xoewa/highlights
I25,7,1,19,6,0,0,York9 FC,D,0,1,0,FC Edmonton,D,0,1,0,1,1,6-19-2019 York9 FC D 0-0 D FC Edmonton,York Lions Stadium,https://canpl.ca/matchcentre/4u47motvg0trb2dkt4bpnbsyy/highlights
I26,8,1,20,6,1,2,Valour FC,L,0,0,1,Pacific FC,W,1,0,0,0,0,6-20-2019 Valour FC L 1-2 W Pacific FC,IG Field,https://canpl.ca/matchcentre/4utuyg569u044xn8dje4lbhii/highlights
I27,8,1,22,6,0,0,York9 FC,D,0,1,0,HFX Wanderers FC,D,0,1,0,1,1,6-22-2019 York9 FC D 0-0 D HFX Wanderers FC,York Lions Stadium,https://canpl.ca/matchcentre/4v7kvm443j8j9oc0k0kr5fa7e/highlights
I28,8,1,22,6,0,1,Cavalry FC,L,0,0,1,Forge FC,W,1,0,0,0,1,6-22-2019 Cavalry FC L 0-1 W Forge FC,ATCO Field,https://canpl.ca/matchcentre/4vss0kvhfu78tzig6ibaksnl6/highlights
I29,8,1,23,6,1,3,Pacific FC,L,0,0,1,FC Edmonton,W,1,0,0,0,0,6-23-2019 Pacific FC L 1-3 W FC Edmonton,Westhills Stadium,https://canpl.ca/matchcentre/4wd6d6al3htq8jwxk4z9b2e0a/highlights
I30,8,1,26,6,2,0,HFX Wanderers FC,W,1,0,0,Valour FC,L,0,0,1,1,0,6-26-2019 HFX Wanderers FC W 2-0 L Valour FC,Wanderers Grounds,https://canpl.ca/matchcentre/4wnipio218ipvoim5zm3ozq0a/highlights
I31,8,1,26,6,0,2,York9 FC,L,0,0,1,Cavalry FC,W,1,0,0,0,1,6-26-2019 York9 FC L 0-2 W Cavalry FC,York Lions Stadium,https://canpl.ca/matchcentre/4x5d9c3op0jd4zd5tk7w0lylm/highlights
I32,8,1,26,6,1,0,FC Edmonton,W,1,0,0,Forge FC,L,0,0,1,1,0,6-26-2019 FC Edmonton W 1-0 L Forge FC,Clarke Stadium,https://canpl.ca/matchcentre/4xcxod07s7mr6wtsej0ymo60a/highlights
I33,9,1,1,7,1,3,Valour FC,L,0,0,1,York9 FC,W,1,0,0,0,0,7-1-2019 Valour FC L 1-3 W York9 FC,IG Field,https://canpl.ca/matchcentre/4ygmge1gwxxwqy6493t10br6y/highlights
I34,9,1,1,7,2,0,FC Edmonton,W,1,0,0,HFX Wanderers FC,L,0,0,1,1,0,7-1-2019 FC Edmonton W 2-0 L HFX Wanderers FC,Clarke Stadium,https://canpl.ca/matchcentre/4xl9k0k5zmput7d3mb348balm/highlights
I35,9,1,1,7,3,1,Pacific FC,W,1,0,0,Cavalry FC,L,0,0,1,0,0,7-1-2019 Pacific FC W 3-1 L Cavalry FC,Westhills Stadium,https://canpl.ca/matchcentre/4y80wf71m0f30yb3hu1lw0lt6/highlights
I36,9,2,6,7,1,2,Forge FC,L,0,0,1,FC Edmonton,W,1,0,0,0,0,7-6-2019 Forge FC L 1-2 W FC Edmonton,Tim Hortons Field,https://canpl.ca/matchcentre/4ypbcugzi0b9jaqs2xkhvvv56/highlights
I37,9,2,6,7,1,0,HFX Wanderers FC,W,1,0,0,York9 FC,L,0,0,1,1,0,7-6-2019 HFX Wanderers FC W 1-0 L York9 FC,Wanderers Grounds,https://canpl.ca/matchcentre/4yz3ra9ne1a5j97bpncakl6y2/highlights
I38,9,2,6,7,2,3,Pacific FC,L,0,0,1,Cavalry FC,W,1,0,0,0,0,7-6-2019 Pacific FC L 2-3 W Cavalry FC,Westhills Stadium,https://canpl.ca/matchcentre/4z7uwbvrigyaaxjbfvbl02d0q/highlights
I39,10,2,13,7,0,1,HFX Wanderers FC,L,0,0,1,Cavalry FC,W,1,0,0,0,1,7-13-2019 HFX Wanderers FC L 0-1 W Cavalry FC,Wanderers Grounds,https://canpl.ca/matchcentre/4znhj76oh9yauo4ph40jfqn3e/highlights
I40,10,2,13,7,2,3,Pacific FC,L,0,0,1,Forge FC,W,1,0,0,0,0,7-13-2019 Pacific FC L 2-3 W Forge FC,Westhills Stadium,https://canpl.ca/matchcentre/504ga8r445cguj22b456s9k6i/highlights
I41,10,2,14,7,2,1,York9 FC,W,1,0,0,FC Edmonton,L,0,0,1,0,0,7-14-2019 York9 FC W 2-1 L FC Edmonton,York Lions Stadium,https://canpl.ca/matchcentre/50csrm3c5dwo6x2beuh3pu0dm/highlights
I42,11,2,17,7,2,0,Forge FC,W,1,0,0,HFX Wanderers FC,L,0,0,1,1,0,7-17-2019 Forge FC W 2-0 L HFX Wanderers FC,Tim Hortons Field,https://canpl.ca/matchcentre/50lvb1tu0w2o89aadta8zhn56/highlights
I43,11,2,17,7,2,1,York9 FC,W,1,0,0,Pacific FC,L,0,0,1,0,0,7-17-2019 York9 FC W 2-1 L Pacific FC,York Lions Stadium,https://canpl.ca/matchcentre/51pa1nt9iwnwq8tabekwbu2cq/highlights
I44,11,2,17,7,0,0,FC Edmonton,D,0,1,0,Valour FC,D,0,1,0,1,1,7-17-2019 FC Edmonton D 0-0 D Valour FC,Clarke Stadium,https://canpl.ca/matchcentre/525ziqvbqa53quwa6mielukx6/highlights
I45,11,2,20,7,3,1,Forge FC,W,1,0,0,Valour FC,L,0,0,1,0,0,7-20-2019 Forge FC W 3-1 L Valour FC,Tim Hortons Field,https://canpl.ca/matchcentre/52d0pvo9gg6dznd76vvhc68ve/highlights
I46,11,2,20,7,3,1,Pacific FC,W,1,0,0,HFX Wanderers FC,L,0,0,1,0,0,7-20-2019 Pacific FC W 3-1 L HFX Wanderers FC,Westhills Stadium,https://canpl.ca/matchcentre/52jsbc4wgu4ddcx6sah2u40oa/highlights
I47,11,2,21,7,1,0,Cavalry FC,W,1,0,0,York9 FC,L,0,0,1,1,0,7-21-2019 Cavalry FC W 1-0 L York9 FC,ATCO Field,https://canpl.ca/matchcentre/52so1blu4db5n9tx8m6lq2noq/highlights
I48,12,2,27,7,1,1,Valour FC,D,0,1,0,Cavalry FC,D,0,1,0,0,0,7-27-2019 Valour FC D 1-1 D Cavalry FC,IG Field,https://canpl.ca/matchcentre/530lm3c4uulydfwbm4xgjk3my/highlights
I49,12,2,27,7,6,2,York9 FC,W,1,0,0,HFX Wanderers FC,L,0,0,1,0,0,7-27-2019 York9 FC W 6-2 L HFX Wanderers FC,York Lions Stadium,https://canpl.ca/matchcentre/53zb6pb4vgyd6ei4nyntxr42y/highlights
I50,12,2,27,7,1,1,FC Edmonton,D,0,1,0,Forge FC,D,0,1,0,0,0,7-27-2019 FC Edmonton D 1-1 D Forge FC,Clarke Stadium,https://canpl.ca/matchcentre/53g0lnf436lqjdeojawdin2i2/highlights
I51,13,2,31,7,2,2,Valour FC,D,0,1,0,Pacific FC,D,0,1,0,0,0,7-31-2019 Valour FC D 2-2 D Pacific FC,IG Field,https://canpl.ca/matchcentre/54mahj8dskbuvxhxkg9wqcv3e/highlights
I52,13,2,31,7,2,0,FC Edmonton,W,1,0,0,HFX Wanderers FC,L,0,0,1,1,0,7-31-2019 FC Edmonton W 2-0 L HFX Wanderers FC,Clarke Stadium,https://canpl.ca/matchcentre/54z41r8o8eup2jsrcdonvopka/highlights
I53,14,2,5,8,1,0,HFX Wanderers FC,W,1,0,0,Valour FC,L,0,0,1,1,0,8-5-2019 HFX Wanderers FC W 1-0 L Valour FC,Wanderers Grounds,https://canpl.ca/matchcentre/55d85hhlkc9owz467arxm66wa/highlights
I54,14,2,10,8,0,0,HFX Wanderers FC,D,0,1,0,Cavalry FC,D,0,1,0,1,1,8-10-2019 HFX Wanderers FC D 0-0 D Cavalry FC,Wanderers Grounds,https://canpl.ca/matchcentre/56cafkdiwsx3musxydvg9ydm2/highlights
I55,14,2,10,8,0,2,York9 FC,L,0,0,1,Valour FC,W,1,0,0,0,1,8-10-2019 York9 FC L 0-2 W Valour FC,York Lions Stadium,https://canpl.ca/matchcentre/55ug6j26bfssigo14xk3zl9ii/highlights
I56,14,2,10,8,3,1,FC Edmonton,W,1,0,0,Pacific FC,L,0,0,1,0,0,8-10-2019 FC Edmonton W 3-1 L Pacific FC,Clarke Stadium,https://canpl.ca/matchcentre/56rc1pqth0zz4z61i5tjx282y/highlights
I57,15,2,16,8,0,0,Cavalry FC,D,0,1,0,FC Edmonton,D,0,1,0,1,1,8-16-2019 Cavalry FC D 0-0 D FC Edmonton,ATCO Field,https://canpl.ca/matchcentre/56zs7u4qj42915nt1cp8grucq/highlights
I58,15,2,17,8,0,2,York9 FC,L,0,0,1,Pacific FC,W,1,0,0,0,1,8-17-2019 York9 FC L 0-2 W Pacific FC,York Lions Stadium,https://canpl.ca/matchcentre/57b8spz8wxhzbj03rcqu6cktm/highlights
I59,15,2,17,8,1,3,Valour FC,L,0,0,1,Forge FC,W,1,0,0,0,0,8-17-2019 Valour FC L 1-3 W Forge FC,IG Field,https://canpl.ca/matchcentre/57rql8kxq24o9lgw5g5zs7cdm/highlights
I60,16,2,19,8,3,1,Valour FC,W,1,0,0,FC Edmonton,L,0,0,1,0,0,8-19-2019 Valour FC W 3-1 L FC Edmonton,IG Field,https://canpl.ca/matchcentre/592lweqfjtzxi567zh14vv6ne/highlights
I61,16,2,21,8,3,1,Cavalry FC,W,1,0,0,York9 FC,L,0,0,1,0,0,8-21-2019 Cavalry FC W 3-1 L York9 FC,ATCO Field,https://canpl.ca/matchcentre/58o6zzicprr1k9tfa96qsyo2y/highlights
I62,16,2,24,8,2,1,Pacific FC,W,1,0,0,Valour FC,L,0,0,1,0,0,8-24-2019 Pacific FC W 2-1 L Valour FC,Westhills Stadium,https://canpl.ca/matchcentre/59rvi4n7b87w3y0wrthvblqwa/highlights
I63,16,2,25,8,1,0,Forge FC,W,1,0,0,Cavalry FC,L,0,0,1,1,0,8-25-2019 Forge FC W 1-0 L Cavalry FC,Tim Hortons Field,https://canpl.ca/matchcentre/5a9bdy2gwxymhiu0vyvisb88a/highlights
I64,16,2,25,8,2,2,FC Edmonton,D,0,1,0,York9 FC,D,0,1,0,0,0,8-25-2019 FC Edmonton D 2-2 D York9 FC,Clarke Stadium,https://canpl.ca/matchcentre/5aoowrl9kk9cw97nk27elvjoq/highlights
I65,17,2,28,8,2,0,Valour FC,W,1,0,0,HFX Wanderers FC,L,0,0,1,1,0,8-28-2019 Valour FC W 2-0 L HFX Wanderers FC,IG Field,https://canpl.ca/matchcentre/5baupxq5dl73qe6ul59gyjucq/highlights
I66,17,2,28,8,1,1,Cavalry FC,D,0,1,0,Pacific FC,D,0,1,0,0,0,8-28-2019 Cavalry FC D 1-1 D Pacific FC,ATCO Field,https://canpl.ca/matchcentre/5biy9aa4r6bw4jex62d7bi25m/highlights
I67,18,2,2,9,0,0,HFX Wanderers FC,D,0,1,0,FC Edmonton,D,0,1,0,1,1,9-2-2019 HFX Wanderers FC D 0-0 D FC Edmonton,Wanderers Grounds,https://canpl.ca/matchcentre/5bq4jk75i9rlsdkao5607vo16/highlights
I68,18,2,2,9,0,8,Valour FC,L,0,0,1,Cavalry FC,W,1,0,0,0,1,9-2-2019 Valour FC L 0-8 W Cavalry FC,IG Field,https://canpl.ca/matchcentre/5c8rrlegmweliih2y599gcjmy/highlights
I69,18,2,4,9,1,1,Pacific FC,D,0,1,0,Forge FC,D,0,1,0,0,0,9-4-2019 Pacific FC D 1-1 D Forge FC,Westhills Stadium,https://canpl.ca/matchcentre/5csq6qhbz3695no5qnz9f91ey/highlights
I70,18,2,8,9,2,1,Forge FC,W,1,0,0,York9 FC,L,0,0,1,0,0,9-8-2019 Forge FC W 2-1 L York9 FC,Tim Hortons Field,https://canpl.ca/matchcentre/556jgo29fuov3dnc9aab1kqy2/highlights
I71,19,2,11,9,0,1,FC Edmonton,L,0,0,1,Cavalry FC,W,1,0,0,0,1,9-11-2019 FC Edmonton L 0-1 W Cavalry FC,Clarke Stadium,https://canpl.ca/matchcentre/5d39lhqhi4m6uwfvxw1ghdfu2/highlights
I72,19,2,11,9,0,2,Pacific FC,L,0,0,1,York9 FC,W,1,0,0,0,1,9-11-2019 Pacific FC L 0-2 W York9 FC,Westhills Stadium,https://canpl.ca/matchcentre/5d9hwavq8j3gubsel8yg8797u/highlights
I73,19,2,12,9,1,3,Valour FC,L,0,0,1,Forge FC,W,1,0,0,0,0,9-12-2019 Valour FC L 1-3 W Forge FC,IG Field,https://canpl.ca/matchcentre/5dgq85s1yv24xf4gel3wk02ui/highlights
I74,19,2,14,9,1,0,Pacific FC,W,1,0,0,FC Edmonton,L,0,0,1,1,0,9-14-2019 Pacific FC W 1-0 L FC Edmonton,Westhills Stadium,https://canpl.ca/matchcentre/5dn16vvqaa96vbba40es3uq22/highlights
I75,19,2,15,9,2,2,Forge FC,D,0,1,0,HFX Wanderers FC,D,0,1,0,0,0,9-15-2019 Forge FC D 2-2 D HFX Wanderers FC,Tim Hortons Field,https://canpl.ca/matchcentre/5dzgbpowfq3bfc0jp50nxi0yy/highlights
I76,19,2,15,9,2,4,York9 FC,L,0,0,1,Valour FC,W,1,0,0,0,0,9-15-2019 York9 FC L 2-4 W Valour FC,York Lions Stadium,https://canpl.ca/matchcentre/5e6552cfhize1wrtn1985u6p6/highlights
I77,20,2,18,9,1,1,HFX Wanderers FC,D,0,1,0,Forge FC,D,0,1,0,0,0,9-18-2019 HFX Wanderers FC D 1-1 D Forge FC,Wanderers Grounds,https://canpl.ca/matchcentre/584qg6tkjgokrqfqet8v0uulm/highlights
I78,20,2,21,9,0,0,HFX Wanderers FC,D,0,1,0,Valour FC,D,0,1,0,1,1,9-21-2019 HFX Wanderers FC D 0-0 D Valour FC,Wanderers Grounds,https://canpl.ca/matchcentre/5enhkotsmczkzt7pdnznb6zxm/highlights
I79,20,2,21,9,1,3,FC Edmonton,L,0,0,1,York9 FC,W,1,0,0,0,0,9-21-2019 FC Edmonton L 1-3 W York9 FC,Clarke Stadium,https://canpl.ca/matchcentre/5f1r9xf57ykmnmfv1i1oqtw8a/highlights
I80,20,2,22,9,4,1,Cavalry FC,W,1,0,0,Pacific FC,L,0,0,1,0,0,9-22-2019 Cavalry FC W 4-1 L Pacific FC,ATCO Field,https://canpl.ca/matchcentre/5frccedgczakga77kz816gq5m/highlights
I81,21,2,28,9,1,1,HFX Wanderers FC,D,0,1,0,FC Edmonton,D,0,1,0,0,0,9-28-2019 HFX Wanderers FC D 1-1 D FC Edmonton,Wanderers Grounds,https://canpl.ca/matchcentre/5gk087h2bwqn6u7ux5gmezpm2/highlights
I82,21,2,28,9,3,0,Forge FC,W,1,0,0,Pacific FC,L,0,0,1,1,0,9-28-2019 Forge FC W 3-0 L Pacific FC,Tim Hortons Field,https://canpl.ca/matchcentre/5h1oq9agzghyfb9760q0xsd4a/highlights
I83,21,2,28,9,1,1,York9 FC,D,0,1,0,Cavalry FC,D,0,1,0,0,0,9-28-2019 York9 FC D 1-1 D Cavalry FC,York Lions Stadium,https://canpl.ca/matchcentre/5hmjvfnz6s1yxo8yewvda00ve/highlights
I84,22,2,2,10,4,1,Cavalry FC,W,1,0,0,Valour FC,L,0,0,1,0,0,10-2-2019 Cavalry FC W 4-1 L Valour FC,ATCO Field,https://canpl.ca/matchcentre/5idvsd95cy7kruwzuxt7aghgq/highlights
I85,22,2,2,10,0,1,FC Edmonton,L,0,0,1,Forge FC,W,1,0,0,0,1,10-2-2019 FC Edmonton L 0-1 W Forge FC,Clarke Stadium,https://canpl.ca/matchcentre/5ja0uunrontjjnbpxtcjqmjje/highlights
I86,22,2,2,10,1,1,Pacific FC,D,0,1,0,HFX Wanderers FC,D,0,1,0,0,0,10-2-2019 Pacific FC D 1-1 D HFX Wanderers FC,Westhills Stadium,https://canpl.ca/matchcentre/5k2vyf3lbvxx12td2no5kkfai/highlights
I87,22,2,5,10,3,1,Valour FC,W,1,0,0,FC Edmonton,L,0,0,1,0,0,10-5-2019 Valour FC W 3-1 L FC Edmonton,IG Field,https://canpl.ca/matchcentre/5knlpt5ejz2gvvucptl64q73e/highlights
I88,22,2,5,10,2,0,Cavalry FC,W,1,0,0,HFX Wanderers FC,L,0,0,1,1,0,10-5-2019 Cavalry FC W 2-0 L HFX Wanderers FC,ATCO Field,https://canpl.ca/matchcentre/5l2yv4eiv12t5oztzmppfxsoa/highlights
I89,22,2,6,10,1,0,Forge FC,W,1,0,0,York9 FC,L,0,0,1,1,0,10-6-2019 Forge FC W 1-0 L York9 FC,Tim Hortons Field,https://canpl.ca/matchcentre/5lomje72gq8r3x9xte5tduwru/highlights
I90,23,2,9,10,1,1,HFX Wanderers FC,D,0,1,0,Pacific FC,D,0,1,0,0,0,10-9-2019 HFX Wanderers FC D 1-1 D Pacific FC,Wanderers Grounds,https://canpl.ca/matchcentre/5m1xy5ksfqgdrzx3gtiaqka5m/highlights
I91,23,2,9,10,2,1,Cavalry FC,W,1,0,0,Forge FC,L,0,0,1,0,0,10-9-2019 Cavalry FC W 2-1 L Forge FC,ATCO Field,https://canpl.ca/matchcentre/548tpbwhe2nvkm81pqgvsrjai/highlights
I92,23,2,12,10,4,0,York9 FC,W,1,0,0,Forge FC,L,0,0,1,1,0,10-12-2019 York9 FC W 4-0 L Forge FC,York Lions Stadium,https://canpl.ca/matchcentre/5ncl09fzjg81svtrbszlddpbe/highlights
I93,24,2,16,10,1,0,Forge FC,W,1,0,0,Cavalry FC,L,0,0,1,1,0,10-16-2019 Forge FC W 1-0 L Cavalry FC,Tim Hortons Field,https://canpl.ca/matchcentre/5nossz36w45wbtz1zfprbibmy/highlights
I94,24,2,16,10,0,4,Valour FC,L,0,0,1,York9 FC,W,1,0,0,0,1,10-16-2019 Valour FC L 0-4 W York9 FC,IG Field,https://canpl.ca/matchcentre/5oyl3jwgr2padsvpkvdc24ay2/highlights
I95,24,2,16,10,3,1,FC Edmonton,W,1,0,0,Pacific FC,L,0,0,1,0,0,10-16-2019 FC Edmonton W 3-1 L Pacific FC,Clarke Stadium,https://canpl.ca/matchcentre/5nw6ub2q95ptd6n71ec66yp9m/highlights
I96,24,2,19,10,0,2,York9 FC,L,0,0,1,HFX Wanderers FC,W,1,0,0,0,1,10-19-2019 York9 FC L 0-2 W HFX Wanderers FC,York Lions Stadium,https://canpl.ca/matchcentre/5opkqc01qgmjdcbho8rkmjzvu/highlights
I97,24,2,19,10,3,1,Cavalry FC,W,1,0,0,FC Edmonton,L,0,0,1,0,0,10-19-2019 Cavalry FC W 3-1 L FC Edmonton,ATCO Field,https://canpl.ca/matchcentre/5nw6ub2q95ptd6n71ec66yp9m/highlights
I98,24,2,19,10,2,0,Pacific FC,W,1,0,0,Valour FC,L,0,0,1,1,0,10-19-2019 Pacific FC W 2-0 L Valour FC,Westhills Stadium,https://canpl.ca/matchcentre/5opkqc01qgmjdcbho8rkmjzvu/highlights
I99,25,3,26,10,1,0,Forge FC,W,1,0,0,Cavalry FC,L,0,0,1,1,0,10-26-2019 Forge FC W 1-0 L Cavalry FC,Tim Hortons Field,https://canpl.ca/matchcentre/7exzoqwijjljpmysgu6cw2nai/highlights
I100,26,3,2,11,0,1,Cavalry FC,L,0,0,1,Forge FC,W,1,0,0,0,1,11-2-2019 Cavalry FC L 0-1 W Forge FC,ATCO Field,https://canpl.ca/matchcentre/7f2xl06opfb8koy1jdrzjd0fe/highlights
