team,name,position,tp,number,nationality,dob,image,flag,link,overall,display,p,al,gl,ol
Cavalry FC,Marco Carducci,g,1,1,Canada,1995-09-25,Marco-Carducci.jpg,Canada.png,https://en.wikipedia.org/wiki/Marco_Carducci,0.79,Marco Carducci,0,0,0,0
Cavalry FC,Chris Serban,d,2,2,Canada,1995-11-15,Chris-Serban.jpg,Canada.png,https://en.wikipedia.org/wiki/Chris_Serban,0.0,Chris Serban,0,0,0,0
Cavalry FC,Nathan Mavila,d,3,3,England,1993-10-15,Nathan-Mavila.jpg,England.png,https://en.wikipedia.org/wiki/Nathan_Mavila,0.75,Nathan Mavila,0,0,0,0
Cavalry FC,Dominick Zator,d,4,4,Canada,1994-09-18,Dominick-Zator.jpg,Canada.png,https://en.wikipedia.org/wiki/Dominick_Zator,0.92,Dominick Zator,2,0,0,0
Cavalry FC,Mason Trafford,d,5,5,Canada,1986-08-21,Mason-Trafford.jpg,Canada.png,https://en.wikipedia.org/wiki/Mason_Trafford,0.33,Mason Trafford,0,0,0,0
Cavalry FC,Nikolas Ledgerwood,m,6,6,Canada,1985-01-16,Nikolas-Ledgerwood.jpg,Canada.png,https://en.wikipedia.org/wiki/Nikolas_Ledgerwood,0.35,Nik Ledgerwood,0,0,0,0
Cavalry FC,Oliver Minatel,f,9,7,Brazil,1992-08-29,Oliver-Minatel.jpg,Brazil.png,https://en.wikipedia.org/wiki/Oliver_Minatel,0.43,Oliver Minatel,0,0,0,0
Cavalry FC,Julian Büscher,m,8,8,Germany,1993-04-22,Julian-Buscher.jpg,Germany.png,https://en.wikipedia.org/wiki/Julian_Büscher,0.87,Julian Büscher,0,0,0,0
Cavalry FC,Jordan Brown,f,9,9,England,1996-11-10,Jordan-Brown.jpg,England.png,https://en.wikipedia.org/wiki/Jordan_Brown,0.38,Jordan Brown,0,0,0,0
Cavalry FC,Sergio Camargo,m,10,10,Canada,1994-08-16,Sergio-Camargo.jpg,Canada.png,https://en.wikipedia.org/wiki/Sergio_Camargo,0.67,Sergio Camargo,0,0,0,0
Cavalry FC,José Escalante,m,11,11,Honduras,1995-05-29,Jose-Escalante.jpg,Honduras.png,https://en.wikipedia.org/wiki/José_Escalante,0.62,José Escalante,0,0,0,0
Cavalry FC,Dean Northover,d,2,12,Canada,1991-09-04,Dean-Northover.jpg,Canada.png,https://en.wikipedia.org/wiki/Dean_Northover,0.25,Dean Northover,0,0,0,0
Cavalry FC,Jonathan Wheeldon,d,4,14,England,1988-08-28,Jonathan-Wheeldon.jpg,England.png,https://en.wikipedia.org/wiki/Jonathan_Wheeldon,0.37,Jay Wheeldon,0,0,0,0
