team,matches,points,win,draw,loss,gd,GWG,Goal,CleanSheet,Saves,Red,Yellow,2ndYellow
Cavalry FC,10,24,8,0,2,9,8,16,5,27,2,22,0
Forge FC,10,19,6,1,3,8,6,15,5,22,0,14,0
FC Edmonton,10,14,4,2,4,-1,4,8,4,29,1,11,0
HFX Wanderers FC,10,11,3,2,5,-3,3,8,2,27,0,18,0
Pacific FC,10,11,3,2,5,-4,3,11,2,25,1,13,1
York9 FC,10,11,2,5,3,-2,2,9,3,39,0,16,1
Valour FC,10,9,3,0,7,-7,3,8,2,27,0,17,0
