rank,team,form,old_rank,change,goal_bonus,w_bonus,crest,colour,previous
1,Cavalry FC,2-2-1,1,6,1,1,cavalry_fc_nav.png,w3-2019-fiesta,0
2,Forge FC,2-2-1,2,3,0,0,Forge_FC_nav.png,w3-2019-turmeric,0
3,HFX Wanderers FC,1-2-2,5,3,2,1,HFX_Wanderers_FC.png,w3-vivid-blue,2
4,York9 FC,3-2-0,3,3,0,1,York_9_FC_nav.png,w3-vivid-yellow-green,-1
5,FC Edmonton,0-3-2,4,-3,-4,1,FC_Edmonton_nav.png,w3-2019-princess-blue,-1
6,Pacific FC,0-3-2,7,-3,-3,1,Pacific_FC_nav.png,w3-vivid-reddish-purple,1
7,Valour FC,1-3-1,6,-11,-12,0,Valour_FC_nav.png,w3-2019-biking-red,-1
