team,matches,points,win,draw,loss,gd,GWG,Goal,CleanSheet,Saves,Red,Yellow,2ndYellow
Cavalry,9,24,8,0,1,11,8,15,5,23,0,18,0
Forge,9,19,6,1,2,9,6,15,5,21,0,13,0
HFX Wanderers,9,11,3,2,4,-1,3,8,2,26,0,18,0
Valour,9,9,3,0,6,-5,3,7,2,23,0,17,0
Edmonton,8,8,2,2,4,-4,2,5,2,26,1,11,0
Pacific,9,8,2,2,5,-6,2,8,2,18,0,12,1
York9,9,8,1,5,3,-4,1,6,3,35,0,16,1
